Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.7 burnin=500 observation=20 selection=0.5 dt=0.0005 seed=2026086303
  time=2 psi=0.894667 weight ESS=188.824 roots=71
  time=4 psi=0.512224 weight ESS=142.848 roots=18
  time=6 psi=0.376771 weight ESS=126.519 roots=10
  time=8 psi=0.26801 weight ESS=112.097 roots=5
  time=10 psi=0.203423 weight ESS=147.123 roots=4
  time=12 psi=0.0912409 weight ESS=71.5677 roots=1
  time=14 psi=0.0424355 weight ESS=39.7876 roots=1
  time=16 psi=-0.0398026 weight ESS=114.591 roots=1
  time=18 psi=-0.0421854 weight ESS=88.1433 roots=1
  time=20 psi=-0.0398602 weight ESS=25.2575 roots=1
