event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,population_mean_potential_rate,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,0.94311548967438874,0.94311548967438874,1.8862309793487775,-25.369892245656697,-7.6064318215736577,0.6387090127927485,-2.65358807999583,479.41808903658421,0.0072043035915242554,604,456.29939077458658,604,456.29939077458658
2,1,0.37505050620115288,1.3181659958755416,1.3181659958755416,-49.053926138138699,-8.4211605324643557,1.3370226462970394,-11.592191202165834,283.02050689419536,0.016832128501610789,422,273.06666666666666,287,159.06796116504853
3,1.5,0.32482889723136488,1.6429948931069065,1.0953299287379377,-56.808720123477443,-8.9550825711588136,1.6799541344601301,-15.28450180268597,210.72283273191735,0.026382533901183454,405,209.21308858739027,173,67.121751376264243
4,2,0.3429622636626446,1.9859571567695511,0.99297857838477555,-74.745201235426109,-9.3745021080140241,2.417560694073305,-22.276248936664405,171.84686281853519,0.027346423802394326,352,169.28898934452695,99,28.654314915013391
5,2.5,0.21691308538179488,2.202870242151346,0.88114809686053841,-87.241367224957074,-8.7377677388384747,1.8737386256223194,-28.768723699945635,146.05427149399972,0.029105692666770731,306,143.20895930073749,58,18.497318656505787
6,3,0.10573239913949362,2.3086026412908396,0.7695342137636132,-79.63484597400209,-10.123677807788569,1.9744435004146956,-25.148407496319749,116.62641791654592,0.030678174299834448,272,115.53283384750992,39,11.428870384095566
7,3.5,-0.18418532715376124,2.1244173141370783,0.60697637546773664,-111.53146794015271,-11.233989155079326,0.65158279642432082,-39.506317816097557,102.8277849609449,0.029165271940820296,232,102.4800625488663,28,8.1324047216491646
8,4,-0.26279625400725859,1.8616210601298198,0.46540526503245494,-100.68472705458396,-8.1302695000092218,-1.1432335340551738,-33.947360253687862,86.123367648360244,0.038883685786734054,241,85.361120156300885,21,7.7397106583997637
9,4.5,0.055958736478406657,1.9175797966082264,0.42612884369071696,-90.122739518132974,-8.6318209172384552,2.4829909446786811,-28.413981931097918,98.943772729606636,0.040696955901376002,235,98.144515162860358,12,6.1938898471280392
10,5,0.41733165089093749,2.3349114474991639,0.46698228949983278,-94.41306053793609,-7.5472455064374699,1.3296565465500232,-30.827063571460869,84.455809124168553,0.05357523413021751,242,84.141871288717695,12,6.1239297770198453
11,5.5,0.021814860959719518,2.3567263084588834,0.4284956924470697,-122.52625005118993,-8.1374700663976132,3.3785604386912733,-42.821205649226293,70.790121339666285,0.045951134568995605,208,69.802689388896283,10,4.206249749287978
12,6,0.14265433870003541,2.4993806471589188,0.41656344119315314,-127.86882989676347,-8.6809370878264946,1.2572254001479013,-45.252770258128045,70.019026253886835,0.059481134376395961,186,69.95170113408939,9,2.5902533496699736
13,6.5,-0.037846768584277157,2.4615338785746417,0.37869751978071409,-132.2820492101886,-11.249332271436382,-1.1388754945180075,-48.724749860118933,69.775084867711868,0.050117673683711665,168,69.914388585144692,6,2.2237548087730685
14,7,-0.5184587814505095,1.9430750971241322,0.27758215673201886,-144.99624208716688,-11.458202415540685,-2.1473353376104427,-53.824174181726356,57.397716690202785,0.066641473502422527,174,57.557141288835219,4,1.9113113726176414
15,7.5,-0.24389147950753287,1.6991836176165993,0.22655781568221325,-170.4115995628998,-9.7661083548395862,2.6144517636263029,-66.317759326488115,41.382391164859548,0.091418826336607584,150,41.246794115333174,3,1.6275766155068792
16,8,0.27319189217968187,1.9723755097962812,0.24654693872453515,-210.98441121471311,-9.2732691951536736,-2.0572018602751538,-86.788629615307514,51.778507103262946,0.060666869807614966,183,51.689638174110222,3,1.326663174701981
17,8.5,0.430244350116185,2.4026198599124662,0.28266115998970193,-108.23811197680429,-11.648756040324713,-0.70344958009447367,-34.695288145259696,62.187393115809101,0.041807364177433477,190,62.504530281354313,2,1.1750462252204803
18,9,0.21372825135222673,2.6163481112646929,0.29070534569607698,-146.53826847350868,-8.962928123659939,-2.1188016629197066,-53.537091758946111,32.233725463578601,0.09703776506734775,120,32.208379407789657,2,1.0853835261384057
19,9.5,0.052776420185020712,2.6691245314497136,0.28096047699470672,-170.04566907389955,-8.9272270187392753,-2.3718442699088929,-64.298576542901259,35.438927466460754,0.084170132906616096,116,35.255732633985609,1,1
20,10,-0.52865725579627032,2.1404672756534433,0.21404672756534432,-205.68712312176464,-6.0401079609255195,2.9403057201591585,-81.986907653912439,8.654487780561281,0.23109668045772566,57,8.6834277385802778,1,1
21,10.5,-0.65802006565031146,1.4824472100031318,0.14118544857172685,-420.76453015179845,-9.6609638822596509,3.0194367009422498,-191.87541431342422,21.551860144828829,0.13848617980847142,79,21.478410487505119,1,1
22,11,-1.2388095919362767,0.24363761806685513,0.022148874369714102,-232.68417405177303,-13.838175902680314,-0.61477043617941274,-95.88837479900937,12.425023742704699,0.21743568918862924,74,12.399205373190805,1,1
23,11.5,-2.3357405732635819,-2.0921029551967267,-0.1819219961040632,-304.29491325921208,-8.4375735009857067,5.8919373911934336,-129.66170858740099,10.795937833121267,0.20107792937568933,46,10.772745952165694,1,1
24,12,-0.71813461703289594,-2.8102375722296227,-0.23418646435246857,-335.43049928210985,-9.5064147791129638,9.9095620309750529,-151.25210781349503,31.571250057941324,0.064846397989470214,110,31.492551657856801,1,1
25,12.5,-0.62734056439161723,-3.4375781366212399,-0.27500625092969921,-179.11811317110488,-9.3813374180342155,4.1164219593058657,-71.50977078463373,41.463610398237989,0.066625429742096648,179,42.030463363796699,1,1
26,13,-0.11966184724182671,-3.5572399838630666,-0.27363384491254361,-196.64184569704736,-8.4118114522988865,7.0996727159840844,-79.452681033370695,29.699413650070678,0.099558472305255524,105,29.624138320714206,1,1
27,13.5,0.18316629605445556,-3.3740736878086111,-0.24993138428211933,-129.46327430061882,-8.7769430549015066,0.4792187185386122,-45.787719779745451,46.999631573996574,0.087338248934136373,177,46.983421453535264,1,1
28,14,-0.46612198372588942,-3.8401956715345005,-0.27429969082389288,-162.92554631683706,-11.903085888765716,3.6865932727250814,-61.278210287541235,41.86799467541298,0.064830750957145369,116,41.61015873015873,1,1
29,14.5,-0.99443592860499397,-4.8346316001394944,-0.33342286897513757,-226.28715918717944,-8.7273181710437555,0.13925439702100875,-94.376228538228688,18.262730732259282,0.17270550577210603,102,18.18991777399993,1,1
30,15,-1.8166384563174374,-6.6512700564569318,-0.44341800376379548,-237.00043667399655,-13.315815159443991,3.1606468222694115,-99.698726377198525,18.039416899230584,0.18443689427314838,98,18.172264392915324,1,1
31,15.5,-0.86636034941770035,-7.5176304058746322,-0.48500841328223432,-278.36601924930375,-10.437954286350108,1.8923161640206181,-118.37174941239728,12.100314035817561,0.18746062933543836,89,12.119463707813223,1,1
32,16,-1.0816265888944638,-8.599256994769096,-0.5374535621730685,-309.77417379896701,-10.376075622571081,1.1234460929333316,-136.41199625883709,34.715571626635246,0.10235907183883826,107,34.627039165180634,1,1
33,16.5,-1.1560564561571427,-9.7553134509262378,-0.59123111823795382,-238.24053530365953,-9.942960499180785,3.1735187798508924,-103.58514206711705,45.514973945994129,0.055600917681584691,136,45.092285198245463,1,1
34,17,-0.27485974212828967,-10.030173193054527,-0.59001018782673686,-129.33243640319432,-10.252131871988402,0.95829356947960842,-46.991190164749376,63.975487494527542,0.052982603274209852,173,63.596312469674913,1,1
35,17.5,-0.59579581322600372,-10.625969006280531,-0.60719822893031605,-156.61394563579358,-8.3397392678035569,2.7952160886079587,-61.033745618261847,39.237561027663077,0.061629069579835709,138,39.204965228445374,1,1
36,18,0.062216760468897014,-10.563752245811635,-0.58687512476731307,-163.55738346055767,-9.7870816038100816,1.3004756043564552,-64.091231497112858,51.38971257789148,0.047887573227952826,142,51.73554371422933,1,1
37,18.5,-1.14235480593935,-11.706107051750985,-0.63276254333789106,-213.74920237107398,-6.9125419869660432,2.5160575300579895,-88.39054003707669,14.026222361374666,0.23363001274949904,116,14.011652146025977,1,1
38,19,-0.60084099115331124,-12.306948042904295,-0.64773410752127869,-217.01437154028687,-7.6810348655816227,1.8795317163950636,-90.230971234264629,39.708139075074975,0.084312891649368366,148,39.503315250150692,1,1
