event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,0,0,0,1.5033239574232016,1.5033239574232016,0.33266013991296439,256,0.00390625,256,256,256,256
2,1,0,0,0,1.4712523424781898,1.4712523424781898,0.28214936629392895,256,0.00390625,256,256,256,256
3,1.5,0,0,0,0.57605651558982285,0.57605651558982285,0.20131854847132799,256,0.00390625,256,256,256,256
4,2,0,0,0,1.5914782668542924,1.5914782668542924,0.29541204187113312,256,0.00390625,256,256,256,256
5,2.5,0,0,0,0.64740994822436537,0.64740994822436537,0.41269023055467863,256,0.00390625,256,256,256,256
6,3,0,0,0,0.89460493566427901,0.89460493566427901,0.46626883717004358,256,0.00390625,256,256,256,256
7,3.5,0,0,0,1.0688354039754253,1.0688354039754253,0.46074553551285918,256,0.00390625,256,256,256,256
8,4,0,0,0,1.4885595169574941,1.4885595169574941,0.04437499020349004,256,0.00390625,256,256,256,256
9,4.5,0,0,0,1.2322556292971463,1.2322556292971463,0.25718498564535852,256,0.00390625,256,256,256,256
10,5,0,0,0,1.3897224159179034,1.3897224159179034,0.47346124946520601,256,0.00390625,256,256,256,256
11,5.5,0,0,0,1.5195539509833556,1.5195539509833556,0.44384913728335945,256,0.00390625,256,256,256,256
12,6,0,0,0,1.3634906764827757,1.3634906764827757,0.55185599684156195,256,0.00390625,256,256,256,256
13,6.5,0,0,0,1.4625975621425056,1.4625975621425056,0.46634524330792243,256,0.00390625,256,256,256,256
14,7,0,0,0,1.4425694694258653,1.4425694694258653,0.32327079406894027,256,0.00390625,256,256,256,256
15,7.5,0,0,0,1.4314098695243556,1.4314098695243556,0.49139795258782143,256,0.00390625,256,256,256,256
16,8,0,0,0,1.5478997058627113,1.5478997058627113,0.42183745817997192,256,0.00390625,256,256,256,256
17,8.5,0,0,0,1.0696190481359669,1.0696190481359669,0.42386805281629586,256,0.00390625,256,256,256,256
18,9,0,0,0,1.0623909478809699,1.0623909478809699,0.40091950345102523,256,0.00390625,256,256,256,256
19,9.5,0,0,0,1.5314316986127396,1.5314316986127396,0.28943460769005375,256,0.00390625,256,256,256,256
20,10,0,0,0,1.1173508101191807,1.1173508101191807,0.50691093903275219,256,0.00390625,256,256,256,256
21,10.5,0,0,0,1.5115040170763887,1.5115040170763887,0.58334743114399057,256,0.00390625,256,256,256,256
22,11,0,0,0,0.74350405331130953,0.74350405331130953,0.16650111298770554,256,0.00390625,256,256,256,256
23,11.5,0,0,0,1.4210032145963503,1.4210032145963503,0.46974380231385171,256,0.00390625,256,256,256,256
24,12,0,0,0,0.87322654170231451,0.87322654170231451,0.36105048335831968,256,0.00390625,256,256,256,256
25,12.5,0,0,0,1.2903823200532301,1.2903823200532301,0.11007762921971283,256,0.00390625,256,256,256,256
26,13,0,0,0,0.78406636359786108,0.78406636359786108,0.54305940074346859,256,0.00390625,256,256,256,256
27,13.5,0,0,0,0.81299401284161876,0.81299401284161876,0.64953295924060406,256,0.00390625,256,256,256,256
28,14,0,0,0,2.0031761044258589,2.0031761044258589,0.54094148361538841,256,0.00390625,256,256,256,256
29,14.5,0,0,0,2.1213885343452668,2.1213885343452668,0.50194993337986038,256,0.00390625,256,256,256,256
30,15,0,0,0,1.5869708137283312,1.5869708137283312,0.36259079156603413,256,0.00390625,256,256,256,256
31,15.5,0,0,0,1.5471334732157456,1.5471334732157456,0.41361506486991745,256,0.00390625,256,256,256,256
32,16,0,0,0,1.4186169550550642,1.4186169550550642,0.13799733821532709,256,0.00390625,256,256,256,256
33,16.5,0,0,0,0.93108198347414017,0.93108198347414017,0.34782890372624797,256,0.00390625,256,256,256,256
34,17,0,0,0,1.0699893480769136,1.0699893480769136,0.52252010109941893,256,0.00390625,256,256,256,256
35,17.5,0,0,0,1.3946785381302398,1.3946785381302398,0.286453813819529,256,0.00390625,256,256,256,256
36,18,0,0,0,1.462358813250237,1.462358813250237,0.21464995803593864,256,0.00390625,256,256,256,256
37,18.5,0,0,0,0.9915549056448475,0.9915549056448475,0.58502659562852721,256,0.00390625,256,256,256,256
38,19,0,0,0,1.5183993250484624,1.5183993250484624,0.54982185465728994,256,0.00390625,256,256,256,256
39,19.5,0,0,0,1.409776509006768,1.409776509006768,0.47111549636464345,256,0.00390625,256,256,256,256
40,20,0,0,0,1.4875560098725047,1.4875560098725047,0.28386557032394027,256,0.00390625,256,256,256,256
41,20.5,0,0,0,1.1514792090296087,1.1514792090296087,0.50837985932637297,256,0.00390625,256,256,256,256
42,21,0,0,0,1.4327144033672397,1.4327144033672397,0.5932834140352431,256,0.00390625,256,256,256,256
43,21.5,0,0,0,1.4213938712484215,1.4213938712484215,0.27321610500171845,256,0.00390625,256,256,256,256
44,22,0,0,0,1.2213255595244084,1.2213255595244084,0.47403843040921523,256,0.00390625,256,256,256,256
45,22.5,0,0,0,1.0566121840161891,1.0566121840161891,0.41072721615984908,256,0.00390625,256,256,256,256
46,23,0,0,0,1.4805355966864957,1.4805355966864957,0.138202394523567,256,0.00390625,256,256,256,256
47,23.5,0,0,0,1.4088205588853784,1.4088205588853784,0.41178615867371332,256,0.00390625,256,256,256,256
48,24,0,0,0,0.68359881548583057,0.68359881548583057,0.33897036193405744,256,0.00390625,256,256,256,256
49,24.5,0,0,0,1.9690969732648147,1.9690969732648147,0.63456394318965603,256,0.00390625,256,256,256,256
50,25,0,0,0,1.0964865373058301,1.0964865373058301,0.44438338356176016,256,0.00390625,256,256,256,256
51,25.5,0,0,0,1.3377405994136649,1.3377405994136649,0.64772773079271817,256,0.00390625,256,256,256,256
52,26,0,0,0,1.0304899252727371,1.0304899252727371,0.6123134545004979,256,0.00390625,256,256,256,256
53,26.5,0,0,0,1.1851517043667383,1.1851517043667383,0.47083875758737709,256,0.00390625,256,256,256,256
54,27,0,0,0,1.5597429431491567,1.5597429431491567,0.17230943771048993,256,0.00390625,256,256,256,256
55,27.5,0,0,0,1.1093595207860376,1.1093595207860376,0.21477764918126299,256,0.00390625,256,256,256,256
56,28,0,0,0,2.134071223254232,2.134071223254232,0.48639930168834228,256,0.00390625,256,256,256,256
57,28.5,0,0,0,1.1162305114495874,1.1162305114495874,0.31941605592618438,256,0.00390625,256,256,256,256
58,29,0,0,0,1.5737052231473918,1.5737052231473918,0.57441665726898261,256,0.00390625,256,256,256,256
59,29.5,0,0,0,1.9822362495966728,1.9822362495966728,0.32737886851638248,256,0.00390625,256,256,256,256
60,30,0,0,0,1.2618261539858071,1.2618261539858071,-0.007057990752840677,256,0.00390625,256,256,256,256
61,30.5,0,0,0,1.0968525433080172,1.0968525433080172,0.4373242735920973,256,0.00390625,256,256,256,256
62,31,0,0,0,0.63688847222336253,0.63688847222336253,0.66772553618508734,256,0.00390625,256,256,256,256
63,31.5,0,0,0,1.4987404625628453,1.4987404625628453,0.18249144402478226,256,0.00390625,256,256,256,256
64,32,0,0,0,0.86545679151247168,0.86545679151247168,0.060728348220188466,256,0.00390625,256,256,256,256
65,32.5,0,0,0,1.3380670341182657,1.3380670341182657,0.4979604157612732,256,0.00390625,256,256,256,256
66,33,0,0,0,0.9270726839534561,0.9270726839534561,0.28025963500408252,256,0.00390625,256,256,256,256
67,33.5,0,0,0,1.01963261653205,1.01963261653205,0.52580009321854948,256,0.00390625,256,256,256,256
68,34,0,0,0,1.352747398535229,1.352747398535229,0.6484607935806328,256,0.00390625,256,256,256,256
69,34.5,0,0,0,1.3844449337365496,1.3844449337365496,0.23292105906426114,256,0.00390625,256,256,256,256
70,35,0,0,0,0.92097517158110287,0.92097517158110287,-0.022294545834578187,256,0.00390625,256,256,256,256
71,35.5,0,0,0,1.0244615956950853,1.0244615956950853,0.5711166005749948,256,0.00390625,256,256,256,256
72,36,0,0,0,1.32686298378344,1.32686298378344,0.30863816406191963,256,0.00390625,256,256,256,256
73,36.5,0,0,0,1.0812183669580908,1.0812183669580908,0.45011676229424225,256,0.00390625,256,256,256,256
74,37,0,0,0,0.7806973195467618,0.7806973195467618,0.64050799780096546,256,0.00390625,256,256,256,256
75,37.5,0,0,0,1.8002201970313054,1.8002201970313054,0.53508382056303849,256,0.00390625,256,256,256,256
76,38,0,0,0,1.2483515167862009,1.2483515167862009,0.39926936276053981,256,0.00390625,256,256,256,256
77,38.5,0,0,0,1.4947088314787589,1.4947088314787589,0.23248207550486882,256,0.00390625,256,256,256,256
78,39,0,0,0,1.5179701569362696,1.5179701569362696,0.24015445450524953,256,0.00390625,256,256,256,256
79,39.5,0,0,0,1.5577989075396119,1.5577989075396119,0.47782853980724904,256,0.00390625,256,256,256,256
80,40,0,0,0,0.92856970082356827,0.92856970082356827,0.592535124703788,256,0.00390625,256,256,256,256
81,40.5,0,0,0,1.0305608820832868,1.0305608820832868,0.75049366288788177,256,0.00390625,256,256,256,256
82,41,0,0,0,1.6177737688378311,1.6177737688378311,0.23105124173205013,256,0.00390625,256,256,256,256
83,41.5,0,0,0,1.8660430813375708,1.8660430813375708,0.45014799086401724,256,0.00390625,256,256,256,256
84,42,0,0,0,1.3339487223573809,1.3339487223573809,0.38672090512977209,256,0.00390625,256,256,256,256
85,42.5,0,0,0,1.082299943702939,1.082299943702939,0.31395217947784776,256,0.00390625,256,256,256,256
86,43,0,0,0,1.1849554944809835,1.1849554944809835,0.14954379923277311,256,0.00390625,256,256,256,256
87,43.5,0,0,0,1.6958719128915662,1.6958719128915662,0.5154918143443743,256,0.00390625,256,256,256,256
88,44,0,0,0,0.82915955845021616,0.82915955845021616,0.2778117281670151,256,0.00390625,256,256,256,256
89,44.5,0,0,0,1.5867117486025641,1.5867117486025641,0.41769485151861246,256,0.00390625,256,256,256,256
90,45,0,0,0,1.480595261292875,1.480595261292875,0.50761741900665824,256,0.00390625,256,256,256,256
91,45.5,0,0,0,1.3646700892119468,1.3646700892119468,0.50400999206826502,256,0.00390625,256,256,256,256
92,46,0,0,0,1.5888601373664355,1.5888601373664355,0.12969039153419099,256,0.00390625,256,256,256,256
93,46.5,0,0,0,1.118554781814258,1.118554781814258,0.80977669721133161,256,0.00390625,256,256,256,256
94,47,0,0,0,1.0016962224346866,1.0016962224346866,0.49868782283303298,256,0.00390625,256,256,256,256
95,47.5,0,0,0,2.0365105517279845,2.0365105517279845,0.60014085553009366,256,0.00390625,256,256,256,256
96,48,0,0,0,1.5306813151625083,1.5306813151625083,0.1857829098475815,256,0.00390625,256,256,256,256
97,48.5,0,0,0,1.0953799840351599,1.0953799840351599,0.65516171647724875,256,0.00390625,256,256,256,256
98,49,0,0,0,1.2381532041856338,1.2381532041856338,0.14534576350151038,256,0.00390625,256,256,256,256
99,49.5,0,0,0,1.9113237082213703,1.9113237082213703,0.45565423791466531,256,0.00390625,256,256,256,256
100,50,0,0,0,1.1977948046446527,1.1977948046446527,0.1870957379823272,256,0.00390625,256,256,256,256
101,50.5,0,0,0,1.53702934946976,1.53702934946976,0.63921951441182412,256,0.00390625,256,256,256,256
