Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=40 selection=0.5 dt=0.0005 seed=2026086402
  time=4 psi=-0.0929457 weight ESS=705.192 roots=217
  time=8 psi=-0.116732 weight ESS=680.267 roots=100
  time=12 psi=-0.155921 weight ESS=678.201 roots=65
  time=16 psi=-0.169264 weight ESS=687.475 roots=52
  time=20 psi=-0.169469 weight ESS=675.074 roots=38
  time=24 psi=-0.180045 weight ESS=673.725 roots=31
  time=28 psi=-0.183082 weight ESS=703.875 roots=28
  time=32 psi=-0.180205 weight ESS=658.827 roots=24
  time=36 psi=-0.184875 weight ESS=657.276 roots=20
  time=40 psi=-0.185638 weight ESS=688.858 roots=18
