event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,population_mean_potential_rate,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,0.050056794819711037,0.050056794819711037,0.10011358963942207,-2.378999725813232,-1.8267886047210431,0.29314142827978568,-0.49728471299908011,781.41444779684457,0.00266064077663618,777,685.34379084967316,777,685.34379084967316
2,1,-0.032033419787980577,0.01802337503173046,0.01802337503173046,-1.8914480435066412,-1.592076564762261,0.58096914432580948,-0.7889381459981365,746.16954145874433,0.0037062326225641646,767,670.44501278772384,601,471.90639063906389
3,1.5,-0.094327079448153661,-0.076303704416423201,-0.050869136277615468,-1.5764429084009974,-1.2830416513805263,0.84890943607232583,-1.1194191434310008,698.06011484219891,0.0036824911412698803,729,629.39735894357739,477,342.67189542483658
4,2,-0.08951510638953053,-0.16581881080595373,-0.082909405402976866,-1.1324068886675462,-1.1407912107891918,0.56600047769135353,-1.1815867431216431,708.57036261758537,0.0034912824278816455,733,629.39735894357739,392,261.88211788211788
5,2.5,-0.066752614204580674,-0.2325714250105344,-0.093028570004213759,-1.3053088468893308,-1.1879113133433914,0.52258368613877471,-0.99331951885895065,724.38875195520654,0.0035305392509249515,750,648.06922126081577,332,213.12520325203252
6,3,-0.082915271675049418,-0.31548669668558382,-0.10516223222852794,-1.1613969068862198,-1.2144122380794504,0.51374761713460304,-1.0841573111203795,706.52364283987049,0.0033091499874616276,748,646.47102342786684,284,177.84531886024422
7,3.5,-0.087787934876651263,-0.40327463156223509,-0.11522132330349574,-1.5591976183305882,-1.4136149912838833,0.50806683280393439,-1.2206368562455072,699.19565604632112,0.0031132260899778743,724,621.19431279620858,249,146.98289879450519
8,4,-0.082122600627545062,-0.48539723218978015,-0.12134930804744504,-1.3267345543251217,-1.2023725123423981,0.60177346146447253,-1.1738761810161358,693.12183108076999,0.00356717523883041,738,633.96372430471581,213,127.81277425646026
9,4.5,-0.074366252213279971,-0.55976348440306012,-0.12439188542290225,-1.3097310135976525,-1.0992971478513074,0.90019080616210789,-1.1297529168297398,692.38955249975572,0.0038916447783047888,728,623.41022592152194,198,115.35489548954895
10,5,-0.072696085197973659,-0.63245956960103378,-0.12649191392020676,-0.91764410195182911,-1.1289229137531382,0.58205125511749745,-1.2341993809882299,683.69100488029085,0.0042366334965530938,728,622.66983372921618,183,101.40967117988394
11,5.5,-0.088663063165647316,-0.72112263276668109,-0.13111320595757839,-1.6315381889732337,-1.2694138335934348,0.43462677506021635,-1.3188177713711664,655.71492873348393,0.0036389179321205962,712,604.0184331797235,166,88.442645074224018
12,6,-0.058510774347801942,-0.77963340711448303,-0.12993890118574716,-1.4755370386552289,-1.3430253255070113,0.67181113798544789,-1.1359091886524773,691.85394036679236,0.0034397371761772356,731,624.89630512514896,148,76.460259588741437
13,6.5,-0.087309235069955804,-0.86694264218443884,-0.13337579110529829,-0.81793977299471377,-0.86369843748360653,0.78180175122544859,-1.3728190708291619,674.28890803479328,0.0036830177751326905,706,601.24770642201838,135,70.544671689989229
14,7,-0.051494551237873054,-0.91843719342231189,-0.13120531334604454,-1.6118917284196652,-1.5294725875462925,0.66191637493485278,-1.1667648220150553,685.35923307404289,0.004360410394334757,726,620.45917159763314,125,66.424426707208923
15,7.5,-0.097468498577201856,-1.0159056919995137,-0.13545409226660182,-1.5749812395393521,-1.3987848489638652,0.20937850545568742,-1.2337348941852546,674.17369258555527,0.0037315051330290027,711,598.5022831050228,112,58.533884112984261
16,8,-0.090092348367656783,-1.1059980403671705,-0.13824975504589632,-1.6072334337113046,-1.3929249501437639,0.61792729129022095,-1.2453449442857427,671.51287406761958,0.0049169850648215097,722,616.80941176470583,106,52.634072884248567
17,8.5,-0.094119053407976772,-1.2001170937751473,-0.14119024632648791,-1.5556067484766309,-1.2655814338421096,0.97056495166117018,-1.2469519004962384,685.55335649100721,0.0036197682636527721,718,614.64009378663536,100,50.602065437699061
18,9,-0.16099049117062858,-1.3611075849457759,-0.15123417610508622,-1.2006453642959543,-1.4422735295143645,0.62170254903174837,-1.7586340683866837,642.89611940669749,0.0038351913492606546,686,577.409691629956,95,49.79466236109792
19,9.5,-0.14110176567155186,-1.5022093506173277,-0.15812730006498188,-0.89215378018171576,-0.97795872677465356,0.27646502379013294,-1.5195904268877127,641.56801486707297,0.0038552658623270783,688,579.32375690607739,88,48.170525542080121
20,10,-0.14872804801997219,-1.6509373986372999,-0.16509373986372999,-1.3410927731599331,-1.475950791657284,0.75356560360824099,-1.5204925518288814,656.45240009143822,0.0036978240224733367,695,589.08764044943825,85,43.639753620775764
21,10.5,-0.12366516784613513,-1.7746025664834351,-0.16900976823651762,-1.2438793387505978,-1.4366736594841785,0.18227388384818499,-1.3850780080903538,667.03461593570171,0.0037742507722921923,715,608.2227378190255,81,40.153787240560618
22,11,-0.12644634816165912,-1.9010489146450942,-0.17282262860409947,-0.96041045672991632,-1.1329507178274874,0.61322341831606964,-1.536582806697828,646.0933985222822,0.0041926576533516382,694,588.42648709315381,74,39.240176633485518
23,11.5,-0.093908079628811869,-1.994956994273906,-0.17347452124120921,-1.4833371400297628,-1.3077062630736092,0.52287540089748719,-1.356583042830708,661.89096384039851,0.0035932519449201534,709,606.1132947976879,72,36.434190410006948
24,12,-0.1168109911798858,-2.1117679854537919,-0.17598066545448265,-1.1334763653274746,-1.0709333109612582,0.13247187792717113,-1.4322047835514518,657.82188426055666,0.0034474743121043813,695,591.08004509582861,67,35.460804869800477
25,12.5,-0.06518278822055823,-2.1769507736743501,-0.174156061893948,-1.4778954645021134,-1.4573097714502878,0.68215865365876316,-1.3598066002917126,666.36907795482307,0.0033563525470133456,706,607.51796060254924,64,34.574518596676342
