Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.0005 seed=2026085301
  time=2 psi=-0.00118173 weight ESS=745.966 roots=405
  time=4 psi=-0.0529072 weight ESS=706.837 roots=229
  time=6 psi=-0.100679 weight ESS=719.006 roots=160
  time=8 psi=-0.118372 weight ESS=707.142 roots=116
  time=10 psi=-0.118166 weight ESS=745.817 roots=98
  time=12 psi=-0.125701 weight ESS=689.207 roots=84
  time=14 psi=-0.124424 weight ESS=697.906 roots=69
  time=16 psi=-0.137689 weight ESS=682.62 roots=56
  time=18 psi=-0.138042 weight ESS=681.196 roots=52
  time=20 psi=-0.145206 weight ESS=667.453 roots=48
