Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.25 dt=0.0005 seed=2026086001
  time=2 psi=-0.0203448 weight ESS=902.91 roots=365
  time=4 psi=-0.0731963 weight ESS=880.784 roots=210
  time=6 psi=-0.0954021 weight ESS=880.457 roots=141
  time=8 psi=-0.115414 weight ESS=890.69 roots=103
  time=10 psi=-0.113064 weight ESS=897.061 roots=87
  time=12 psi=-0.123646 weight ESS=871.668 roots=72
  time=14 psi=-0.13514 weight ESS=877.405 roots=62
  time=16 psi=-0.142665 weight ESS=877.851 roots=57
  time=18 psi=-0.141846 weight ESS=884.638 roots=54
  time=20 psi=-0.144766 weight ESS=875.27 roots=47
