event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,population_mean_potential_rate,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.25,0.028076230111321543,0.028076230111321543,0.11230492044528617,-3.1385668057136415,-2.5228780570691995,0.33025503616798502,-0.3363185612594507,917.91881766867232,0.0017585369688173655,887,807.83975346687214,887,807.83975346687214
2,0.5,-0.013174620753601651,0.014901609357719892,0.029803218715439783,-2.4054093198292028,-1.9474260324899899,0.43072300678236514,-0.51428809301404665,908.28308657433183,0.0019659284015625844,877,794.37575757575758,754,622.66983372921618
3,0.75,-0.013083193768903989,0.0018184155888159026,0.0024245541184212036,-2.8202893232289261,-1.9912133704694515,0.61562605027484973,-0.52796570346302929,903.44303186922593,0.00181069911168065,865,781.3532041728763,637,497.89933523266859
4,1,-0.0062730423930164037,-0.0044546268042005011,-0.0044546268042005011,-2.6053845547199646,-2.0769438930138051,0.48140858015993115,-0.44599875146176632,906.60712994783478,0.0018599310591776775,873,790.78129713423834,560,416.1015873015873
5,1.25,-0.0091843754859786131,-0.013639002290179114,-0.010911201832143291,-2.4010401119719162,-2.0965880239236343,0.38411993678669754,-0.46878779432062712,907.1799157434549,0.0019412666308726363,871,788.40300751879704,498,356.65850340136052
6,1.5,-0.012569576929738702,-0.026208579219917816,-0.017472386146611878,-2.1699857036294228,-1.718949995372508,0.74348464403620784,-0.50342869475869767,901.1889266067144,0.0019362707418197588,875,793.17397881996976,443,303.23192596876805
7,1.75,-0.0070491226175422028,-0.033257701837460019,-0.019004401049977155,-2.2047087466611801,-1.8605483790765667,0.80250178779308334,-0.48869550707238829,906.3145040339873,0.0019307002806044885,874,791.97583081570997,405,268.59016393442624
8,2,-0.0074319181026316627,-0.040689619940091681,-0.020344809970045841,-2.2693561028649616,-1.9568759386163184,1.0672575743327952,-0.51566774818536087,902.90963925963854,0.0019525720080371112,877,795.58118361153265,365,234.6857654431513
9,2.25,-0.010224309837248313,-0.050913929777339995,-0.02262841323437333,-2.4983652369822655,-2.057766081515457,0.34010880727040088,-0.52545372767075005,905.56765127371125,0.0020011882659904849,879,798.0030441400304,334,214.69615069615071
10,2.5,-0.022016756409040106,-0.0729306861863801,-0.029172274474552042,-1.669312727598077,-1.4178285917374396,0.66037319590754384,-0.54630168316949745,901.16629695962183,0.0019652109793106072,878,796.790273556231,314,197.76989815164089
11,2.75,-0.040434399427378587,-0.11336508561375869,-0.041223667495912247,-1.8379094598621522,-1.5158695873389041,0.76524395807654255,-0.70513627457464445,889.91306950490718,0.0019372066798049013,864,780.19047619047615,291,182.36104347826088
12,3,-0.049219786395923393,-0.16258487200968208,-0.054194957336560691,-2.4211066748470498,-2.0385496466755408,0.63317671041743218,-0.77083632461229723,879.34790717690657,0.0021805364632999603,860,775.5739644970414,277,165.96644507755619
13,3.25,-0.028558592934594174,-0.19114346494427625,-0.05881337382900808,-2.0335054107972872,-2.0028200846838833,0.32482082222772568,-0.6303495726404108,891.50107881238137,0.001995715581656322,865,781.3532041728763,257,149.11490329920363
14,3.5,-0.023118559528565008,-0.21426202447284126,-0.061217721277954648,-2.5036817335453843,-1.8278229428768711,0.373896738930799,-0.57434631007646531,898.49912876002861,0.0021229960621881551,863,779.0312035661218,244,134.32949013579298
15,3.75,-0.043590539171032283,-0.25785256364387354,-0.06876068363836628,-1.6812528113118224,-1.295352014645766,0.44519007925494253,-0.80035605119874698,882.7019755475975,0.0020891514838265622,847,760.94049346879535,224,123.10119746419348
16,4,-0.034932544941356447,-0.29278510858522999,-0.073196277146307498,-2.4402747554784034,-2.0449957484556687,0.50155444006622263,-0.74762635855999449,880.78403174029029,0.0021281815402494578,851,765.38394160583937,210,118.99409895596914
17,4.25,-0.036105593781304179,-0.32889070236653417,-0.077386047615655096,-2.4452641109587532,-2.0652343725906581,0.6808486492805903,-0.71163054054418695,884.71979050223001,0.0023156800573582363,850,763.15574963609902,196,114.02522836015659
18,4.5,-0.035397290976947104,-0.36428799334348128,-0.0809528874096625,-2.3789147672179123,-1.8993259285853006,0.30662086557058199,-0.69205601816763762,888.71225599806837,0.001860374997123907,864,780.19047619047615,187,106.56260162601626
19,4.75,-0.035477680332020256,-0.39976567367550153,-0.084161194458000327,-2.4394373278513957,-1.8113916186142422,0.74310083786350412,-0.73561122453781669,882.54107555304893,0.0020141365000591266,854,768.75073313782991,177,99.7503805175038
20,5,-0.024404679197545853,-0.42417035287304738,-0.084834070574609483,-2.1924020432709277,-1.6290934194592723,0.76598320617437365,-0.61867454435489455,887.24134130299512,0.0020583138949601502,850,764.26822157434401,173,96.411916145641783
21,5.25,-0.034413514157486169,-0.45858386703053355,-0.087349308005815918,-2.0286037171304905,-1.5718362193497204,0.59985565111220696,-0.74002539374041154,885.26466543992171,0.0019291341301388766,851,765.38394160583937,163,94.653908647770351
22,5.5,-0.046550194027962455,-0.50513406105849601,-0.09184255655609018,-2.1455558331061324,-1.9498774145820175,0.65014953566776745,-0.83962290875364021,872.3151775365302,0.0019676099041838905,839,752.20659971305599,156,89.867672266026744
23,5.75,-0.03332305412943537,-0.53845711518793138,-0.093644715684857632,-1.783785853008065,-1.5948029637069621,0.67198579911901268,-0.68783072748507945,883.15754402442963,0.0019173267741417076,848,762.04651162790697,150,85.015080265931573
