Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=20 selection=0.5 dt=0.00025 seed=2026086204
  time=2 psi=0.00565243 weight ESS=728.37 roots=400
  time=4 psi=-0.0754142 weight ESS=729.224 roots=222
  time=6 psi=-0.0986856 weight ESS=694.699 roots=155
  time=8 psi=-0.116758 weight ESS=685.105 roots=114
  time=10 psi=-0.133413 weight ESS=693.981 roots=83
  time=12 psi=-0.139827 weight ESS=684.154 roots=68
  time=14 psi=-0.146264 weight ESS=695.571 roots=55
  time=16 psi=-0.146972 weight ESS=681.534 roots=46
  time=18 psi=-0.152828 weight ESS=671.416 roots=43
  time=20 psi=-0.160169 weight ESS=696.956 roots=39
