entropy_center,positive_count,negative_count,log_probability_ratio,poisson_standard_error,usable
0.03700206089682467,84994,83078,0.02280074022788238,0.004878772119519261,1
0.11100618269047358,76794,70532,0.08506000455603263,0.0052153439427933814,1
0.18501030448412248,63386,55868,0.1262512514260131,0.005803075783133894,1
0.2590144262777714,51669,42599,0.19302720970032108,0.00654436353768673,1
0.33301854807141984,42356,32563,0.2629334130861381,0.007370149739452566,1
0.40702266986506874,35762,25493,0.33848197247726525,0.008196895523989655,1
0.48102679165871765,29586,20142,0.38449408924409123,0.009134947886669936,1
0.5550309134523665,25217,15816,0.46649628438122664,0.010143120799229275,1
0.6290350352460155,21921,12623,0.5519245347064659,0.011173129704625391,1
0.7030391570396639,18956,10138,0.6258297640551842,0.012304167191894918,1
0.7770432788333128,16625,8250,0.7006943861953282,0.013467089409073173,1
0.8510474006269617,14607,6718,0.7767103746785725,0.01474157904648212,1
0.9250515224206106,12928,5557,0.8443371074809555,0.016040719974906113,1
0.9990556442142595,11735,4582,0.940440245271683,0.017420116992312114,1
1.073059766007908,10376,3727,1.0238918265170214,0.01909682089842628,1
1.1470638878015569,9208,3152,1.0720354994239487,0.020636378063564203,1
1.2210680095952058,8355,2567,1.1801222601583536,0.02256653731801259,1
1.2950721313888542,7575,2104,1.2810130565199696,0.024643424527098372,1
1.3690762531825031,6834,1800,1.3341234887909812,0.026493069719211667,1
1.443080374976152,6232,1427,1.4741229700737477,0.02934677118304201,1
1.517084496769801,5496,1275,1.4610743763096588,0.031084791055299415,1
1.5910886185634499,5135,1067,1.5712288710609053,0.033644451097736734,1
1.6650927403570983,4767,877,1.6929654628326425,0.03674270533534728,1
1.7390968621507472,4239,741,1.7440820460565503,0.03981748811540677,1
1.8131009839443961,3959,645,1.8144964303103581,0.04246147235477111,1
1.887105105738045,3520,563,1.8329366404524525,0.04539041576557268,1
1.961109227531694,3309,439,2.019901894846441,0.05079478745483177,1
2.0351133493253424,3046,413,1.9981369404940743,0.0524366943572374,1
2.1091174711189913,2710,365,2.004806560291255,0.05575598369174524,1
2.18312159291264,2581,294,2.1723524323799324,0.06155328805427742,1
2.257125714706289,2377,256,2.2284170228806315,0.06577954362319945,1
2.331129836499938,2242,200,2.4168062370840686,0.07379722440622306,1
2.4051339582935864,2075,178,2.4559328823727133,0.07810189011114431,1
2.4791380800872354,1820,143,2.5437471498109336,0.08684732317381776,1
2.5531422018808843,1686,123,2.6179297831893833,0.09339807873299466,1
2.627146323674533,1685,121,2.633730297189721,0.09411660119238463,1
2.701150445468182,1541,84,2.909370036476802,0.11204325580538899,1
2.7751545672618305,1401,75,2.9274534328006965,0.11852050121269646,1
2.8491586890554794,1213,57,3.0578006411095,0.13552956119404086,1
2.9231628108491283,1181,53,3.1038249026452407,0.14040891915795908,1
2.997166932642777,1086,57,2.9472052326593308,0.13588476721913428,1
3.0711710544364257,1020,43,3.166357790584754,0.15567981921350987,1
3.1451751762300746,1003,45,3.104088298191616,0.15237857853157372,1
3.2191792980237235,890,42,3.053551844442817,0.15790224607377118,1
3.2931834198173724,851,29,3.3791162985869003,0.18883285400665725,1
3.367187541611021,781,19,3.7161361706732454,0.23218955333623942,0
3.4411916634046698,709,27,3.2680186605277983,0.1960802750726856,1
3.5151957851983187,684,14,3.8889005880072918,0.269982517457455,0
3.5891999069919676,630,12,3.960813169597578,0.29141145296750937,0
3.663204028785616,603,22,3.3108747433688697,0.21705510877942635,1
3.7372081505792645,542,13,3.7303166439781097,0.2806565434356759,0
3.811212272372914,505,9,4.02733385193914,0.336290512995703,0
3.885216394166563,461,9,3.936173465660429,0.33657140179770806,0
3.9592205159602116,453,12,3.6309854756950335,0.2924736549710027,0
4.03322463775386,419,4,4.6515765588022475,0.5023809658465065,0
4.107228759547509,385,4,4.566948973167894,0.5025906909179702,0
4.181232881341158,366,6,4.110873864173311,0.4115809848666786,0
4.255237003134806,368,3,4.809470649500821,0.579698822353195,0
4.329241124928456,309,6,3.9415818076696905,0.41219281000686947,0
4.403245246722104,311,6,3.948033442951179,0.4121675639230578,0
