theta1,theta3,density
-3.07876,-3.07876,0.0884544
-3.07876,-2.9531,0.087141
-3.07876,-2.82743,0.0848557
-3.07876,-2.70177,0.0818346
-3.07876,-2.57611,0.0778905
-3.07876,-2.45044,0.0735829
-3.07876,-2.32478,0.0690231
-3.07876,-2.19911,0.0636607
-3.07876,-2.07345,0.0591152
-3.07876,-1.94779,0.0544487
-3.07876,-1.82212,0.0498544
-3.07876,-1.69646,0.0451332
-3.07876,-1.5708,0.0410291
-3.07876,-1.44513,0.0375564
-3.07876,-1.31947,0.0344044
-3.07876,-1.19381,0.0316155
-3.07876,-1.06814,0.0288557
-3.07876,-0.942478,0.0266703
-3.07876,-0.816814,0.0243563
-3.07876,-0.69115,0.0223529
-3.07876,-0.565487,0.0215208
-3.07876,-0.439823,0.0204498
-3.07876,-0.314159,0.0198296
-3.07876,-0.188495,0.0196576
-3.07876,-0.0628318,0.0193
-3.07876,0.0628319,0.019196
-3.07876,0.188496,0.0192153
-3.07876,0.314159,0.019727
-3.07876,0.439823,0.0202755
-3.07876,0.565487,0.0212981
-3.07876,0.69115,0.0226809
-3.07876,0.816814,0.0245481
-3.07876,0.942478,0.0258624
-3.07876,1.06814,0.0281006
-3.07876,1.19381,0.0304719
-3.07876,1.31947,0.0329065
-3.07876,1.44513,0.0365858
-3.07876,1.5708,0.041069
-3.07876,1.69646,0.0452421
-3.07876,1.82212,0.0492029
-3.07876,1.94779,0.0538407
-3.07876,2.07345,0.0583669
-3.07876,2.19912,0.0643862
-3.07876,2.32478,0.0691383
-3.07876,2.45044,0.0738688
-3.07876,2.57611,0.0787298
-3.07876,2.70177,0.0827591
-3.07876,2.82743,0.0862488
-3.07876,2.9531,0.0873512
-3.07876,3.07876,0.0889343
-2.9531,-3.07876,0.087283
-2.9531,-2.9531,0.0858617
-2.9531,-2.82743,0.0839555
-2.9531,-2.70177,0.0810034
-2.9531,-2.57611,0.0771386
-2.9531,-2.45044,0.0726643
-2.9531,-2.32478,0.0680081
-2.9531,-2.19911,0.06327
-2.9531,-2.07345,0.0592358
-2.9531,-1.94779,0.0538281
-2.9531,-1.82212,0.0496442
-2.9531,-1.69646,0.0448366
-2.9531,-1.5708,0.0405031
-2.9531,-1.44513,0.037279
-2.9531,-1.31947,0.0345245
-2.9531,-1.19381,0.0318593
-2.9531,-1.06814,0.0286661
-2.9531,-0.942478,0.0265377
-2.9531,-0.816814,0.0242223
-2.9531,-0.69115,0.022762
-2.9531,-0.565487,0.0214007
-2.9531,-0.439823,0.020301
-2.9531,-0.314159,0.0197494
-2.9531,-0.188495,0.019222
-2.9531,-0.0628318,0.0189706
-2.9531,0.0628319,0.0188438
-2.9531,0.188496,0.0190925
-2.9531,0.314159,0.0197015
-2.9531,0.439823,0.0201299
-2.9531,0.565487,0.021402
-2.9531,0.69115,0.0227799
-2.9531,0.816814,0.0244052
-2.9531,0.942478,0.026168
-2.9531,1.06814,0.027834
-2.9531,1.19381,0.0300373
-2.9531,1.31947,0.0331991
-2.9531,1.44513,0.0361234
-2.9531,1.5708,0.0397028
-2.9531,1.69646,0.0447967
-2.9531,1.82212,0.0483098
-2.9531,1.94779,0.0529884
-2.9531,2.07345,0.0581478
-2.9531,2.19912,0.0631091
-2.9531,2.32478,0.0682246
-2.9531,2.45044,0.0722906
-2.9531,2.57611,0.0772004
-2.9531,2.70177,0.0817199
-2.9531,2.82743,0.0849399
-2.9531,2.9531,0.0860969
-2.9531,3.07876,0.0873346
-2.82743,-3.07876,0.0851958
-2.82743,-2.9531,0.0835773
-2.82743,-2.82743,0.0819063
-2.82743,-2.70177,0.0795184
-2.82743,-2.57611,0.0758328
-2.82743,-2.45044,0.0715297
-2.82743,-2.32478,0.0668431
-2.82743,-2.19911,0.0623675
-2.82743,-2.07345,0.0578269
-2.82743,-1.94779,0.053639
-2.82743,-1.82212,0.0485097
-2.82743,-1.69646,0.0439991
-2.82743,-1.5708,0.0405577
-2.82743,-1.44513,0.0367673
-2.82743,-1.31947,0.0334128
-2.82743,-1.19381,0.0307041
-2.82743,-1.06814,0.0283905
-2.82743,-0.942478,0.0257799
-2.82743,-0.816814,0.0238388
-2.82743,-0.69115,0.0223134
-2.82743,-0.565487,0.0210574
-2.82743,-0.439823,0.0201218
-2.82743,-0.314159,0.0194237
-2.82743,-0.188495,0.0189729
-2.82743,-0.0628318,0.018333
-2.82743,0.0628319,0.0186122
-2.82743,0.188496,0.0186072
-2.82743,0.314159,0.0191817
-2.82743,0.439823,0.0198489
-2.82743,0.565487,0.0209588
-2.82743,0.69115,0.0221589
-2.82743,0.816814,0.0235883
-2.82743,0.942478,0.0251795
-2.82743,1.06814,0.0269987
-2.82743,1.19381,0.0292106
-2.82743,1.31947,0.0317544
-2.82743,1.44513,0.0352841
-2.82743,1.5708,0.0391395
-2.82743,1.69646,0.0432158
-2.82743,1.82212,0.0474118
-2.82743,1.94779,0.0518829
-2.82743,2.07345,0.0567658
-2.82743,2.19912,0.061763
-2.82743,2.32478,0.0668153
-2.82743,2.45044,0.0708468
-2.82743,2.57611,0.0740835
-2.82743,2.70177,0.0783305
-2.82743,2.82743,0.0810352
-2.82743,2.9531,0.0836409
-2.82743,3.07876,0.0850287
-2.70177,-3.07876,0.0816097
-2.70177,-2.9531,0.0810845
-2.70177,-2.82743,0.0790407
-2.70177,-2.70177,0.077096
-2.70177,-2.57611,0.0731469
-2.70177,-2.45044,0.0700564
-2.70177,-2.32478,0.0647016
-2.70177,-2.19911,0.0602278
-2.70177,-2.07345,0.0556882
-2.70177,-1.94779,0.0513851
-2.70177,-1.82212,0.0467688
-2.70177,-1.69646,0.0422824
-2.70177,-1.5708,0.0387277
-2.70177,-1.44513,0.0356009
-2.70177,-1.31947,0.0323486
-2.70177,-1.19381,0.0298854
-2.70177,-1.06814,0.0271175
-2.70177,-0.942478,0.0245347
-2.70177,-0.816814,0.0227472
-2.70177,-0.69115,0.021372
-2.70177,-0.565487,0.0204408
-2.70177,-0.439823,0.0192503
-2.70177,-0.314159,0.0189406
