theta1,theta3,density
-3.03687,-3.03687,0.0871802
-3.03687,-2.82743,0.0842295
-3.03687,-2.61799,0.0787668
-3.03687,-2.40855,0.0715296
-3.03687,-2.19911,0.0637637
-3.03687,-1.98968,0.0558467
-3.03687,-1.78024,0.0481782
-3.03687,-1.5708,0.0410356
-3.03687,-1.36136,0.0354208
-3.03687,-1.15192,0.0307199
-3.03687,-0.942478,0.0265712
-3.03687,-0.733038,0.0232383
-3.03687,-0.523599,0.0211132
-3.03687,-0.314159,0.0198634
-3.03687,-0.10472,0.0192388
-3.03687,0.10472,0.0191563
-3.03687,0.314159,0.0197135
-3.03687,0.523599,0.0210064
-3.03687,0.733038,0.0233164
-3.03687,0.942478,0.0260772
-3.03687,1.15192,0.0295264
-3.03687,1.36136,0.034261
-3.03687,1.5708,0.0405729
-3.03687,1.78024,0.0475681
-3.03687,1.98968,0.0551145
-3.03687,2.19911,0.0636275
-3.03687,2.40855,0.0716477
-3.03687,2.61799,0.0792633
-3.03687,2.82743,0.0849165
-3.03687,3.03687,0.0874346
-2.82743,-3.03687,0.0841694
-2.82743,-2.82743,0.0814663
-2.82743,-2.61799,0.0766543
-2.82743,-2.40855,0.0696903
-2.82743,-2.19911,0.0621026
-2.82743,-1.98968,0.0545757
-2.82743,-1.78024,0.0468986
-2.82743,-1.5708,0.0401331
-2.82743,-1.36136,0.0345645
-2.82743,-1.15192,0.0298909
-2.82743,-0.942478,0.0257841
-2.82743,-0.733038,0.0227188
-2.82743,-0.523599,0.0206646
-2.82743,-0.314159,0.0194257
-2.82743,-0.10472,0.0186286
-2.82743,0.10472,0.0185404
-2.82743,0.314159,0.0191596
-2.82743,0.523599,0.0205491
-2.82743,0.733038,0.022652
-2.82743,0.942478,0.0252455
-2.82743,1.15192,0.028563
-2.82743,1.36136,0.0331505
-2.82743,1.5708,0.0390433
-2.82743,1.78024,0.0457752
-2.82743,1.98968,0.0533133
-2.82743,2.19911,0.0614655
-2.82743,2.40855,0.0691252
-2.82743,2.61799,0.0757244
-2.82743,2.82743,0.0810204
-2.82743,3.03687,0.0840773
