theta1,theta3,diff
-3.03687,-3.03687,0.00665416
-3.03687,-2.82743,0.00649899
-3.03687,-2.61799,0.00525503
-3.03687,-2.40855,0.00301178
-3.03687,-2.19911,0.0015409
-3.03687,-1.98968,0.00148131
-3.03687,-1.78024,0.00144473
-3.03687,-1.5708,0.00134569
-3.03687,-1.36136,0.00178873
-3.03687,-1.15192,0.00175717
-3.03687,-0.942478,0.000941009
-3.03687,-0.733038,0.000252135
-3.03687,-0.523599,-0.000359679
-3.03687,-0.314159,-0.000685954
-3.03687,-0.10472,-0.000818672
-3.03687,0.10472,-0.000984932
-3.03687,0.314159,-0.000761566
-3.03687,0.523599,0.000103516
-3.03687,0.733038,1.47789e-05
-3.03687,0.942478,0.000193994
-3.03687,1.15192,0.00129053
-3.03687,1.36136,0.00178496
-3.03687,1.5708,0.00248969
-3.03687,1.78024,0.00210376
-3.03687,1.98968,0.00305336
-3.03687,2.19911,0.00277472
-3.03687,2.40855,0.00312864
-3.03687,2.61799,0.00283534
-3.03687,2.82743,0.00486108
-3.03687,3.03687,0.00586359
-2.82743,-3.03687,0.00495465
-2.82743,-2.82743,0.00535045
-2.82743,-2.61799,0.00554523
-2.82743,-2.40855,0.00472023
-2.82743,-2.19911,0.00348852
-2.82743,-1.98968,0.00202876
-2.82743,-1.78024,0.000821053
-2.82743,-1.5708,0.00147013
-2.82743,-1.36136,0.00140424
-2.82743,-1.15192,0.00155302
-2.82743,-0.942478,0.000923792
-2.82743,-0.733038,0.000475726
-2.82743,-0.523599,-0.000345478
-2.82743,-0.314159,-0.000784925
-2.82743,-0.10472,-0.000989791
-2.82743,0.10472,-0.000978834
-2.82743,0.314159,-0.000489673
-2.82743,0.523599,-0.000233745
-2.82743,0.733038,-9.58531e-05
-2.82743,0.942478,0.000883329
-2.82743,1.15192,0.00119374
-2.82743,1.36136,0.00226308
-2.82743,1.5708,0.00344746
-2.82743,1.78024,0.0036558
-2.82743,1.98968,0.00293715
-2.82743,2.19911,0.00341998
-2.82743,2.40855,0.00299261
-2.82743,2.61799,0.0023037
-2.82743,2.82743,0.00346367
-2.82743,3.03687,0.00442254
-2.61799,-3.03687,0.00428838
-2.61799,-2.82743,0.0054761
-2.61799,-2.61799,0.00561336
-2.61799,-2.40855,0.00618101
-2.61799,-2.19911,0.00479292
-2.61799,-1.98968,0.00300456
-2.61799,-1.78024,0.00207216
-2.61799,-1.5708,0.00210411
-2.61799,-1.36136,0.0015711
-2.61799,-1.15192,0.00225967
-2.61799,-0.942478,0.000948783
-2.61799,-0.733038,-0.000242285
-2.61799,-0.523599,-0.000601253
-2.61799,-0.314159,-0.00108344
-2.61799,-0.10472,-0.00122725
-2.61799,0.10472,-0.00106813
-2.61799,0.314159,-0.000705924
-2.61799,0.523599,-0.000855542
-2.61799,0.733038,-0.000765904
-2.61799,0.942478,0.000450176
-2.61799,1.15192,0.00160984
-2.61799,1.36136,0.00215104
-2.61799,1.5708,0.00321639
-2.61799,1.78024,0.00385359
-2.61799,1.98968,0.00382876
-2.61799,2.19911,0.00352651
-2.61799,2.40855,0.00266022
-2.61799,2.61799,0.00222885
-2.61799,2.82743,0.00295319
-2.61799,3.03687,0.0030526
-2.40855,-3.03687,0.00303254
-2.40855,-2.82743,0.00415957
-2.40855,-2.61799,0.00612302
-2.40855,-2.40855,0.00652697
-2.40855,-2.19911,0.00567152
-2.40855,-1.98968,0.00407002
-2.40855,-1.78024,0.00326854
-2.40855,-1.5708,0.00266598
-2.40855,-1.36136,0.00161624
-2.40855,-1.15192,0.00119163
-2.40855,-0.942478,0.000227539
-2.40855,-0.733038,-0.000411525
-2.40855,-0.523599,-0.00133918
-2.40855,-0.314159,-0.00126626
-2.40855,-0.10472,-0.0011913
-2.40855,0.10472,-0.00137217
-2.40855,0.314159,-0.00095452
-2.40855,0.523599,-0.00107879
-2.40855,0.733038,-0.000824704
-2.40855,0.942478,-0.00069961
-2.40855,1.15192,8.50877e-05
-2.40855,1.36136,0.00112213
-2.40855,1.5708,0.00234196
-2.40855,1.78024,0.00331373
-2.40855,1.98968,0.00491081
-2.40855,2.19911,0.00348698
-2.40855,2.40855,0.00288762
-2.40855,2.61799,0.00262661
-2.40855,2.82743,0.00111762
-2.40855,3.03687,0.00235128
-2.19911,-3.03687,0.00205462
-2.19911,-2.82743,0.00273517
-2.19911,-2.61799,0.00335313
-2.19911,-2.40855,0.00585314
-2.19911,-2.19911,0.00537097
-2.19911,-1.98968,0.0039544
-2.19911,-1.78024,0.00266299
-2.19911,-1.5708,0.00259397
-2.19911,-1.36136,0.00150146
-2.19911,-1.15192,0.000516125
-2.19911,-0.942478,-0.000535771
-2.19911,-0.733038,-0.00131063
-2.19911,-0.523599,-0.00156561
