theta1,theta3,density
-3.03687,-3.03687,0.0913954
-3.03687,-2.82743,0.088272
-3.03687,-2.61799,0.082467
-3.03687,-2.40855,0.0747458
-3.03687,-2.19911,0.06601
-3.03687,-1.98968,0.0571093
-3.03687,-1.78024,0.0487111
-3.03687,-1.5708,0.041247
-3.03687,-1.36136,0.0349266
-3.03687,-1.15192,0.0297905
-3.03687,-0.942478,0.0257736
-3.03687,-0.733038,0.0227613
-3.03687,-0.523599,0.0206302
-3.03687,-0.314159,0.0192735
-3.03687,-0.10472,0.0186149
-3.03687,0.10472,0.0186149
-3.03687,0.314159,0.0192735
-3.03687,0.523599,0.0206302
-3.03687,0.733038,0.0227613
-3.03687,0.942478,0.0257736
-3.03687,1.15192,0.0297905
-3.03687,1.36136,0.0349266
-3.03687,1.5708,0.041247
-3.03687,1.78024,0.0487111
-3.03687,1.98968,0.0571093
-3.03687,2.19911,0.06601
-3.03687,2.40855,0.0747458
-3.03687,2.61799,0.082467
-3.03687,2.82743,0.088272
-3.03687,3.03687,0.0913954
-2.82743,-3.03687,0.088272
-2.82743,-2.82743,0.0852553
-2.82743,-2.61799,0.0796487
-2.82743,-2.40855,0.0721914
-2.82743,-2.19911,0.0637541
-2.82743,-1.98968,0.0551576
-2.82743,-1.78024,0.0470464
-2.82743,-1.5708,0.0398374
-2.82743,-1.36136,0.033733
-2.82743,-1.15192,0.0287724
-2.82743,-0.942478,0.0248928
-2.82743,-0.733038,0.0219834
-2.82743,-0.523599,0.0199252
-2.82743,-0.314159,0.0186149
-2.82743,-0.10472,0.0179787
-2.82743,0.10472,0.0179787
-2.82743,0.314159,0.0186149
-2.82743,0.523599,0.0199252
-2.82743,0.733038,0.0219834
-2.82743,0.942478,0.0248928
-2.82743,1.15192,0.0287724
-2.82743,1.36136,0.033733
-2.82743,1.5708,0.0398374
-2.82743,1.78024,0.0470464
-2.82743,1.98968,0.0551576
-2.82743,2.19911,0.0637541
-2.82743,2.40855,0.0721914
-2.82743,2.61799,0.0796487
-2.82743,2.82743,0.0852553
-2.82743,3.03687,0.088272
-2.61799,-3.03687,0.082467
-2.61799,-2.82743,0.0796487
-2.61799,-2.61799,0.0744108
-2.61799,-2.40855,0.0674439
-2.61799,-2.19911,0.0595614
-2.61799,-1.98968,0.0515303
-2.61799,-1.78024,0.0439525
-2.61799,-1.5708,0.0372175
-2.61799,-1.36136,0.0315146
-2.61799,-1.15192,0.0268802
-2.61799,-0.942478,0.0232557
-2.61799,-0.733038,0.0205377
-2.61799,-0.523599,0.0186149
-2.61799,-0.314159,0.0173907
-2.61799,-0.10472,0.0167964
-2.61799,0.10472,0.0167964
-2.61799,0.314159,0.0173907
-2.61799,0.523599,0.0186149
