theta1,theta3,density
-3.03687,-3.03687,0.0897796
-3.03687,-2.82743,0.0869238
-3.03687,-2.61799,0.0813614
-3.03687,-2.40855,0.0730084
-3.03687,-2.19911,0.0649604
-3.03687,-1.98968,0.0562393
-3.03687,-1.78024,0.0483518
-3.03687,-1.5708,0.0414478
-3.03687,-1.36136,0.0353152
-3.03687,-1.15192,0.0302138
-3.03687,-0.942478,0.0267026
-3.03687,-0.733038,0.0236212
-3.03687,-0.523599,0.0212936
-3.03687,-0.314159,0.019484
-3.03687,-0.10472,0.0189114
-3.03687,0.10472,0.0187856
-3.03687,0.314159,0.0199029
-3.03687,0.523599,0.0211939
-3.03687,0.733038,0.0231161
-3.03687,0.942478,0.0261989
-3.03687,1.15192,0.0303841
-3.03687,1.36136,0.0352004
-3.03687,1.5708,0.0411259
-3.03687,1.78024,0.047723
-3.03687,1.98968,0.055846
-3.03687,2.19911,0.0651455
-3.03687,2.40855,0.07278
-3.03687,2.61799,0.0803821
-3.03687,2.82743,0.0862989
-3.03687,3.03687,0.0896594
-2.82743,-3.03687,0.0867544
-2.82743,-2.82743,0.0843573
-2.82743,-2.61799,0.0786218
-2.82743,-2.40855,0.0710559
-2.82743,-2.19911,0.0631733
-2.82743,-1.98968,0.0549713
-2.82743,-1.78024,0.0469741
-2.82743,-1.5708,0.0402043
-2.82743,-1.36136,0.0348135
-2.82743,-1.15192,0.0298107
-2.82743,-0.942478,0.0258436
-2.82743,-0.733038,0.0229959
-2.82743,-0.523599,0.0201619
-2.82743,-0.314159,0.0191766
-2.82743,-0.10472,0.0187607
-2.82743,0.10472,0.018305
-2.82743,0.314159,0.0189959
-2.82743,0.523599,0.020432
-2.82743,0.733038,0.0221636
-2.82743,0.942478,0.02489
-2.82743,1.15192,0.0293324
-2.82743,1.36136,0.0340982
-2.82743,1.5708,0.039497
-2.82743,1.78024,0.0463493
-2.82743,1.98968,0.0540741
-2.82743,2.19911,0.0622808
-2.82743,2.40855,0.069443
-2.82743,2.61799,0.0777347
-2.82743,2.82743,0.0824687
-2.82743,3.03687,0.0863314
-2.61799,-3.03687,0.0813518
-2.61799,-2.82743,0.0788174
-2.61799,-2.61799,0.0743603
-2.61799,-2.40855,0.0680258
-2.61799,-2.19911,0.0597069
-2.61799,-1.98968,0.0515794
-2.61799,-1.78024,0.0441086
-2.61799,-1.5708,0.0383044
-2.61799,-1.36136,0.0328359
-2.61799,-1.15192,0.0286553
