theta1,theta3,density
-3.03687,-3.03687,0.0947548
-3.03687,-2.82743,0.0896508
-3.03687,-2.61799,0.0826415
-3.03687,-2.40855,0.0744478
-3.03687,-2.19911,0.066217
-3.03687,-1.98968,0.0578118
-3.03687,-1.78024,0.0489911
-3.03687,-1.5708,0.0419293
-3.03687,-1.36136,0.0345978
-3.03687,-1.15192,0.0307004
-3.03687,-0.942478,0.0261207
-3.03687,-0.733038,0.0229634
-3.03687,-0.523599,0.0201774
-3.03687,-0.314159,0.0195553
-3.03687,-0.10472,0.0184594
-3.03687,0.10472,0.0180439
-3.03687,0.314159,0.0188776
-3.03687,0.523599,0.0199296
-3.03687,0.733038,0.0224798
-3.03687,0.942478,0.0257381
-3.03687,1.15192,0.0292554
-3.03687,1.36136,0.0350315
-3.03687,1.5708,0.0410305
-3.03687,1.78024,0.0490764
-3.03687,1.98968,0.0571842
-3.03687,2.19911,0.0663759
-3.03687,2.40855,0.0748539
-3.03687,2.61799,0.0829361
-3.03687,2.82743,0.0890862
-3.03687,3.03687,0.0931333
-2.82743,-3.03687,0.0905294
-2.82743,-2.82743,0.0866707
-2.82743,-2.61799,0.0816746
-2.82743,-2.40855,0.0728644
-2.82743,-2.19911,0.0649151
-2.82743,-1.98968,0.057109
-2.82743,-1.78024,0.0482475
-2.82743,-1.5708,0.0416874
-2.82743,-1.36136,0.0336799
-2.82743,-1.15192,0.0290668
-2.82743,-0.942478,0.0256007
-2.82743,-0.733038,0.0226079
-2.82743,-0.523599,0.0198227
-2.82743,-0.314159,0.0182589
-2.82743,-0.10472,0.017739
-2.82743,0.10472,0.0177918
-2.82743,0.314159,0.0185477
-2.82743,0.523599,0.0201127
-2.82743,0.733038,0.0217395
-2.82743,0.942478,0.0242306
-2.82743,1.15192,0.0280457
-2.82743,1.36136,0.0341162
-2.82743,1.5708,0.0408066
-2.82743,1.78024,0.0475454
-2.82743,1.98968,0.0557411
-2.82743,2.19911,0.0629961
-2.82743,2.40855,0.0740667
-2.82743,2.61799,0.0791743
-2.82743,2.82743,0.0853865
-2.82743,3.03687,0.0891287
-2.61799,-3.03687,0.0826622
-2.61799,-2.82743,0.081054
-2.61799,-2.61799,0.0758699
-2.61799,-2.40855,0.0692744
-2.61799,-2.19911,0.0613444
-2.61799,-1.98968,0.0523265
-2.61799,-1.78024,0.0456447
-2.61799,-1.5708,0.0385861
-2.61799,-1.36136,0.0328511
-2.61799,-1.15192,0.0285961
-2.61799,-0.942478,0.0239192
-2.61799,-0.733038,0.0205094
-2.61799,-0.523599,0.0188728
-2.61799,-0.314159,0.0176653
-2.61799,-0.10472,0.0171566
-2.61799,0.10472,0.0168279
-2.61799,0.314159,0.0171528
-2.61799,0.523599,0.0185913
-2.61799,0.733038,0.0208484
-2.61799,0.942478,0.0233623
-2.61799,1.15192,0.0270425
-2.61799,1.36136,0.0317024
-2.61799,1.5708,0.037036
-2.61799,1.78024,0.04317
-2.61799,1.98968,0.0517812
-2.61799,2.19911,0.0590891
-2.61799,2.40855,0.0683222
-2.61799,2.61799,0.0736162
-2.61799,2.82743,0.0813324
-2.61799,3.03687,0.0846118
-2.40855,-3.03687,0.0737702
-2.40855,-2.82743,0.0736492
-2.40855,-2.61799,0.0689948
-2.40855,-2.40855,0.0616331
-2.40855,-2.19911,0.0548858
-2.40855,-1.98968,0.0487478
-2.40855,-1.78024,0.0413861
-2.40855,-1.5708,0.0343296
-2.40855,-1.36136,0.0293425
-2.40855,-1.15192,0.0253715
-2.40855,-0.942478,0.0208424
-2.40855,-0.733038,0.0188106
-2.40855,-0.523599,0.0164961
-2.40855,-0.314159,0.0153736
-2.40855,-0.10472,0.0152336
-2.40855,0.10472,0.0148155
-2.40855,0.314159,0.0152679
-2.40855,0.523599,0.0166352
-2.40855,0.733038,0.0184462
-2.40855,0.942478,0.021117
-2.40855,1.15192,0.0244376
-2.40855,1.36136,0.0282133
-2.40855,1.5708,0.0339622
-2.40855,1.78024,0.0398184
-2.40855,1.98968,0.0471362
-2.40855,2.19911,0.0548372
-2.40855,2.40855,0.0617118
-2.40855,2.61799,0.0684049
-2.40855,2.82743,0.0726615
-2.40855,3.03687,0.0743602
-2.19911,-3.03687,0.066382
-2.19911,-2.82743,0.0650782
-2.19911,-2.61799,0.0615504
-2.19911,-2.40855,0.0562882
-2.19911,-2.19911,0.0495275
-2.19911,-1.98968,0.0431312
-2.19911,-1.78024,0.0367733
-2.19911,-1.5708,0.0312194
-2.19911,-1.36136,0.026677
-2.19911,-1.15192,0.0222547
-2.19911,-0.942478,0.0190985
-2.19911,-0.733038,0.0160203
-2.19911,-0.523599,0.0142123
-2.19911,-0.314159,0.0135875
-2.19911,-0.10472,0.0133761
-2.19911,0.10472,0.0127095
-2.19911,0.314159,0.0131965
-2.19911,0.523599,0.0147771
-2.19911,0.733038,0.0158409
-2.19911,0.942478,0.0184199
-2.19911,1.15192,0.0210869
-2.19911,1.36136,0.0248478
-2.19911,1.5708,0.0301408
-2.19911,1.78024,0.0354864
-2.19911,1.98968,0.0414789
-2.19911,2.19911,0.0476485
-2.19911,2.40855,0.0544924
-2.19911,2.61799,0.0597307
-2.19911,2.82743,0.0630696
-2.19911,3.03687,0.0647315
-1.98968,-3.03687,0.0572448
-1.98968,-2.82743,0.0560268
-1.98968,-2.61799,0.052936
-1.98968,-2.40855,0.0483676
-1.98968,-2.19911,0.0432707
-1.98968,-1.98968,0.0377922
-1.98968,-1.78024,0.0331397
-1.98968,-1.5708,0.0273757
-1.98968,-1.36136,0.0231677
-1.98968,-1.15192,0.0193545
-1.98968,-0.942478,0.016141
-1.98968,-0.733038,0.0140943
-1.98968,-0.523599,0.0122917
-1.98968,-0.314159,0.011574
-1.98968,-0.10472,0.0114044
-1.98968,0.10472,0.0110953
-1.98968,0.314159,0.0112562
-1.98968,0.523599,0.0122218
-1.98968,0.733038,0.0134727
-1.98968,0.942478,0.0156782
-1.98968,1.15192,0.0184339
-1.98968,1.36136,0.0216038
-1.98968,1.5708,0.0252675
-1.98968,1.78024,0.0304132
-1.98968,1.98968,0.0365464
-1.98968,2.19911,0.0415459
-1.98968,2.40855,0.0476446
-1.98968,2.61799,0.0517806
-1.98968,2.82743,0.0559541
-1.98968,3.03687,0.0566746
-1.78024,-3.03687,0.0493341
-1.78024,-2.82743,0.0480926
-1.78024,-2.61799,0.0462234
-1.78024,-2.40855,0.0428718
-1.78024,-2.19911,0.0369203
-1.78024,-1.98968,0.032166
-1.78024,-1.78024,0.0279705
-1.78024,-1.5708,0.0231366
-1.78024,-1.36136,0.0189468
-1.78024,-1.15192,0.0153294
-1.78024,-0.942478,0.0130963
-1.78024,-0.733038,0.0118334
-1.78024,-0.523599,0.0106221
-1.78024,-0.314159,0.00998386
-1.78024,-0.10472,0.00946954
-1.78024,0.10472,0.00931022
-1.78024,0.314159,0.00973979
-1.78024,0.523599,0.0101712
-1.78024,0.733038,0.0110638
-1.78024,0.942478,0.013733
-1.78024,1.15192,0.0157547
-1.78024,1.36136,0.01887
-1.78024,1.5708,0.0220179
-1.78024,1.78024,0.025412
-1.78024,1.98968,0.030412
-1.78024,2.19911,0.0355722
-1.78024,2.40855,0.0394045
-1.78024,2.61799,0.0448002
-1.78024,2.82743,0.0464817
-1.78024,3.03687,0.0493706
-1.5708,-3.03687,0.040762
-1.5708,-2.82743,0.040759
-1.5708,-2.61799,0.0380606
-1.5708,-2.40855,0.0356103
-1.5708,-2.19911,0.0314369
-1.5708,-1.98968,0.027878
-1.5708,-1.78024,0.0232577
-1.5708,-1.5708,0.0195754
-1.5708,-1.36136,0.0157159
-1.5708,-1.15192,0.0130984
-1.5708,-0.942478,0.0108877
-1.5708,-0.733038,0.00972427
-1.5708,-0.523599,0.00912386
-1.5708,-0.314159,0.00826761
-1.5708,-0.10472,0.00780413
-1.5708,0.10472,0.00759377
-1.5708,0.314159,0.00802482
-1.5708,0.523599,0.00877267
-1.5708,0.733038,0.00966614
-1.5708,0.942478,0.0109427
-1.5708,1.15192,0.0127356
-1.5708,1.36136,0.0154547
-1.5708,1.5708,0.0178021
-1.5708,1.78024,0.0209949
-1.5708,1.98968,0.0258037
-1.5708,2.19911,0.0303037
-1.5708,2.40855,0.0345838
-1.5708,2.61799,0.0383584
-1.5708,2.82743,0.0407574
-1.5708,3.03687,0.0416921
-1.36136,-3.03687,0.0354126
-1.36136,-2.82743,0.0344336
-1.36136,-2.61799,0.033096
-1.36136,-2.40855,0.0298643
-1.36136,-2.19911,0.0264923
-1.36136,-1.98968,0.0226264
-1.36136,-1.78024,0.0199026
-1.36136,-1.5708,0.0159775
-1.36136,-1.36136,0.0128641
-1.36136,-1.15192,0.0106989
-1.36136,-0.942478,0.00921098
-1.36136,-0.733038,0.00789847
-1.36136,-0.523599,0.00717787
-1.36136,-0.314159,0.00671366
-1.36136,-0.10472,0.00648975
-1.36136,0.10472,0.00647577
-1.36136,0.314159,0.00690638
-1.36136,0.523599,0.00678188
