theta1,theta3,density
-3.03687,-3.03687,0.0911608
-3.03687,-2.82743,0.0880533
-3.03687,-2.61799,0.0822771
-3.03687,-2.40855,0.0745926
-3.03687,-2.19911,0.0658957
-3.03687,-1.98968,0.0570317
-3.03687,-1.78024,0.0486649
-3.03687,-1.5708,0.0412255
-3.03687,-1.36136,0.0349233
-3.03687,-1.15192,0.0297999
-3.03687,-0.942478,0.0257913
-3.03687,-0.733038,0.0227843
-3.03687,-0.523599,0.0206563
-3.03687,-0.314159,0.0193012
-3.03687,-0.10472,0.0186433
-3.03687,0.10472,0.0186433
-3.03687,0.314159,0.0193012
-3.03687,0.523599,0.0206563
-3.03687,0.733038,0.0227843
-3.03687,0.942478,0.0257913
-3.03687,1.15192,0.0297999
-3.03687,1.36136,0.0349233
-3.03687,1.5708,0.0412255
-3.03687,1.78024,0.0486649
-3.03687,1.98968,0.0570317
-3.03687,2.19911,0.0658957
-3.03687,2.40855,0.0745926
-3.03687,2.61799,0.0822771
-3.03687,2.82743,0.0880533
-3.03687,3.03687,0.0911608
-2.82743,-3.03687,0.0880533
-2.82743,-2.82743,0.0850517
-2.82743,-2.61799,0.0794724
-2.82743,-2.40855,0.0720499
-2.82743,-2.19911,0.0636495
-2.82743,-1.98968,0.0550876
-2.82743,-1.78024,0.047006
-2.82743,-1.5708,0.0398202
-2.82743,-1.36136,0.0337328
-2.82743,-1.15192,0.0287841
-2.82743,-0.942478,0.0249121
-2.82743,-0.733038,0.0220076
-2.82743,-0.523599,0.0199521
-2.82743,-0.314159,0.0186433
-2.82743,-0.10472,0.0180078
-2.82743,0.10472,0.0180078
-2.82743,0.314159,0.0186433
-2.82743,0.523599,0.0199521
-2.82743,0.733038,0.0220076
-2.82743,0.942478,0.0249121
-2.82743,1.15192,0.0287841
-2.82743,1.36136,0.0337328
-2.82743,1.5708,0.0398202
-2.82743,1.78024,0.047006
-2.82743,1.98968,0.0550876
-2.82743,2.19911,0.0636495
-2.82743,2.40855,0.0720499
-2.82743,2.61799,0.0794724
-2.82743,2.82743,0.0850517
-2.82743,3.03687,0.0880533
-2.61799,-3.03687,0.0822771
-2.61799,-2.82743,0.0794724
-2.61799,-2.61799,0.0742591
-2.61799,-2.40855,0.0673235
-2.61799,-2.19911,0.0594741
-2.61799,-1.98968,0.0514739
-2.61799,-1.78024,0.0439224
-2.61799,-1.5708,0.037208
-2.61799,-1.36136,0.03152
-2.61799,-1.15192,0.0268958
-2.61799,-0.942478,0.0232779
-2.61799,-0.733038,0.0205639
-2.61799,-0.523599,0.0186433
-2.61799,-0.314159,0.0174203
-2.61799,-0.10472,0.0168265
-2.61799,0.10472,0.0168265
-2.61799,0.314159,0.0174203
-2.61799,0.523599,0.0186433
-2.61799,0.733038,0.0205639
-2.61799,0.942478,0.0232779
-2.61799,1.15192,0.0268958
-2.61799,1.36136,0.03152
-2.61799,1.5708,0.037208
-2.61799,1.78024,0.0439224
-2.61799,1.98968,0.0514739
-2.61799,2.19911,0.0594741
-2.61799,2.40855,0.0673235
-2.61799,2.61799,0.0742591
-2.61799,2.82743,0.0794724
-2.61799,3.03687,0.0822771
-2.40855,-3.03687,0.0745926
-2.40855,-2.82743,0.0720499
-2.40855,-2.61799,0.0673235
-2.40855,-2.40855,0.0610356
-2.40855,-2.19911,0.0539194
-2.40855,-1.98968,0.0466664
-2.40855,-1.78024,0.0398202
-2.40855,-1.5708,0.0337328
-2.40855,-1.36136,0.0285761
-2.40855,-1.15192,0.0243838
-2.40855,-0.942478,0.0211038
-2.40855,-0.733038,0.0186433
-2.40855,-0.523599,0.0169021
-2.40855,-0.314159,0.0157933
-2.40855,-0.10472,0.0152549
-2.40855,0.10472,0.0152549
-2.40855,0.314159,0.0157933
-2.40855,0.523599,0.0169021
-2.40855,0.733038,0.0186433
-2.40855,0.942478,0.0211038
-2.40855,1.15192,0.0243838
-2.40855,1.36136,0.0285761
-2.40855,1.5708,0.0337328
-2.40855,1.78024,0.0398202
-2.40855,1.98968,0.0466664
-2.40855,2.19911,0.0539194
-2.40855,2.40855,0.0610356
-2.40855,2.61799,0.0673235
-2.40855,2.82743,0.0720499
-2.40855,3.03687,0.0745926
-2.19911,-3.03687,0.0658957
-2.19911,-2.82743,0.0636495
-2.19911,-2.61799,0.0594741
-2.19911,-2.40855,0.0539194
-2.19911,-2.19911,0.0476328
-2.19911,-1.98968,0.0412255
-2.19911,-1.78024,0.0351775
-2.19911,-1.5708,0.0297999
-2.19911,-1.36136,0.0252444
-2.19911,-1.15192,0.0215409
-2.19911,-0.942478,0.0186433
-2.19911,-0.733038,0.0164696
-2.19911,-0.523599,0.0149314
-2.19911,-0.314159,0.0139519
-2.19911,-0.10472,0.0134763
-2.19911,0.10472,0.0134763
-2.19911,0.314159,0.0139519
-2.19911,0.523599,0.0149314
-2.19911,0.733038,0.0164696
-2.19911,0.942478,0.0186433
-2.19911,1.15192,0.0215409
-2.19911,1.36136,0.0252444
-2.19911,1.5708,0.0297999
-2.19911,1.78024,0.0351775
-2.19911,1.98968,0.0412255
-2.19911,2.19911,0.0476328
-2.19911,2.40855,0.0539194
-2.19911,2.61799,0.0594741
-2.19911,2.82743,0.0636495
-2.19911,3.03687,0.0658957
-1.98968,-3.03687,0.0570317
-1.98968,-2.82743,0.0550876
-1.98968,-2.61799,0.0514739
-1.98968,-2.40855,0.0466664
-1.98968,-2.19911,0.0412255
-1.98968,-1.98968,0.03568
-1.98968,-1.78024,0.0304455
-1.98968,-1.5708,0.0257913
-1.98968,-1.36136,0.0218486
-1.98968,-1.15192,0.0186433
-1.98968,-0.942478,0.0161355
-1.98968,-0.733038,0.0142542
-1.98968,-0.523599,0.0129229
-1.98968,-0.314159,0.0120752
-1.98968,-0.10472,0.0116636
-1.98968,0.10472,0.0116636
-1.98968,0.314159,0.0120752
-1.98968,0.523599,0.0129229
-1.98968,0.733038,0.0142542
-1.98968,0.942478,0.0161355
-1.98968,1.15192,0.0186433
-1.98968,1.36136,0.0218486
-1.98968,1.5708,0.0257913
-1.98968,1.78024,0.0304455
-1.98968,1.98968,0.03568
-1.98968,2.19911,0.0412255
-1.98968,2.40855,0.0466664
-1.98968,2.61799,0.0514739
-1.98968,2.82743,0.0550876
-1.98968,3.03687,0.0570317
-1.78024,-3.03687,0.0486649
-1.78024,-2.82743,0.047006
-1.78024,-2.61799,0.0439224
-1.78024,-2.40855,0.0398202
-1.78024,-2.19911,0.0351775
-1.78024,-1.98968,0.0304455
-1.78024,-1.78024,0.025979
-1.78024,-1.5708,0.0220076
-1.78024,-1.36136,0.0186433
-1.78024,-1.15192,0.0159082
-1.78024,-0.942478,0.0137683
-1.78024,-0.733038,0.012163
-1.78024,-0.523599,0.011027
-1.78024,-0.314159,0.0103037
-1.78024,-0.10472,0.00995244
-1.78024,0.10472,0.00995244
-1.78024,0.314159,0.0103037
-1.78024,0.523599,0.011027
-1.78024,0.733038,0.012163
-1.78024,0.942478,0.0137683
-1.78024,1.15192,0.0159082
-1.78024,1.36136,0.0186433
-1.78024,1.5708,0.0220076
-1.78024,1.78024,0.025979
-1.78024,1.98968,0.0304455
-1.78024,2.19911,0.0351775
-1.78024,2.40855,0.0398202
-1.78024,2.61799,0.0439224
-1.78024,2.82743,0.047006
-1.78024,3.03687,0.0486649
-1.5708,-3.03687,0.0412255
-1.5708,-2.82743,0.0398202
-1.5708,-2.61799,0.037208
-1.5708,-2.40855,0.0337328
-1.5708,-2.19911,0.0297999
-1.5708,-1.98968,0.0257913
-1.5708,-1.78024,0.0220076
-1.5708,-1.5708,0.0186433
-1.5708,-1.36136,0.0157933
-1.5708,-1.15192,0.0134763
-1.5708,-0.942478,0.0116636
-1.5708,-0.733038,0.0103037
-1.5708,-0.523599,0.00934134
-1.5708,-0.314159,0.00872855
-1.5708,-0.10472,0.00843101
-1.5708,0.10472,0.00843101
-1.5708,0.314159,0.00872855
-1.5708,0.523599,0.00934134
-1.5708,0.733038,0.0103037
-1.5708,0.942478,0.0116636
-1.5708,1.15192,0.0134763
-1.5708,1.36136,0.0157933
-1.5708,1.5708,0.0186433
-1.5708,1.78024,0.0220076
-1.5708,1.98968,0.0257913
-1.5708,2.19911,0.0297999
-1.5708,2.40855,0.0337328
-1.5708,2.61799,0.037208
-1.5708,2.82743,0.0398202
-1.5708,3.03687,0.0412255
-1.36136,-3.03687,0.0349233
-1.36136,-2.82743,0.0337328
-1.36136,-2.61799,0.03152
-1.36136,-2.40855,0.0285761
-1.36136,-2.19911,0.0252444
-1.36136,-1.98968,0.0218486
-1.36136,-1.78024,0.0186433
-1.36136,-1.5708,0.0157933
-1.36136,-1.36136,0.013379
-1.36136,-1.15192,0.0114162
-1.36136,-0.942478,0.00988054
-1.36136,-0.733038,0.00872855
-1.36136,-0.523599,0.00791333
-1.36136,-0.314159,0.00739422
-1.36136,-0.10472,0.00714216
-1.36136,0.10472,0.00714216
-1.36136,0.314159,0.00739422
-1.36136,0.523599,0.00791333
-1.36136,0.733038,0.00872855
-1.36136,0.942478,0.00988054
-1.36136,1.15192,0.0114162
-1.36136,1.36136,0.013379
-1.36136,1.5708,0.0157933
-1.36136,1.78024,0.0186433
-1.36136,1.98968,0.0218486
-1.36136,2.19911,0.0252444
-1.36136,2.40855,0.0285761
-1.36136,2.61799,0.03152
-1.36136,2.82743,0.0337328
-1.36136,3.03687,0.0349233
-1.15192,-3.03687,0.0297999
-1.15192,-2.82743,0.0287841
-1.15192,-2.61799,0.0268958
-1.15192,-2.40855,0.0243838
-1.15192,-2.19911,0.0215409
