theta1,theta3,diff
-3.03687,-3.03687,0.000111456
-3.03687,-2.82743,-0.000960348
-3.03687,-2.61799,-0.00133035
-3.03687,-2.40855,-0.00152982
-3.03687,-2.19911,-0.00106931
-3.03687,-1.98968,-0.00104544
-3.03687,-1.78024,-0.000239808
-3.03687,-1.5708,0.000513969
-3.03687,-1.36136,0.000760849
-3.03687,-1.15192,0.000917143
-3.03687,-0.942478,0.00094673
-3.03687,-0.733038,0.000554066
-3.03687,-0.523599,0.000489701
-3.03687,-0.314159,0.000579926
-3.03687,-0.10472,0.000864384
-3.03687,0.10472,0.000646971
-3.03687,0.314159,0.00025837
-3.03687,0.523599,0.000224451
-3.03687,0.733038,0.000386259
-3.03687,0.942478,0.000491447
-3.03687,1.15192,-0.000159417
-3.03687,1.36136,8.98401e-05
-3.03687,1.5708,-5.0746e-05
-3.03687,1.78024,-0.000671561
-3.03687,1.98968,-0.000957138
-3.03687,2.19911,-0.00043406
-3.03687,2.40855,-0.00146912
-3.03687,2.61799,-0.00100692
-3.03687,2.82743,-0.000949724
-3.03687,3.03687,0.000603576
-2.82743,-3.03687,-0.000307852
-2.82743,-2.82743,0.00053492
-2.82743,-2.61799,-0.000761208
-2.82743,-2.40855,-0.000325053
-2.82743,-2.19911,-0.000821367
-2.82743,-1.98968,-0.000893701
-2.82743,-1.78024,-0.000361096
-2.82743,-1.5708,0.000844267
-2.82743,-1.36136,0.00130686
-2.82743,-1.15192,0.00128342
-2.82743,-0.942478,0.000899794
-2.82743,-0.733038,0.000574958
-2.82743,-0.523599,0.000452948
-2.82743,-0.314159,0.000466392
-2.82743,-0.10472,0.000459668
-2.82743,0.10472,0.000214862
-2.82743,0.314159,0.00023843
-2.82743,0.523599,0.000498756
-2.82743,0.733038,0.000467839
-2.82743,0.942478,0.000335479
-2.82743,1.15192,0.000227062
-2.82743,1.36136,0.000425098
-2.82743,1.5708,0.000296657
-2.82743,1.78024,-0.000239347
-2.82743,1.98968,-0.000429239
-2.82743,2.19911,-0.000964309
-2.82743,2.40855,-0.00160994
-2.82743,2.61799,-0.00159505
-2.82743,2.82743,-0.00166519
-2.82743,3.03687,-0.00102839
-2.61799,-3.03687,-0.000808249
-2.61799,-2.82743,0.00105536
-2.61799,-2.61799,-4.5626e-05
-2.61799,-2.40855,-9.51374e-05
-2.61799,-2.19911,0.000984668
-2.61799,-1.98968,0.000681454
-2.61799,-1.78024,0.000529439
-2.61799,-1.5708,0.000847798
-2.61799,-1.36136,0.00144804
-2.61799,-1.15192,0.00140018
-2.61799,-0.942478,0.00115422
-2.61799,-0.733038,0.00110953
-2.61799,-0.523599,0.000384997
-2.61799,-0.314159,0.000436449
-2.61799,-0.10472,0.00021014
-2.61799,0.10472,6.61351e-05
-2.61799,0.314159,0.000239491
-2.61799,0.523599,0.000305882
-2.61799,0.733038,0.000241245
-2.61799,0.942478,0.000219436
-2.61799,1.15192,0.000447612
-2.61799,1.36136,0.00112648
-2.61799,1.5708,0.000296945
-2.61799,1.78024,0.000265236
-2.61799,1.98968,-0.00017469
-2.61799,2.19911,-0.000826655
-2.61799,2.40855,-0.00165842
-2.61799,2.61799,-0.00236151
-2.61799,2.82743,-0.00179524
-2.61799,3.03687,-0.00222566
-2.40855,-3.03687,-0.00134804
-2.40855,-2.82743,-0.000126285
-2.40855,-2.61799,-0.000372076
-2.40855,-2.40855,0.000763512
-2.40855,-2.19911,0.00115027
-2.40855,-1.98968,0.0010455
-2.40855,-1.78024,0.00108303
-2.40855,-1.5708,0.00147841
-2.40855,-1.36136,0.00162475
-2.40855,-1.15192,0.00125166
-2.40855,-0.942478,0.00101376
-2.40855,-0.733038,0.000869563
-2.40855,-0.523599,0.000360327
-2.40855,-0.314159,-3.45906e-05
-2.40855,-0.10472,-0.000113147
-2.40855,0.10472,0.000210866
-2.40855,0.314159,-8.07618e-05
-2.40855,0.523599,0.000595351
-2.40855,0.733038,-6.15283e-05
-2.40855,0.942478,-9.6771e-05
-2.40855,1.15192,0.000424193
-2.40855,1.36136,0.000955401
-2.40855,1.5708,0.00109123
-2.40855,1.78024,0.000955056
-2.40855,1.98968,0.000352058
-2.40855,2.19911,-0.000370246
-2.40855,2.40855,-0.00100284
-2.40855,2.61799,-0.00162187
-2.40855,2.82743,-0.00162497
-2.40855,3.03687,-0.00253373
-2.19911,-3.03687,-0.000739028
-2.19911,-2.82743,0.000255904
-2.19911,-2.61799,-0.000191752
-2.19911,-2.40855,0.00168191
-2.19911,-2.19911,0.00122873
-2.19911,-1.98968,0.00119472
-2.19911,-1.78024,0.00111973
-2.19911,-1.5708,0.00202443
-2.19911,-1.36136,0.00218103
-2.19911,-1.15192,0.00132912
-2.19911,-0.942478,0.000730257
-2.19911,-0.733038,0.00036613
-2.19911,-0.523599,7.02299e-05
-2.19911,-0.314159,-5.44275e-05
-2.19911,-0.10472,-8.35456e-05
-2.19911,0.10472,-1.90812e-05
-2.19911,0.314159,-5.16601e-05
-2.19911,0.523599,3.52897e-05
-2.19911,0.733038,-0.000231667
-2.19911,0.942478,5.1315e-05
-2.19911,1.15192,0.000665681
-2.19911,1.36136,0.000755791
-2.19911,1.5708,0.000503167
-2.19911,1.78024,0.000258741
-2.19911,1.98968,0.000728033
-2.19911,2.19911,0.00012621
-2.19911,2.40855,-0.000841538
-2.19911,2.61799,-0.000976196
-2.19911,2.82743,-0.00135351
-2.19911,3.03687,-0.00165692
-1.98968,-3.03687,-0.00136936
-1.98968,-2.82743,-0.000152706
-1.98968,-2.61799,7.15922e-05
-1.98968,-2.40855,0.00144862
-1.98968,-2.19911,0.00174601
-1.98968,-1.98968,0.00210462
-1.98968,-1.78024,0.00226495
-1.98968,-1.5708,0.00203531
-1.98968,-1.36136,0.00170547
-1.98968,-1.15192,0.000574883
-1.98968,-0.942478,0.000369099
-1.98968,-0.733038,0.00014988
-1.98968,-0.523599,-0.000136223
-1.98968,-0.314159,-0.000205944
-1.98968,-0.10472,-0.000547553
-1.98968,0.10472,-0.000675622
-1.98968,0.314159,-0.000422537
-1.98968,0.523599,-1.35739e-05
-1.98968,0.733038,-0.000100919
-1.98968,0.942478,0.00012522
-1.98968,1.15192,5.36772e-05
-1.98968,1.36136,0.000108531
-1.98968,1.5708,4.66448e-05
-1.98968,1.78024,0.000535009
-1.98968,1.98968,0.000769428
-1.98968,2.19911,0.000627951
-1.98968,2.40855,-0.000106033
-1.98968,2.61799,-0.000377294
-1.98968,2.82743,-0.000748503
-1.98968,3.03687,-0.000843041
-1.78024,-3.03687,-0.000658277
-1.78024,-2.82743,0.000464533
-1.78024,-2.61799,0.00120204
-1.78024,-2.40855,0.00141621
-1.78024,-2.19911,0.00177332
-1.78024,-1.98968,0.00235508
-1.78024,-1.78024,0.00230791
-1.78024,-1.5708,0.00158769
-1.78024,-1.36136,0.00099502
-1.78024,-1.15192,-9.47745e-05
-1.78024,-0.942478,0.000221225
-1.78024,-0.733038,-0.000175525
-1.78024,-0.523599,-0.000421101
-1.78024,-0.314159,-0.000447499
-1.78024,-0.10472,-0.000341395
-1.78024,0.10472,-0.000490648
-1.78024,0.314159,-0.000223145
-1.78024,0.523599,-0.00042852
-1.78024,0.733038,-0.000404288
-1.78024,0.942478,-0.000435785
-1.78024,1.15192,-0.000501037
-1.78024,1.36136,-0.000373175
-1.78024,1.5708,-0.000404926
-1.78024,1.78024,-9.66945e-05
-1.78024,1.98968,0.000731439
-1.78024,2.19911,0.000687892
-1.78024,2.40855,-3.2777e-06
-1.78024,2.61799,0.000387803
-1.78024,2.82743,1.47292e-05
-1.78024,3.03687,1.44896e-05
-1.5708,-3.03687,0.000227371
-1.5708,-2.82743,0.000577402
-1.5708,-2.61799,0.00112103
-1.5708,-2.40855,0.00245704
-1.5708,-2.19911,0.00267581
-1.5708,-1.98968,0.0022544
-1.5708,-1.78024,0.00126534
-1.5708,-1.5708,0.000522093
-1.5708,-1.36136,0.000182731
-1.5708,-1.15192,0.000107318
-1.5708,-0.942478,-0.000225323
-1.5708,-0.733038,-0.000520715
-1.5708,-0.523599,-0.000299168
-1.5708,-0.314159,-0.000243613
-1.5708,-0.10472,-0.000558972
-1.5708,0.10472,-0.000627916
-1.5708,0.314159,-0.000522105
-1.5708,0.523599,-0.000457936
-1.5708,0.733038,-0.000463532
-1.5708,0.942478,-0.000772657
-1.5708,1.15192,-0.00072631
-1.5708,1.36136,-0.00084338
-1.5708,1.5708,-0.000581994
-1.5708,1.78024,4.97552e-05
-1.5708,1.98968,0.000404008
-1.5708,2.19911,5.65185e-05
-1.5708,2.40855,0.000141454
-1.5708,2.61799,0.000280416
-1.5708,2.82743,0.000354
-1.5708,3.03687,0.000290334
-1.36136,-3.03687,0.000900343
-1.36136,-2.82743,0.00114484
-1.36136,-2.61799,0.00137633
-1.36136,-2.40855,0.0023593
-1.36136,-2.19911,0.00194773
-1.36136,-1.98968,0.00163217
-1.36136,-1.78024,0.000723691
-1.36136,-1.5708,0.000335437
-1.36136,-1.36136,0.000167069
-1.36136,-1.15192,-0.000128489
-1.36136,-0.942478,-0.000257371
-1.36136,-0.733038,-0.000411198
-1.36136,-0.523599,-0.000577679
-1.36136,-0.314159,-0.000346649
-1.36136,-0.10472,-0.000539621
-1.36136,0.10472,-0.000167614
-1.36136,0.314159,-0.000256345
-1.36136,0.523599,-0.000476433
-1.36136,0.733038,-0.000435687
-1.36136,0.942478,-0.000457307
-1.36136,1.15192,-0.000654434
-1.36136,1.36136,-0.000934908
-1.36136,1.5708,-0.000473875
-1.36136,1.78024,-0.000453117
-1.36136,1.98968,-7.36482e-05
-1.36136,2.19911,3.14755e-05
-1.36136,2.40855,0.000465567
-1.36136,2.61799,0.000524474
-1.36136,2.82743,-6.37124e-05
-1.36136,3.03687,0.000771822
-1.15192,-3.03687,0.000559325
-1.15192,-2.82743,0.00147058
-1.15192,-2.61799,0.00142219
-1.15192,-2.40855,0.00131897
-1.15192,-2.19911,0.000964418
-1.15192,-1.98968,0.000402851
-1.15192,-1.78024,0.00042783
-1.15192,-1.5708,-0.000101029
-1.15192,-1.36136,-0.000195878
-1.15192,-1.15192,-0.000543667
-1.15192,-0.942478,-0.000540596
-1.15192,-0.733038,-0.000411269
-1.15192,-0.523599,-0.000403041
-1.15192,-0.314159,-0.000524745
-1.15192,-0.10472,-0.00026976
-1.15192,0.10472,-0.000249423
-1.15192,0.314159,-0.00037069
-1.15192,0.523599,-0.000370955
-1.15192,0.733038,-0.000270552
-1.15192,0.942478,-0.000376918
-1.15192,1.15192,-0.000637552
-1.15192,1.36136,-0.000931403
-1.15192,1.5708,-0.00064714
-1.15192,1.78024,-0.000508697
-1.15192,1.98968,-0.000351257
-1.15192,2.19911,-0.000347221
-1.15192,2.40855,0.000369274
-1.15192,2.61799,-3.97616e-05
-1.15192,2.82743,6.89827e-05
-1.15192,3.03687,0.000540529
-0.942478,-3.03687,0.000897206
-0.942478,-2.82743,0.000818527
-0.942478,-2.61799,0.000927593
-0.942478,-2.40855,0.000999497
-0.942478,-2.19911,0.000448247
-0.942478,-1.98968,0.000302797
-0.942478,-1.78024,-1.3992e-05
-0.942478,-1.5708,-0.000632253
-0.942478,-1.36136,-0.000370566
-0.942478,-1.15192,-0.000176987
-0.942478,-0.942478,-0.000201842
-0.942478,-0.733038,-0.00045172
-0.942478,-0.523599,-0.000361147
-0.942478,-0.314159,-0.000329681
-0.942478,-0.10472,-0.000244137
-0.942478,0.10472,-0.000369483
-0.942478,0.314159,-0.000300546
-0.942478,0.523599,-0.000203199
-0.942478,0.733038,-0.000512707
-0.942478,0.942478,-0.000584702
-0.942478,1.15192,-0.000481918
-0.942478,1.36136,-0.000472383
-0.942478,1.5708,-0.000529992
-0.942478,1.78024,-0.000536367
-0.942478,1.98968,-0.000155209
-0.942478,2.19911,-0.000159959
-0.942478,2.40855,-0.000394628
-0.942478,2.61799,-9.23131e-05
-0.942478,2.82743,0.00026995
-0.942478,3.03687,0.000599253
-0.733038,-3.03687,0.000583202
-0.733038,-2.82743,0.000758102
-0.733038,-2.61799,0.00107637
-0.733038,-2.40855,0.00106155
-0.733038,-2.19911,0.000218408
-0.733038,-1.98968,2.87396e-05
-0.733038,-1.78024,-0.000422921
-0.733038,-1.5708,-0.000422392
-0.733038,-1.36136,-0.000330679
-0.733038,-1.15192,-0.000341422
-0.733038,-0.942478,-0.000288827
-0.733038,-0.733038,-0.000512129
-0.733038,-0.523599,-0.00040533
-0.733038,-0.314159,-0.000349428
-0.733038,-0.10472,-0.000338919
-0.733038,0.10472,-0.00043444
-0.733038,0.314159,-0.000296455
-0.733038,0.523599,-9.9285e-05
-0.733038,0.733038,-0.000195482
-0.733038,0.942478,-0.000361277
-0.733038,1.15192,-0.000242028
-0.733038,1.36136,-0.000429854
-0.733038,1.5708,-0.000281402
-0.733038,1.78024,-0.000297928
-0.733038,1.98968,-8.1485e-05
-0.733038,2.19911,-0.000569823
-0.733038,2.40855,-0.000641926
-0.733038,2.61799,-0.000388009
-0.733038,2.82743,-0.000155534
-0.733038,3.03687,0.000359825
-0.523599,-3.03687,0.000360298
-0.523599,-2.82743,0.000711893
-0.523599,-2.61799,0.00087451
-0.523599,-2.40855,0.00056416
-0.523599,-2.19911,0.000120647
-0.523599,-1.98968,-0.000218315
-0.523599,-1.78024,-0.000665742
-0.523599,-1.5708,-0.000527935
-0.523599,-1.36136,-0.000466059
-0.523599,-1.15192,-0.000234703
-0.523599,-0.942478,-6.60566e-05
-0.523599,-0.733038,-0.000358967
-0.523599,-0.523599,-0.000396661
-0.523599,-0.314159,-0.000247625
-0.523599,-0.10472,-4.57631e-05
-0.523599,0.10472,-0.000397369
-0.523599,0.314159,-0.000393563
-0.523599,0.523599,-0.000150957
-0.523599,0.733038,-0.000257423
-0.523599,0.942478,-0.000284049
-0.523599,1.15192,-0.00010308
-0.523599,1.36136,-0.000215239
-0.523599,1.5708,-0.000181828
-0.523599,1.78024,-0.000314489
-0.523599,1.98968,-0.000258286
-0.523599,2.19911,-0.000522622
-0.523599,2.40855,-0.000665833
-0.523599,2.61799,-0.000486405
-0.523599,2.82743,-4.31066e-05
-0.523599,3.03687,0.000687956
-0.314159,-3.03687,0.000568635
-0.314159,-2.82743,0.00060613
-0.314159,-2.61799,0.000690044
-0.314159,-2.40855,-7.87631e-05
-0.314159,-2.19911,-1.85262e-05
-0.314159,-1.98968,-0.000169783
-0.314159,-1.78024,-0.000497753
-0.314159,-1.5708,-0.000329962
-0.314159,-1.36136,-0.000424677
-0.314159,-1.15192,-0.000189482
-0.314159,-0.942478,-0.000234352
-0.314159,-0.733038,-0.000190641
-0.314159,-0.523599,-0.000254389
-0.314159,-0.314159,-0.000323434
-0.314159,-0.10472,-0.000294223
-0.314159,0.10472,-0.000315649
-0.314159,0.314159,-0.000180406
-0.314159,0.523599,-0.000182238
-0.314159,0.733038,-0.000119584
-0.314159,0.942478,-0.000372299
-0.314159,1.15192,-0.000249725
-0.314159,1.36136,-0.000144477
-0.314159,1.5708,-0.000275984
-0.314159,1.78024,-0.000541606
-0.314159,1.98968,-0.00050244
-0.314159,2.19911,-0.000443076
-0.314159,2.40855,-0.000243836
-0.314159,2.61799,-0.000223656
-0.314159,2.82743,0.000146788
-0.314159,3.03687,0.000444194
-0.10472,-3.03687,0.000493564
-0.10472,-2.82743,0.000667578
-0.10472,-2.61799,0.000523641
-0.10472,-2.40855,-3.38935e-06
-0.10472,-2.19911,0.000105549
-0.10472,-1.98968,-0.000321323
-0.10472,-1.78024,-0.000360405
-0.10472,-1.5708,-0.000190449
-0.10472,-1.36136,-0.000284246
-0.10472,-1.15192,-0.000134182
-0.10472,-0.942478,-0.000218438
-0.10472,-0.733038,-0.000318824
-0.10472,-0.523599,-8.5095e-05
-0.10472,-0.314159,-0.000110048
-0.10472,-0.10472,-7.3439e-05
-0.10472,0.10472,-0.000197855
-0.10472,0.314159,-0.000181305
-0.10472,0.523599,-0.000312955
-0.10472,0.733038,-6.57756e-05
-0.10472,0.942478,-0.000192292
-0.10472,1.15192,-0.000226981
-0.10472,1.36136,-0.000279448
-0.10472,1.5708,-0.000197221
-0.10472,1.78024,-0.000531731
-0.10472,1.98968,-0.000426745
-0.10472,2.19911,-0.000115582
-0.10472,2.40855,0.000149803
-0.10472,2.61799,-5.14087e-05
-0.10472,2.82743,0.000298282
-0.10472,3.03687,0.00033942
0.10472,-3.03687,0.000610783
0.10472,-2.82743,0.000817517
0.10472,-2.61799,0.000225315
0.10472,-2.40855,7.2621e-05
0.10472,-2.19911,0.000127503
0.10472,-1.98968,0.000113803
0.10472,-1.78024,-0.000310196
0.10472,-1.5708,-0.000257197
0.10472,-1.36136,-0.000394996
0.10472,-1.15192,-0.000383974
0.10472,-0.942478,-0.00022381
0.10472,-0.733038,-0.000186481
0.10472,-0.523599,-0.000228626
0.10472,-0.314159,-0.000233412
0.10472,-0.10472,-7.2667e-05
0.10472,0.10472,-0.000163893
0.10472,0.314159,-0.000241242
0.10472,0.523599,-0.000142239
0.10472,0.733038,-0.000201645
0.10472,0.942478,-0.000233456
0.10472,1.15192,-0.000264931
0.10472,1.36136,-0.00020053
0.10472,1.5708,-6.50414e-05
0.10472,1.78024,-0.000342522
0.10472,1.98968,-0.00029654
0.10472,2.19911,-0.000347776
0.10472,2.40855,-0.000208817
0.10472,2.61799,-0.000156654
0.10472,2.82743,0.000324529
0.10472,3.03687,0.000178553
0.314159,-3.03687,0.000475727
0.314159,-2.82743,0.000683366
0.314159,-2.61799,0.00052605
0.314159,-2.40855,0.000307758
0.314159,-2.19911,6.17728e-05
0.314159,-1.98968,-0.000273715
0.314159,-1.78024,-0.000343189
0.314159,-1.5708,-0.000520571
0.314159,-1.36136,-0.000432872
0.314159,-1.15192,-0.000371976
0.314159,-0.942478,-0.000353751
0.314159,-0.733038,-0.000328344
0.314159,-0.523599,-0.000370925
0.314159,-0.314159,-0.000352034
0.314159,-0.10472,-0.000150631
0.314159,0.10472,-2.28939e-05
0.314159,0.314159,-0.000110791
0.314159,0.523599,-0.000189002
0.314159,0.733038,-0.00023372
0.314159,0.942478,-0.000221106
0.314159,1.15192,-6.38843e-05
0.314159,1.36136,-0.000196212
0.314159,1.5708,-0.000374333
