theta1,theta3,pdf,log_pdf
-3.03687,-3.03687,0.0578288,-2.85027
-3.03687,-2.82743,0.0558502,-2.88508
-3.03687,-2.61799,0.0524466,-2.94796
-3.03687,-2.40855,0.0484552,-3.02712
-3.03687,-2.19911,0.0444778,-3.11277
-3.03687,-1.98968,0.0407843,-3.19946
-3.03687,-1.78024,0.0373986,-3.28612
-3.03687,-1.5708,0.0344644,-3.36783
-3.03687,-1.36136,0.0320291,-3.44111
-3.03687,-1.15192,0.0300628,-3.50447
-3.03687,-0.942478,0.0284831,-3.55844
-3.03687,-0.733038,0.027304,-3.60072
-3.03687,-0.523599,0.0264378,-3.63296
-3.03687,-0.314159,0.0258629,-3.65494
-3.03687,-0.10472,0.0255427,-3.66741
-3.03687,0.10472,0.0255132,-3.66856
-3.03687,0.314159,0.0257861,-3.65792
-3.03687,0.523599,0.0263132,-3.63768
-3.03687,0.733038,0.0271372,-3.60685
-3.03687,0.942478,0.0282632,-3.56619
-3.03687,1.15192,0.0297781,-3.51398
-3.03687,1.36136,0.0316736,-3.45227
-3.03687,1.5708,0.0340977,-3.37853
-3.03687,1.78024,0.03697,-3.29765
-3.03687,1.98968,0.040374,-3.20957
-3.03687,2.19911,0.0442738,-3.11736
-3.03687,2.40855,0.0484912,-3.02637
-3.03687,2.61799,0.0526002,-2.94504
-3.03687,2.82743,0.0559941,-2.88251
-3.03687,3.03687,0.0578812,-2.84936
-2.82743,-3.03687,0.0558667,-2.88479
-2.82743,-2.82743,0.0540194,-2.91841
-2.82743,-2.61799,0.0508204,-2.97946
-2.82743,-2.40855,0.0469587,-3.05849
-2.82743,-2.19911,0.0431549,-3.14296
-2.82743,-1.98968,0.0395799,-3.22943
-2.82743,-1.78024,0.0363288,-3.31514
-2.82743,-1.5708,0.0335182,-3.39567
-2.82743,-1.36136,0.0311923,-3.46758
-2.82743,-1.15192,0.0292903,-3.5305
-2.82743,-0.942478,0.0277782,-3.5835
-2.82743,-0.733038,0.0265913,-3.62717
-2.82743,-0.523599,0.0257407,-3.65968
