h,a_eff,rmse
0.05,0.674844,0.00252242
0.05,0.676344,0.00248255
0.05,0.677844,0.0024427
0.05,0.679344,0.00240286
0.05,0.680844,0.00236305
0.05,0.682344,0.00232327
0.05,0.683844,0.0022835
0.05,0.685344,0.00224377
0.05,0.686844,0.00220406
0.05,0.688344,0.00216438
0.05,0.689844,0.00212474
0.05,0.691344,0.00208513
0.05,0.692844,0.00204555
0.05,0.694344,0.00200602
0.05,0.695844,0.00196653
0.05,0.697344,0.00192708
0.05,0.698844,0.00188769
0.05,0.700344,0.00184834
0.05,0.701844,0.00180906
0.05,0.703344,0.00176983
0.05,0.704844,0.00173067
0.05,0.706344,0.00169158
0.05,0.707844,0.00165256
0.05,0.709344,0.00161363
0.05,0.710844,0.00157478
0.05,0.712344,0.00153603
0.05,0.713844,0.00149739
0.05,0.715344,0.00145885
0.05,0.716844,0.00142044
0.05,0.718344,0.00138216
0.05,0.719844,0.00134402
0.05,0.721344,0.00130604
0.05,0.722844,0.00126824
0.05,0.724344,0.00123062
0.05,0.725844,0.00119321
0.05,0.727344,0.00115603
0.05,0.728844,0.00111909
0.05,0.730344,0.00108244
0.05,0.731844,0.00104609
0.05,0.733344,0.00101009
0.05,0.734844,0.000974459
0.05,0.736344,0.000939257
0.05,0.737844,0.000904528
0.05,0.739344,0.00087033
0.05,0.740844,0.000836729
0.05,0.742344,0.000803801
0.05,0.743844,0.000771632
0.05,0.745344,0.000740323
0.05,0.746844,0.000709989
0.05,0.748344,0.00068076
0.05,0.749844,0.000652785
0.05,0.751344,0.000626234
0.05,0.752844,0.000601297
0.05,0.754344,0.000578183
0.05,0.755844,0.000557121
0.05,0.757344,0.000538352
0.05,0.758844,0.000522124
0.05,0.760344,0.000508682
0.05,0.761844,0.000498254
0.05,0.763344,0.00049103
0.05,0.764844,0.000487157
0.05,0.766344,0.000486714
0.05,0.767844,0.000489712
0.05,0.769344,0.000496089
0.05,0.770844,0.00050572
0.05,0.772344,0.000518423
0.05,0.773844,0.00053398
0.05,0.775344,0.000552151
0.05,0.776844,0.000572687
0.05,0.778344,0.000595346
0.05,0.779844,0.000619895
0.05,0.781344,0.000646119
0.05,0.782844,0.000673824
0.05,0.784344,0.000702835
0.05,0.785844,0.000732997
0.05,0.787344,0.000764175
0.05,0.788844,0.00079625
0.05,0.790344,0.000829119
0.05,0.791844,0.000862691
0.05,0.793344,0.000896887
0.05,0.794844,0.00093164
0.05,0.796344,0.000966889
0.05,0.797844,0.00100258
0.05,0.799344,0.00103868
0.05,0.800844,0.00107513
0.05,0.802344,0.00111191
0.05,0.803844,0.00114898
0.05,0.805344,0.00118632
0.05,0.806844,0.00122389
0.05,0.808344,0.00126169
0.05,0.809844,0.0012997
0.05,0.811344,0.00133788
0.05,0.812844,0.00137624
0.05,0.814344,0.00141475
0.05,0.815844,0.00145341
0.05,0.817344,0.0014922
0.05,0.818844,0.00153111
