theta1,theta3,density
-3.07876,-3.07876,0.0930351
-3.07876,-2.9531,0.0920761
-3.07876,-2.82743,0.0840894
-3.07876,-2.70177,0.0799386
-3.07876,-2.57611,0.077305
-3.07876,-2.45044,0.0754013
-3.07876,-2.32478,0.072324
-3.07876,-2.19911,0.0685883
-3.07876,-2.07345,0.0609308
-3.07876,-1.94779,0.054404
-3.07876,-1.82212,0.0510691
-3.07876,-1.69646,0.0470185
-3.07876,-1.5708,0.0432398
-3.07876,-1.44513,0.0375575
-3.07876,-1.31947,0.0331348
-3.07876,-1.19381,0.0303294
-3.07876,-1.06814,0.0264935
-3.07876,-0.942478,0.0267512
-3.07876,-0.816814,0.0266796
-3.07876,-0.69115,0.0216128
-3.07876,-0.565487,0.0203103
-3.07876,-0.439823,0.0210545
-3.07876,-0.314159,0.0195803
-3.07876,-0.188496,0.0184209
-3.07876,-0.0628319,0.0174906
-3.07876,0.0628319,0.0183494
-3.07876,0.188496,0.0202816
-3.07876,0.314159,0.0212263
-3.07876,0.439823,0.0211547
-3.07876,0.565487,0.0210832
-3.07876,0.69115,0.0210402
-3.07876,0.816814,0.0211691
-3.07876,0.942478,0.0257349
-3.07876,1.06814,0.0306729
-3.07876,1.19381,0.0308876
-3.07876,1.31947,0.0363123
-3.07876,1.44513,0.0349669
-3.07876,1.5708,0.0382016
-3.07876,1.69646,0.0437837
-3.07876,1.82212,0.0509689
-3.07876,1.94779,0.0534594
-3.07876,2.07345,0.0592848
-3.07876,2.19911,0.0643803
-3.07876,2.32478,0.0676436
-3.07876,2.45044,0.0742277
-3.07876,2.57611,0.0800101
-3.07876,2.70177,0.0802964
-3.07876,2.82743,0.0823861
-3.07876,2.9531,0.0896572
-3.07876,3.07876,0.0908595
-2.9531,-3.07876,0.0899577
-2.9531,-2.9531,0.087682
-2.9531,-2.82743,0.0831447
-2.9531,-2.70177,0.0774624
-2.9531,-2.57611,0.0740273
-2.9531,-2.45044,0.0732114
-2.9531,-2.32478,0.0673717
-2.9531,-2.19911,0.0639509
-2.9531,-2.07345,0.0600863
-2.9531,-1.94779,0.0535882
-2.9531,-1.82212,0.0507113
-2.9531,-1.69646,0.0475481
-2.9531,-1.5708,0.0433257
-2.9531,-1.44513,0.0338504
-2.9531,-1.31947,0.0326052
-2.9531,-1.19381,0.0298285
-2.9531,-1.06814,0.0271233
-2.9531,-0.942478,0.0239744
-2.9531,-0.816814,0.0249191
-2.9531,-0.69115,0.0222282
-2.9531,-0.565487,0.0208828
-2.9531,-0.439823,0.0210975
-2.9531,-0.314159,0.0199954
-2.9531,-0.188496,0.0196805
-2.9531,-0.0628319,0.017877
-2.9531,0.0628319,0.020024
-2.9531,0.188496,0.0186929
-2.9531,0.314159,0.0201958
-2.9531,0.439823,0.0195517
-2.9531,0.565487,0.0213837
-2.9531,0.69115,0.0214124
-2.9531,0.816814,0.0231872
-2.9531,0.942478,0.025005
-2.9531,1.06814,0.0269659
-2.9531,1.19381,0.0291701
-2.9531,1.31947,0.0347379
-2.9531,1.44513,0.036298
-2.9531,1.5708,0.0393037
-2.9531,1.69646,0.0469755
-2.9531,1.82212,0.0518849
-2.9531,1.94779,0.05605
-2.9531,2.07345,0.057739
-2.9531,2.19911,0.0614318
-2.9531,2.32478,0.0662982
-2.9531,2.45044,0.0746714
-2.9531,2.57611,0.0792086
-2.9531,2.70177,0.078679
-2.9531,2.82743,0.0819854
-2.9531,2.9531,0.0822
-2.9531,3.07876,0.0891991
-2.82743,-3.07876,0.0875388
-2.82743,-2.9531,0.085077
-2.82743,-2.82743,0.0822287
-2.82743,-2.70177,0.0786933
-2.82743,-2.57611,0.0750721
-2.82743,-2.45044,0.0714223
-2.82743,-2.32478,0.0660835
-2.82743,-2.19911,0.0601436
-2.82743,-2.07345,0.0574813
-2.82743,-1.94779,0.0539746
-2.82743,-1.82212,0.0489651
-2.82743,-1.69646,0.0438553
-2.82743,-1.5708,0.0416511
-2.82743,-1.44513,0.0338934
-2.82743,-1.31947,0.032047
-2.82743,-1.19381,0.0275956
-2.82743,-1.06814,0.0254057
-2.82743,-0.942478,0.0241462
-2.82743,-0.816814,0.0241175
-2.82743,-0.69115,0.0223427
-2.82743,-0.565487,0.0216986
-2.82743,-0.439823,0.0207397
-2.82743,-0.314159,0.0192654
-2.82743,-0.188496,0.018607
-2.82743,-0.0628319,0.0185927
-2.82743,0.0628319,0.0173618
-2.82743,0.188496,0.0182206
-2.82743,0.314159,0.0170039
-2.82743,0.439823,0.020296
-2.82743,0.565487,0.020482
-2.82743,0.69115,0.0213265
-2.82743,0.816814,0.0245183
-2.82743,0.942478,0.0252483
-2.82743,1.06814,0.0255345
-2.82743,1.19381,0.0299143
-2.82743,1.31947,0.0318609
-2.82743,1.44513,0.034423
-2.82743,1.5708,0.0379583
-2.82743,1.69646,0.0436692
-2.82743,1.82212,0.0487217
-2.82743,1.94779,0.0545042
-2.82743,2.07345,0.0587838
-2.82743,2.19911,0.0594995
-2.82743,2.32478,0.0649957
-2.82743,2.45044,0.0688889
-2.82743,2.57611,0.0761027
-2.82743,2.70177,0.0783641
-2.82743,2.82743,0.081055
-2.82743,2.9531,0.0776914
-2.82743,3.07876,0.0860073
-2.70177,-3.07876,0.0807687
-2.70177,-2.9531,0.078679
-2.70177,-2.82743,0.0755731
-2.70177,-2.70177,0.074428
-2.70177,-2.57611,0.0718231
-2.70177,-2.45044,0.0707925
-2.70177,-2.32478,0.0636073
-2.70177,-2.19911,0.0606445
-2.70177,-2.07345,0.0560357
-2.70177,-1.94779,0.0517847
-2.70177,-1.82212,0.0431253
-2.70177,-1.69646,0.0404058
-2.70177,-1.5708,0.0385451
-2.70177,-1.44513,0.0354821
-2.70177,-1.31947,0.0325336
-2.70177,-1.19381,0.0310737
-2.70177,-1.06814,0.0260928
-2.70177,-0.942478,0.0229296
-2.70177,-0.816814,0.0219849
-2.70177,-0.69115,0.0232301
-2.70177,-0.565487,0.0222425
-2.70177,-0.439823,0.0194085
-2.70177,-0.314159,0.0195087
-2.70177,-0.188496,0.0175335
-2.70177,-0.0628319,0.0173331
-2.70177,0.0628319,0.0173904
-2.70177,0.188496,0.0180488
-2.70177,0.314159,0.0177482
-2.70177,0.439823,0.0185927
-2.70177,0.565487,0.0183923
-2.70177,0.69115,0.0212836
-2.70177,0.816814,0.0222425
-2.70177,0.942478,0.0259782
-2.70177,1.06814,0.028254
-2.70177,1.19381,0.0303867
-2.70177,1.31947,0.0352102
-2.70177,1.44513,0.0358543
-2.70177,1.5708,0.0387312
-2.70177,1.69646,0.0415652
-2.70177,1.82212,0.0464173
-2.70177,1.94779,0.0514126
-2.70177,2.07345,0.0575672
-2.70177,2.19911,0.0623621
-2.70177,2.32478,0.0646379
-2.70177,2.45044,0.0656541
-2.70177,2.57611,0.0673288
-2.70177,2.70177,0.0745425
-2.70177,2.82743,0.0782067
-2.70177,2.9531,0.0765034
-2.70177,3.07876,0.0777487
-2.57611,-3.07876,0.0752296
-2.57611,-2.9531,0.0752153
-2.57611,-2.82743,0.0704776
-2.57611,-2.70177,0.0705492
-2.57611,-2.57611,0.0686885
-2.57611,-2.45044,0.066241
-2.57611,-2.32478,0.0647524
-2.57611,-2.19911,0.0620902
-2.57611,-2.07345,0.0545329
-2.57611,-1.94779,0.0491798
-2.57611,-1.82212,0.043154
-2.57611,-1.69646,0.0394612
-2.57611,-1.5708,0.0366844
-2.57611,-1.44513,0.0315604
-2.57611,-1.31947,0.0318037
-2.57611,-1.19381,0.0286119
-2.57611,-1.06814,0.0253914
-2.57611,-0.942478,0.0229009
-2.57611,-0.816814,0.0211691
-2.57611,-0.69115,0.0188503
-2.57611,-0.565487,0.0188074
-2.57611,-0.439823,0.0187072
-2.57611,-0.314159,0.0179343
-2.57611,-0.188496,0.0162167
-2.57611,-0.0628319,0.0184639
-2.57611,0.0628319,0.0180917
-2.57611,0.188496,0.0184066
-2.57611,0.314159,0.0175765
-2.57611,0.439823,0.0187931
-2.57611,0.565487,0.0198379
-2.57611,0.69115,0.0205107
-2.57611,0.816814,0.019795
-2.57611,0.942478,0.0244181
-2.57611,1.06814,0.0273523
-2.57611,1.19381,0.0299287
-2.57611,1.31947,0.0331491
-2.57611,1.44513,0.0334926
-2.57611,1.5708,0.0355251
-2.57611,1.69646,0.0415509
-2.57611,1.82212,0.0432398
