theta1,theta3,density
-3.03687,-3.03687,0.0906514
-3.03687,-2.82743,0.0845184
-3.03687,-2.61799,0.0775486
-3.03687,-2.40855,0.0725517
-3.03687,-2.19911,0.0655383
-3.03687,-1.98968,0.0563033
-3.03687,-1.78024,0.0491106
-3.03687,-1.5708,0.0424459
-3.03687,-1.36136,0.0341257
-3.03687,-1.15192,0.0290939
-3.03687,-0.942478,0.0258437
-3.03687,-0.733038,0.0233423
-3.03687,-0.523599,0.020952
-3.03687,-0.314159,0.0197789
-3.03687,-0.10472,0.0183979
-3.03687,0.10472,0.0191264
-3.03687,0.314159,0.0203068
-3.03687,0.523599,0.020962
-3.03687,0.733038,0.0218803
-3.03687,0.942478,0.0254553
-3.03687,1.15192,0.0299875
-3.03687,1.36136,0.0347778
-3.03687,1.5708,0.0396482
-3.03687,1.78024,0.0486077
-3.03687,1.98968,0.0558765
-3.03687,2.19911,0.0631241
-3.03687,2.40855,0.0716804
-3.03687,2.61799,0.0788318
-3.03687,2.82743,0.0825372
-3.03687,3.03687,0.088565
-2.82743,-3.03687,0.0850423
-2.82743,-2.82743,0.0810239
-2.82743,-2.61799,0.0752882
-2.82743,-2.40855,0.0691241
-2.82743,-2.19911,0.0616067
-2.82743,-1.98968,0.054834
-2.82743,-1.78024,0.0467669
-2.82743,-1.5708,0.0402487
-2.82743,-1.36136,0.032932
-2.82743,-1.15192,0.0282532
-2.82743,-0.942478,0.0243138
-2.82743,-0.733038,0.022932
-2.82743,-0.523599,0.0212565
-2.82743,-0.314159,0.0196462
-2.82743,-0.10472,0.0184705
-2.82743,0.10472,0.018076
-2.82743,0.314159,0.018529
-2.82743,0.523599,0.0200965
-2.82743,0.733038,0.0223014
-2.82743,0.942478,0.0252391
-2.82743,1.15192,0.0288651
-2.82743,1.36136,0.0338627
-2.82743,1.5708,0.0392385
-2.82743,1.78024,0.0473439
-2.82743,1.98968,0.0550865
-2.82743,2.19911,0.0613125
-2.82743,2.40855,0.0680133
-2.82743,2.61799,0.0752719
-2.82743,2.82743,0.0790766
-2.82743,3.03687,0.0824649
-2.61799,-3.03687,0.0768925
-2.61799,-2.82743,0.0735463
-2.61799,-2.61799,0.0705752
-2.61799,-2.40855,0.0663019
-2.61799,-2.19911,0.0601012
-2.61799,-1.98968,0.0514799
-2.61799,-1.78024,0.0423668
-2.61799,-1.5708,0.0370064
-2.61799,-1.36136,0.0323037
-2.61799,-1.15192,0.0279858
-2.61799,-0.942478,0.0231927
-2.61799,-0.733038,0.0208583
-2.61799,-0.523599,0.0195485
-2.61799,-0.314159,0.0181619
-2.61799,-0.10472,0.0174652
-2.61799,0.10472,0.017761
-2.61799,0.314159,0.0179196
-2.61799,0.523599,0.0190535
-2.61799,0.733038,0.0207718
-2.61799,0.942478,0.0244203
-2.61799,1.15192,0.0291417
-2.61799,1.36136,0.0337852
-2.61799,1.5708,0.0373432
-2.61799,1.78024,0.043529
-2.61799,1.98968,0.0511302
-2.61799,2.19911,0.0587408
-2.61799,2.40855,0.0645139
-2.61799,2.61799,0.0686431
-2.61799,2.82743,0.073348
-2.61799,3.03687,0.0762357
-2.40855,-3.03687,0.0718092
-2.40855,-2.82743,0.0679097
-2.40855,-2.61799,0.0665948
-2.40855,-2.40855,0.0614781
-2.40855,-2.19911,0.0551676
-2.40855,-1.98968,0.0467961
-2.40855,-1.78024,0.0394611
-2.40855,-1.5708,0.0348399
-2.40855,-1.36136,0.0307133
-2.40855,-1.15192,0.0262355
-2.40855,-0.942478,0.0214073
-2.40855,-0.733038,0.0185768
-2.40855,-0.523599,0.0172627
-2.40855,-0.314159,0.0167591
-2.40855,-0.10472,0.0165057
-2.40855,0.10472,0.0164523
-2.40855,0.314159,0.0175277
-2.40855,0.523599,0.0183696
-2.40855,0.733038,0.0190315
-2.40855,0.942478,0.0215125
-2.40855,1.15192,0.0258049
-2.40855,1.36136,0.030606
-2.40855,1.5708,0.0350224
-2.40855,1.78024,0.0393947
-2.40855,1.98968,0.045245
-2.40855,2.19911,0.0516825
-2.40855,2.40855,0.060095
-2.40855,2.61799,0.0640508
-2.40855,2.82743,0.0685934
-2.40855,3.03687,0.0719671
-2.19911,-3.03687,0.0654186
-2.19911,-2.82743,0.0615556
-2.19911,-2.61799,0.0588069
-2.19911,-2.40855,0.0548451
-2.19911,-2.19911,0.0480141
-2.19911,-1.98968,0.0421735
-2.19911,-1.78024,0.0361366
-2.19911,-1.5708,0.0320858
-2.19911,-1.36136,0.0280616
-2.19911,-1.15192,0.0234817
-2.19911,-0.942478,0.019634
-2.19911,-0.733038,0.0169616
-2.19911,-0.523599,0.0151798
-2.19911,-0.314159,0.0145081
-2.19911,-0.10472,0.0144431
-2.19911,0.10472,0.0142975
-2.19911,0.314159,0.0146561
-2.19911,0.523599,0.0154643
-2.19911,0.733038,0.0171238
-2.19911,0.942478,0.0183001
-2.19911,1.15192,0.0213274
-2.19911,1.36136,0.0262092
-2.19911,1.5708,0.0310004
-2.19911,1.78024,0.0340076
-2.19911,1.98968,0.0387468
-2.19911,2.19911,0.0457359
-2.19911,2.40855,0.0515764
-2.19911,2.61799,0.0571327
-2.19911,2.82743,0.0627001
-2.19911,3.03687,0.0642133
-1.98968,-3.03687,0.0567987
-1.98968,-2.82743,0.0540062
-1.98968,-2.61799,0.0515239
-1.98968,-2.40855,0.0483442
-1.98968,-2.19911,0.0418217
-1.98968,-1.98968,0.0361226
-1.98968,-1.78024,0.0321998
-1.98968,-1.5708,0.0278541
-1.98968,-1.36136,0.022948
-1.98968,-1.15192,0.0198857
-1.98968,-0.942478,0.0171616
-1.98968,-0.733038,0.0152621
