theta1,theta3,diff
-3.03687,-3.03687,-0.00378557
-3.03687,-2.82743,-0.00361251
-3.03687,-2.61799,-0.0035183
-3.03687,-2.40855,-0.00301236
-3.03687,-2.19911,-0.00220828
-3.03687,-1.98968,-0.00127427
-3.03687,-1.78024,-0.00044408
-3.03687,-1.5708,-0.000262775
-3.03687,-1.36136,0.000451049
-3.03687,-1.15192,0.00110333
-3.03687,-0.942478,0.000819292
-3.03687,-0.733038,0.000367808
-3.03687,-0.523599,0.000471434
-3.03687,-0.314159,0.000581083
-3.03687,-0.10472,0.000639411
-3.03687,0.10472,0.000500956
-3.03687,0.314159,0.000403347
-3.03687,0.523599,0.000275134
-3.03687,0.733038,0.000615817
-3.03687,0.942478,0.000240767
-3.03687,1.15192,-0.000223525
-3.03687,1.36136,-0.000780794
-3.03687,1.5708,-0.000636411
-3.03687,1.78024,-0.00103673
-3.03687,1.98968,-0.00202094
-3.03687,2.19911,-0.00200248
-3.03687,2.40855,-0.00301996
-3.03687,2.61799,-0.00258175
-3.03687,2.82743,-0.0023848
-3.03687,3.03687,-0.00356077
-2.82743,-3.03687,-0.00360381
-2.82743,-2.82743,-0.00347702
-2.82743,-2.61799,-0.00251339
-2.82743,-2.40855,-0.00240598
-2.82743,-2.19911,-0.00139186
-2.82743,-1.98968,-0.000305771
-2.82743,-1.78024,-0.000132173
-2.82743,-1.5708,0.000460387
-2.82743,-1.36136,0.000772047
-2.82743,-1.15192,0.00117925
-2.82743,-0.942478,0.000902163
-2.82743,-0.733038,0.000729849
-2.82743,-0.523599,0.00068494
-2.82743,-0.314159,0.000815871
-2.82743,-0.10472,0.000550052
-2.82743,0.10472,0.000582045
-2.82743,0.314159,0.000515442
-2.82743,0.523599,0.00068002
-2.82743,0.733038,0.000677646
-2.82743,0.942478,0.000328908
-2.82743,1.15192,-0.000328777
-2.82743,1.36136,-0.000696205
-2.82743,1.5708,-0.000793723
-2.82743,1.78024,-0.0011882
-2.82743,1.98968,-0.00169507
-2.82743,2.19911,-0.00207542
-2.82743,2.40855,-0.00273141
-2.82743,2.61799,-0.00387499
-2.82743,2.82743,-0.00413917
-2.82743,3.03687,-0.00370716
-2.61799,-3.03687,-0.00272989
-2.61799,-2.82743,-0.00243624
-2.61799,-2.61799,-0.00208685
-2.61799,-2.40855,-0.000859064
-2.61799,-2.19911,-0.00135511
-2.61799,-1.98968,-0.000465819
-2.61799,-1.78024,0.000206392
-2.61799,-1.5708,0.000622588
-2.61799,-1.36136,0.00119234
-2.61799,-1.15192,0.00110504
-2.61799,-0.942478,0.000812882
-2.61799,-0.733038,0.000897592
-2.61799,-0.523599,0.0011067
-2.61799,-0.314159,0.000946394
-2.61799,-0.10472,0.000788902
-2.61799,0.10472,0.000623613
-2.61799,0.314159,0.000898997
-2.61799,0.523599,0.000689002
-2.61799,0.733038,0.000749175
-2.61799,0.942478,0.000240949
-2.61799,1.15192,0.000101239
-2.61799,1.36136,-0.000420705
-2.61799,1.5708,-0.000548859
-2.61799,1.78024,-0.00128289
-2.61799,1.98968,-0.00170681
-2.61799,2.19911,-0.00210865
-2.61799,2.40855,-0.00271074
-2.61799,2.61799,-0.00370064
-2.61799,2.82743,-0.00438616
-2.61799,3.03687,-0.00328981
-2.40855,-3.03687,-0.002946
-2.40855,-2.82743,-0.00195994
-2.40855,-2.61799,-0.00129084
-2.40855,-2.40855,-0.00102765
-2.40855,-2.19911,-0.000312799
-2.40855,-1.98968,8.51304e-05
-2.40855,-1.78024,0.000843641
-2.40855,-1.5708,0.00102733
-2.40855,-1.36136,0.00104767
-2.40855,-1.15192,0.00139944
-2.40855,-0.942478,0.00116431
-2.40855,-0.733038,0.000939965
-2.40855,-0.523599,0.000945146
-2.40855,-0.314159,0.000695304
-2.40855,-0.10472,0.000674847
-2.40855,0.10472,0.00071123
-2.40855,0.314159,0.000674255
-2.40855,0.523599,0.000543433
-2.40855,0.733038,0.000533691
-2.40855,0.942478,0.000116251
-2.40855,1.15192,0.000455033
-2.40855,1.36136,0.000167515
-2.40855,1.5708,-0.000417085
-2.40855,1.78024,-0.000564765
-2.40855,1.98968,-0.0011676
-2.40855,2.19911,-0.00200666
-2.40855,2.40855,-0.0026523
-2.40855,2.61799,-0.00277681
-2.40855,2.82743,-0.0030445
-2.40855,3.03687,-0.00294158
-2.19911,-3.03687,-0.00252651
-2.19911,-2.82743,-0.00153263
-2.19911,-2.61799,-0.00110077
-2.19911,-2.40855,-0.000191187
-2.19911,-2.19911,0.000553515
-2.19911,-1.98968,0.000886811
-2.19911,-1.78024,0.00130303
-2.19911,-1.5708,0.00151674
-2.19911,-1.36136,0.00144603
-2.19911,-1.15192,0.000868193
-2.19911,-0.942478,0.000904592
-2.19911,-0.733038,0.00069503
-2.19911,-0.523599,0.000618827
-2.19911,-0.314159,0.000515787
-2.19911,-0.10472,0.000552878
-2.19911,0.10472,0.000438417
-2.19911,0.314159,0.000363693
-2.19911,0.523599,0.000315865
-2.19911,0.733038,0.000512954
-2.19911,0.942478,0.000177418
-2.19911,1.15192,0.000317531
-2.19911,1.36136,0.000357141
-2.19911,1.5708,9.42427e-06
-2.19911,1.78024,-0.000233514
-2.19911,1.98968,-0.000727468
-2.19911,2.19911,-0.00154436
-2.19911,2.40855,-0.00153439
-2.19911,2.61799,-0.00192372
-2.19911,2.82743,-0.00251395
-2.19911,3.03687,-0.00287188
-1.98968,-3.03687,-0.00199694
-1.98968,-2.82743,-0.000952063
-1.98968,-2.61799,8.20144e-05
-1.98968,-2.40855,0.000362755
-1.98968,-2.19911,0.00103055
-1.98968,-1.98968,0.00133069
-1.98968,-1.78024,0.0017385
-1.98968,-1.5708,0.00178964
-1.98968,-1.36136,0.00127725
-1.98968,-1.15192,0.00116714
-1.98968,-0.942478,0.000928165
-1.98968,-0.733038,0.000809311
-1.98968,-0.523599,0.000585426
-1.98968,-0.314159,0.000442207
-1.98968,-0.10472,0.000329731
-1.98968,0.10472,0.00023094
-1.98968,0.314159,0.000374443
-1.98968,0.523599,0.000535794
-1.98968,0.733038,0.00037701
-1.98968,0.942478,0.000714206
-1.98968,1.15192,0.000595561
-1.98968,1.36136,0.000329884
-1.98968,1.5708,0.000255534
-1.98968,1.78024,-0.000318921
-1.98968,1.98968,-0.000192557
-1.98968,2.19911,-0.000788552
-1.98968,2.40855,-0.00128585
-1.98968,2.61799,-0.00153568
-1.98968,2.82743,-0.0018711
-1.98968,3.03687,-0.00178298
-1.78024,-3.03687,-0.000821595
-1.78024,-2.82743,-0.000517814
-1.78024,-2.61799,0.000765824
-1.78024,-2.40855,0.00109296
-1.78024,-2.19911,0.00153023
-1.78024,-1.98968,0.00137881
-1.78024,-1.78024,0.00153962
-1.78024,-1.5708,0.00130506
-1.78024,-1.36136,0.0011101
-1.78024,-1.15192,0.00075877
-1.78024,-0.942478,0.000620648
-1.78024,-0.733038,0.000622645
-1.78024,-0.523599,0.000247904
-1.78024,-0.314159,0.000371993
-1.78024,-0.10472,0.000416917
-1.78024,0.10472,8.47996e-05
-1.78024,0.314159,0.000305821
-1.78024,0.523599,9.23015e-05
-1.78024,0.733038,0.000293867
-1.78024,0.942478,0.000146125
-1.78024,1.15192,0.000239934
-1.78024,1.36136,4.95673e-06
-1.78024,1.5708,0.000163846
-1.78024,1.78024,-1.8014e-05
-1.78024,1.98968,0.000158715
-1.78024,2.19911,-0.000220518
-1.78024,2.40855,-0.000393042
-1.78024,2.61799,-0.000672097
-1.78024,2.82743,-0.000508837
-1.78024,3.03687,-0.000945719
-1.5708,-3.03687,1.13616e-05
-1.5708,-2.82743,-8.32085e-05
-1.5708,-2.61799,0.000515408
-1.5708,-2.40855,0.00134705
-1.5708,-2.19911,0.00123456
-1.5708,-1.98968,0.00159635
-1.5708,-1.78024,0.00127916
-1.5708,-1.5708,0.000944331
-1.5708,-1.36136,0.000623445
-1.5708,-1.15192,0.000401277
-1.5708,-0.942478,0.000449005
-1.5708,-0.733038,0.000583238
-1.5708,-0.523599,0.000223138
-1.5708,-0.314159,0.000232777
-1.5708,-0.10472,0.000432859
-1.5708,0.10472,0.000202183
-1.5708,0.314159,0.000271518
-1.5708,0.523599,0.000123964
-1.5708,0.733038,0.000260493
-1.5708,0.942478,-1.48739e-05
-1.5708,1.15192,0.00047507
-1.5708,1.36136,0.000332752
-1.5708,1.5708,0.000116335
-1.5708,1.78024,0.000285812
-1.5708,1.98968,0.000341811
-1.5708,2.19911,-0.000100078
-1.5708,2.40855,8.93894e-05
-1.5708,2.61799,0.000306949
-1.5708,2.82743,-0.000160329
-1.5708,3.03687,-0.000275533
-1.36136,-3.03687,0.000394412
-1.36136,-2.82743,0.000784151
-1.36136,-2.61799,0.000734169
-1.36136,-2.40855,0.00117579
-1.36136,-2.19911,0.00153378
-1.36136,-1.98968,0.0013649
-1.36136,-1.78024,0.00151442
-1.36136,-1.5708,0.000865414
-1.36136,-1.36136,0.000627214
-1.36136,-1.15192,0.000130019
-1.36136,-0.942478,0.000318263
-1.36136,-0.733038,0.000578466
-1.36136,-0.523599,0.00031421
-1.36136,-0.314159,0.00030159
-1.36136,-0.10472,0.000420198
-1.36136,0.10472,0.000287531
-1.36136,0.314159,0.000160387
-1.36136,0.523599,0.000147196
-1.36136,0.733038,2.69912e-05
-1.36136,0.942478,0.000338099
-1.36136,1.15192,0.000508115
-1.36136,1.36136,8.61039e-05
-1.36136,1.5708,0.000171858
-1.36136,1.78024,0.000189694
-1.36136,1.98968,0.000467264
-1.36136,2.19911,0.000264068
-1.36136,2.40855,5.06125e-06
-1.36136,2.61799,0.000154165
-1.36136,2.82743,0.000259152
-1.36136,3.03687,0.000433789
-1.15192,-3.03687,0.000665117
-1.15192,-2.82743,0.00105859
-1.15192,-2.61799,0.00136272
-1.15192,-2.40855,0.00107965
-1.15192,-2.19911,0.00118196
-1.15192,-1.98968,0.000947732
-1.15192,-1.78024,0.0010928
-1.15192,-1.5708,0.000502945
-1.15192,-1.36136,0.000333486
-1.15192,-1.15192,0.000391116
-1.15192,-0.942478,0.00026176
-1.15192,-0.733038,0.000286836
-1.15192,-0.523599,0.000280691
-1.15192,-0.314159,0.000342533
-1.15192,-0.10472,0.00045455
-1.15192,0.10472,0.000148577
-1.15192,0.314159,0.000146476
-1.15192,0.523599,0.000128142
-1.15192,0.733038,9.08623e-05
-1.15192,0.942478,0.000129695
-1.15192,1.15192,0.000160418
-1.15192,1.36136,7.23235e-05
-1.15192,1.5708,0.000270776
-1.15192,1.78024,0.000254695
-1.15192,1.98968,0.000302903
-1.15192,2.19911,0.000291707
-1.15192,2.40855,0.000262272
-1.15192,2.61799,0.000374399
-1.15192,2.82743,0.000427973
-1.15192,3.03687,0.000737482
-0.942478,-3.03687,0.00104812
-0.942478,-2.82743,0.000943894
-0.942478,-2.61799,0.00098597
-0.942478,-2.40855,0.000909157
-0.942478,-2.19911,0.000714235
-0.942478,-1.98968,0.000586195
-0.942478,-1.78024,0.000744747
-0.942478,-1.5708,0.000532718
-0.942478,-1.36136,0.00049433
-0.942478,-1.15192,0.00032104
-0.942478,-0.942478,0.00028548
-0.942478,-0.733038,0.000269299
-0.942478,-0.523599,0.00031094
-0.942478,-0.314159,0.000240701
-0.942478,-0.10472,0.000331496
-0.942478,0.10472,0.000419672
-0.942478,0.314159,0.00011976
-0.942478,0.523599,0.000269417
-0.942478,0.733038,0.00011742
-0.942478,0.942478,7.02929e-05
-0.942478,1.15192,0.000159541
-0.942478,1.36136,6.40769e-05
-0.942478,1.5708,0.000220457
-0.942478,1.78024,0.0004871
-0.942478,1.98968,0.000345274
-0.942478,2.19911,0.000559078
-0.942478,2.40855,0.000453386
-0.942478,2.61799,7.98035e-05
-0.942478,2.82743,0.00023718
-0.942478,3.03687,0.000761598
-0.733038,-3.03687,0.0012618
-0.733038,-2.82743,0.0011882
-0.733038,-2.61799,0.000929805
-0.733038,-2.40855,0.000828921
-0.733038,-2.19911,0.000824727
-0.733038,-1.98968,0.000725346
-0.733038,-1.78024,0.000469382
-0.733038,-1.5708,0.000443296
-0.733038,-1.36136,0.000274751
-0.733038,-1.15192,0.000352575
-0.733038,-0.942478,3.68143e-05
-0.733038,-0.733038,0.000166063
-0.733038,-0.523599,0.000250687
-0.733038,-0.314159,0.000340754
-0.733038,-0.10472,0.000307965
-0.733038,0.10472,0.000354769
-0.733038,0.314159,0.000331834
-0.733038,0.523599,0.000404349
-0.733038,0.733038,0.000500924
-0.733038,0.942478,0.000337529
-0.733038,1.15192,0.000319395
-0.733038,1.36136,0.000154896
-0.733038,1.5708,0.000121372
-0.733038,1.78024,0.000251985
-0.733038,1.98968,0.000505142
-0.733038,2.19911,0.000671293
-0.733038,2.40855,0.000408357
-0.733038,2.61799,0.000202873
-0.733038,2.82743,0.000597615
-0.733038,3.03687,0.000754426
-0.523599,-3.03687,0.000881181
-0.523599,-2.82743,0.000950792
-0.523599,-2.61799,0.000809994
-0.523599,-2.40855,0.00075663
-0.523599,-2.19911,0.000525853
-0.523599,-1.98968,0.000645062
-0.523599,-1.78024,0.000301962
-0.523599,-1.5708,0.000455414
-0.523599,-1.36136,0.000268441
-0.523599,-1.15192,0.000261844
-0.523599,-0.942478,0.000136928
-0.523599,-0.733038,0.000256029
-0.523599,-0.523599,0.000114991
-0.523599,-0.314159,0.000219429
-0.523599,-0.10472,0.000406933
-0.523599,0.10472,0.000382153
-0.523599,0.314159,0.000345952
-0.523599,0.523599,0.000334282
-0.523599,0.733038,0.000505515
-0.523599,0.942478,0.000359308
-0.523599,1.15192,0.000168901
-0.523599,1.36136,0.00030513
-0.523599,1.5708,0.000352909
-0.523599,1.78024,0.000503729
-0.523599,1.98968,0.000476624
-0.523599,2.19911,0.000304943
-0.523599,2.40855,0.000566023
-0.523599,2.61799,0.000332762
-0.523599,2.82743,0.000590464
-0.523599,3.03687,0.000882473
-0.314159,-3.03687,0.000776364
-0.314159,-2.82743,0.000926011
-0.314159,-2.61799,0.0010277
-0.314159,-2.40855,0.000486336
-0.314159,-2.19911,0.0004306
-0.314159,-1.98968,0.000469563
-0.314159,-1.78024,9.30469e-05
-0.314159,-1.5708,0.000214957
-0.314159,-1.36136,0.000272376
-0.314159,-1.15192,0.000493117
-0.314159,-0.942478,0.000295656
-0.314159,-0.733038,0.000210015
-0.314159,-0.523599,0.000242213
-0.314159,-0.314159,0.000323573
-0.314159,-0.10472,0.000248397
-0.314159,0.10472,0.000289009
-0.314159,0.314159,0.000296152
-0.314159,0.523599,0.000412734
-0.314159,0.733038,0.000535868
-0.314159,0.942478,0.000456951
-0.314159,1.15192,0.000335488
-0.314159,1.36136,0.0004798
-0.314159,1.5708,0.000471414
-0.314159,1.78024,0.00016384
-0.314159,1.98968,0.000443836
-0.314159,2.19911,0.000595653
-0.314159,2.40855,0.000311905
-0.314159,2.61799,0.000395329
-0.314159,2.82743,0.000525867
-0.314159,3.03687,0.000648128
-0.10472,-3.03687,0.00069491
-0.10472,-2.82743,0.000798161
-0.10472,-2.61799,0.00078457
-0.10472,-2.40855,0.000674316
-0.10472,-2.19911,0.000417789
-0.10472,-1.98968,0.000368562
-0.10472,-1.78024,0.000243614
-0.10472,-1.5708,0.000317165
-0.10472,-1.36136,0.000265517
-0.10472,-1.15192,0.000410002
-0.10472,-0.942478,0.000385134
-0.10472,-0.733038,9.92718e-05
-0.10472,-0.523599,0.000173129
-0.10472,-0.314159,0.00034086
-0.10472,-0.10472,0.000253696
-0.10472,0.10472,0.000313565
-0.10472,0.314159,0.00040329
-0.10472,0.523599,0.000332453
-0.10472,0.733038,0.000258807
-0.10472,0.942478,0.00021784
-0.10472,1.15192,0.00018163
-0.10472,1.36136,0.000217667
-0.10472,1.5708,0.000228387
-0.10472,1.78024,0.000326371
-0.10472,1.98968,0.00045788
-0.10472,2.19911,0.000398278
-0.10472,2.40855,0.000263938
-0.10472,2.61799,0.00037223
-0.10472,2.82743,0.000446947
-0.10472,3.03687,0.000537317
0.10472,-3.03687,0.000609445
0.10472,-2.82743,0.000539295
0.10472,-2.61799,0.000498836
0.10472,-2.40855,0.000500592
0.10472,-2.19911,0.000352591
0.10472,-1.98968,0.000342
0.10472,-1.78024,0.000581184
0.10472,-1.5708,0.000440233
0.10472,-1.36136,0.00036071
0.10472,-1.15192,0.000324172
0.10472,-0.942478,0.000311981
0.10472,-0.733038,0.00038836
0.10472,-0.523599,0.000145203
0.10472,-0.314159,0.000270826
0.10472,-0.10472,0.00029816
0.10472,0.10472,0.000285306
0.10472,0.314159,0.000323703
0.10472,0.523599,0.000330655
0.10472,0.733038,0.000317143
0.10472,0.942478,0.000458665
0.10472,1.15192,0.000410042
0.10472,1.36136,0.000438736
0.10472,1.5708,0.00028002
0.10472,1.78024,8.67963e-05
0.10472,1.98968,0.000397266
0.10472,2.19911,0.000386144
0.10472,2.40855,0.000166014
0.10472,2.61799,0.000564729
0.10472,2.82743,0.000431364
0.10472,3.03687,0.00042967
0.314159,-3.03687,0.000416491
0.314159,-2.82743,0.000597339
0.314159,-2.61799,0.000700333
0.314159,-2.40855,0.000755717
0.314159,-2.19911,0.000667224
0.314159,-1.98968,0.000488675
0.314159,-1.78024,0.000261703
0.314159,-1.5708,0.000393546
0.314159,-1.36136,0.000356065
0.314159,-1.15192,0.000391667
0.314159,-0.942478,0.000376272
0.314159,-0.733038,0.000379507
0.314159,-0.523599,0.000357343
0.314159,-0.314159,0.000330109
0.314159,-0.10472,0.000287637
0.314159,0.10472,0.00028922
0.314159,0.314159,0.00037637
0.314159,0.523599,0.000231954
0.314159,0.733038,0.000243632
0.314159,0.942478,0.00027398
0.314159,1.15192,0.000324659
0.314159,1.36136,0.000335374
0.314159,1.5708,0.000512076
0.314159,1.78024,0.000385379
0.314159,1.98968,0.000443773
0.314159,2.19911,0.00040682
0.314159,2.40855,0.000249132
0.314159,2.61799,0.000572934
0.314159,2.82743,0.000343028
0.314159,3.03687,0.000214289
0.523599,-3.03687,0.000329453
0.523599,-2.82743,0.000455657
0.523599,-2.61799,0.000489668
0.523599,-2.40855,0.000734797
0.523599,-2.19911,0.000560726
0.523599,-1.98968,0.00045477
0.523599,-1.78024,0.000322124
0.523599,-1.5708,0.000217436
0.523599,-1.36136,0.000253787
0.523599,-1.15192,0.000251399
0.523599,-0.942478,0.000237889
