theta1,theta3,density
-3.03687,-3.03687,0.0876098
-3.03687,-2.82743,0.0846595
-3.03687,-2.61799,0.0789487
-3.03687,-2.40855,0.0717335
-3.03687,-2.19911,0.0638017
-3.03687,-1.98968,0.055835
-3.03687,-1.78024,0.048267
-3.03687,-1.5708,0.0409842
-3.03687,-1.36136,0.0353776
-3.03687,-1.15192,0.0308938
-3.03687,-0.942478,0.0265929
-3.03687,-0.733038,0.0231291
-3.03687,-0.523599,0.0211017
-3.03687,-0.314159,0.0198546
-3.03687,-0.10472,0.0192543
-3.03687,0.10472,0.0191158
-3.03687,0.314159,0.0196769
-3.03687,0.523599,0.0209054
-3.03687,0.733038,0.0233771
-3.03687,0.942478,0.0260143
-3.03687,1.15192,0.0295669
-3.03687,1.36136,0.0341458
-3.03687,1.5708,0.0406105
-3.03687,1.78024,0.0476744
-3.03687,1.98968,0.0550883
-3.03687,2.19911,0.0640075
-3.03687,2.40855,0.0717259
-3.03687,2.61799,0.0798852
-3.03687,2.82743,0.0858872
-3.03687,3.03687,0.0878346
-2.82743,-3.03687,0.0846682
-2.82743,-2.82743,0.0817783
-2.82743,-2.61799,0.0771353
-2.82743,-2.40855,0.0697854
-2.82743,-2.19911,0.0623622
-2.82743,-1.98968,0.0548518
-2.82743,-1.78024,0.0469142
-2.82743,-1.5708,0.0402977
-2.82743,-1.36136,0.034505
-2.82743,-1.15192,0.0299516
-2.82743,-0.942478,0.0257949
-2.82743,-0.733038,0.0227133
-2.82743,-0.523599,0.0206101
-2.82743,-0.314159,0.0194307
-2.82743,-0.10472,0.0185287
-2.82743,0.10472,0.0185607
-2.82743,0.314159,0.0191303
-2.82743,0.523599,0.0206052
-2.82743,0.733038,0.0226611
-2.82743,0.942478,0.0252217
-2.82743,1.15192,0.0284436
-2.82743,1.36136,0.0330368
-2.82743,1.5708,0.0390436
-2.82743,1.78024,0.0458582
-2.82743,1.98968,0.0534625
-2.82743,2.19911,0.0616787
-2.82743,2.40855,0.06946
-2.82743,2.61799,0.0757737
-2.82743,2.82743,0.0811161
-2.82743,3.03687,0.0845648
-2.61799,-3.03687,0.0797371
-2.61799,-2.82743,0.0772124
-2.61799,-2.61799,0.0723239
-2.61799,-2.40855,0.0665848
-2.61799,-2.19911,0.0582063
-2.61799,-1.98968,0.0510645
-2.61799,-1.78024,0.0441589
-2.61799,-1.5708,0.0378401
-2.61799,-1.36136,0.0327069
-2.61799,-1.15192,0.0279853
-2.61799,-0.942478,0.0240686
-2.61799,-0.733038,0.0214353
-2.61799,-0.523599,0.0197216
-2.61799,-0.314159,0.0183371
-2.61799,-0.10472,0.0175853
-2.61799,0.10472,0.01742
-2.61799,0.314159,0.0182897
-2.61799,0.523599,0.0193039
-2.61799,0.733038,0.0212869
-2.61799,0.942478,0.0234967
-2.61799,1.15192,0.0269815
-2.61799,1.36136,0.0310939
-2.61799,1.5708,0.0366687
-2.61799,1.78024,0.0426696
-2.61799,1.98968,0.0498235
-2.61799,2.19911,0.0574528
-2.61799,2.40855,0.0647332
-2.61799,2.61799,0.0707101
-2.61799,2.82743,0.0752625
-2.61799,3.03687,0.0791771
-2.40855,-3.03687,0.0717998
-2.40855,-2.82743,0.0702315
-2.40855,-2.61799,0.0661531
-2.40855,-2.40855,0.0601017
-2.40855,-2.19911,0.0536721
-2.40855,-1.98968,0.0467908
-2.40855,-1.78024,0.040681
-2.40855,-1.5708,0.0347603
-2.40855,-1.36136,0.0296117
-2.40855,-1.15192,0.0257629
-2.40855,-0.942478,0.0222427
-2.40855,-0.733038,0.0195548
-2.40855,-0.523599,0.0178171
-2.40855,-0.314159,0.0164578
-2.40855,-0.10472,0.0158986
-2.40855,0.10472,0.015935
-2.40855,0.314159,0.0164367
-2.40855,0.523599,0.0174154
-2.40855,0.733038,0.0191485
-2.40855,0.942478,0.0211946
-2.40855,1.15192,0.0248185
-2.40855,1.36136,0.0287315
-2.40855,1.5708,0.0333159
-2.40855,1.78024,0.0392726
-2.40855,1.98968,0.045538
-2.40855,2.19911,0.0519782
-2.40855,2.40855,0.058477
-2.40855,2.61799,0.0646671
-2.40855,2.82743,0.0691469
-2.40855,3.03687,0.0718042
-2.19911,-3.03687,0.0634834
-2.19911,-2.82743,0.0622215
-2.19911,-2.61799,0.0584607
-2.19911,-2.40855,0.0537937
-2.19911,-2.19911,0.048229
-2.19911,-1.98968,0.0421338
-2.19911,-1.78024,0.0364844
-2.19911,-1.5708,0.0313072
-2.19911,-1.36136,0.0266716
-2.19911,-1.15192,0.0223842
-2.19911,-0.942478,0.0195194
-2.19911,-0.733038,0.0171343
-2.19911,-0.523599,0.0155189
-2.19911,-0.314159,0.014436
-2.19911,-0.10472,0.0139974
-2.19911,0.10472,0.0138829
-2.19911,0.314159,0.0142839
-2.19911,0.523599,0.015216
-2.19911,0.733038,0.0169522
-2.19911,0.942478,0.0187923
-2.19911,1.15192,0.0218336
-2.19911,1.36136,0.0255827
-2.19911,1.5708,0.0297999
-2.19911,1.78024,0.0349479
-2.19911,1.98968,0.0405195
-2.19911,2.19911,0.0461311
-2.19911,2.40855,0.0524505
-2.19911,2.61799,0.0576377
-2.19911,2.82743,0.0612401
-2.19911,3.03687,0.0631381
-1.98968,-3.03687,0.0551123
-1.98968,-2.82743,0.0542055
-1.98968,-2.61799,0.0516123
-1.98968,-2.40855,0.0470684
-1.98968,-2.19911,0.0422775
-1.98968,-1.98968,0.037016
-1.98968,-1.78024,0.0321761
-1.98968,-1.5708,0.0275632
-1.98968,-1.36136,0.0231015
-1.98968,-1.15192,0.019782
-1.98968,-0.942478,0.017033
-1.98968,-0.733038,0.0150319
-1.98968,-0.523599,0.0134764
-1.98968,-0.314159,0.0124855
-1.98968,-0.10472,0.0119614
-1.98968,0.10472,0.0118626
-1.98968,0.314159,0.0124177
-1.98968,0.523599,0.0134268
-1.98968,0.733038,0.0145996
-1.98968,0.942478,0.0168191
-1.98968,1.15192,0.0192104
-1.98968,1.36136,0.0221541
-1.98968,1.5708,0.0260291
-1.98968,1.78024,0.0301187
-1.98968,1.98968,0.0354927
-1.98968,2.19911,0.0404584
-1.98968,2.40855,0.0454198
-1.98968,2.61799,0.0499946
-1.98968,2.82743,0.0532865
-1.98968,3.03687,0.0553263
-1.78024,-3.03687,0.0478895
-1.78024,-2.82743,0.0465286
-1.78024,-2.61799,0.0447183
-1.78024,-2.40855,0.0409303
-1.78024,-2.19911,0.0367116
-1.78024,-1.98968,0.0318164
-1.78024,-1.78024,0.0275012
-1.78024,-1.5708,0.0232885
-1.78024,-1.36136,0.019725
-1.78024,-1.15192,0.0166362
-1.78024,-0.942478,0.0143572
-1.78024,-0.733038,0.0127538
-1.78024,-0.523599,0.0112432
-1.78024,-0.314159,0.0106442
-1.78024,-0.10472,0.0103381
-1.78024,0.10472,0.010006
-1.78024,0.314159,0.010578
-1.78024,0.523599,0.0110876
-1.78024,0.733038,0.012425
-1.78024,0.942478,0.0138827
-1.78024,1.15192,0.0161174
-1.78024,1.36136,0.0186198
-1.78024,1.5708,0.0221473
-1.78024,1.78024,0.0259436
-1.78024,1.98968,0.0305963
-1.78024,2.19911,0.0349609
-1.78024,2.40855,0.0394443
-1.78024,2.61799,0.0432804
-1.78024,2.82743,0.0465376
-1.78024,3.03687,0.0477654
-1.5708,-3.03687,0.0412583
-1.5708,-2.82743,0.0397541
-1.5708,-2.61799,0.037733
-1.5708,-2.40855,0.03508
-1.5708,-2.19911,0.031025
-1.5708,-1.98968,0.0273699
-1.5708,-1.78024,0.0232626
-1.5708,-1.5708,0.0195592
-1.5708,-1.36136,0.0163859
-1.5708,-1.15192,0.0138458
-1.5708,-0.942478,0.0120807
-1.5708,-0.733038,0.0108555
-1.5708,-0.523599,0.00953361
-1.5708,-0.314159,0.00893096
-1.5708,-0.10472,0.00883379
-1.5708,0.10472,0.00860311
-1.5708,0.314159,0.00896971
-1.5708,0.523599,0.00943443
-1.5708,0.733038,0.0105327
-1.5708,0.942478,0.0116168
-1.5708,1.15192,0.0139196
-1.5708,1.36136,0.0160952
-1.5708,1.5708,0.0187312
-1.5708,1.78024,0.0222692
-1.5708,1.98968,0.0261154
-1.5708,2.19911,0.0296904
-1.5708,2.40855,0.0338224
-1.5708,2.61799,0.0375245
-1.5708,2.82743,0.039677
-1.5708,3.03687,0.0409714
-1.36136,-3.03687,0.035321
-1.36136,-2.82743,0.0345171
-1.36136,-2.61799,0.0322488
-1.36136,-2.40855,0.0297398
-1.36136,-2.19911,0.0267594
-1.36136,-1.98968,0.0231891
-1.36136,-1.78024,0.0201293
-1.36136,-1.5708,0.0166279
-1.36136,-1.36136,0.0139743
-1.36136,-1.15192,0.0115144
-1.36136,-0.942478,0.0101676
-1.36136,-0.733038,0.00927665
-1.36136,-0.523599,0.00819801
-1.36136,-0.314159,0.00766693
-1.36136,-0.10472,0.00753383
-1.36136,0.10472,0.00740116
-1.36136,0.314159,0.00752573
-1.36136,0.523599,0.008031
-1.36136,0.733038,0.00872518
-1.36136,0.942478,0.0101874
-1.36136,1.15192,0.0118925
-1.36136,1.36136,0.0134332
-1.36136,1.5708,0.0159343
-1.36136,1.78024,0.0188045
-1.36136,1.98968,0.0222915
-1.36136,2.19911,0.0254897
-1.36136,2.40855,0.028569
-1.36136,2.61799,0.0316688
-1.36136,2.82743,0.0339921
-1.36136,3.03687,0.0353604
-1.15192,-3.03687,0.0304556
-1.15192,-2.82743,0.029831
-1.15192,-2.61799,0.0282429
-1.15192,-2.40855,0.0254432
-1.15192,-2.19911,0.022698
-1.15192,-1.98968,0.0195626
-1.15192,-1.78024,0.0169702
-1.15192,-1.5708,0.0139475
-1.15192,-1.36136,0.0117179
-1.15192,-1.15192,0.0101014
-1.15192,-0.942478,0.00866269
-1.15192,-0.733038,0.00770591
-1.15192,-0.523599,0.00700514
-1.15192,-0.314159,0.00662476
-1.15192,-0.10472,0.00652209
-1.15192,0.10472,0.00621612
-1.15192,0.314159,0.00642871
-1.15192,0.523599,0.00685259
-1.15192,0.733038,0.00750994
-1.15192,0.942478,0.00853062
-1.15192,1.15192,0.00987066
-1.15192,1.36136,0.0114567
-1.15192,1.5708,0.0137153
-1.15192,1.78024,0.0161321
-1.15192,1.98968,0.0189178
-1.15192,2.19911,0.0218077
-1.15192,2.40855,0.0246258
-1.15192,2.61799,0.0272546
-1.15192,2.82743,0.0292003
-1.15192,3.03687,0.0305279
-0.942478,-3.03687,0.0268217
-0.942478,-2.82743,0.0258367
-0.942478,-2.61799,0.0242417
-0.942478,-2.40855,0.0219875
-0.942478,-2.19911,0.0193291
-0.942478,-1.98968,0.0166911
-0.942478,-1.78024,0.0144813
-0.942478,-1.5708,0.0121644
-0.942478,-1.36136,0.0103436
-0.942478,-1.15192,0.00872197
-0.942478,-0.942478,0.00755364
-0.942478,-0.733038,0.006688
-0.942478,-0.523599,0.00612868
-0.942478,-0.314159,0.00567585
-0.942478,-0.10472,0.0055809
-0.942478,0.10472,0.00566907
-0.942478,0.314159,0.00555491
-0.942478,0.523599,0.00608715
-0.942478,0.733038,0.00653612
-0.942478,0.942478,0.00733846
-0.942478,1.15192,0.00856047
-0.942478,1.36136,0.0099134
-0.942478,1.5708,0.0118521
-0.942478,1.78024,0.0142237
-0.942478,1.98968,0.0164501
-0.942478,2.19911,0.0191739
-0.942478,2.40855,0.0215318
-0.942478,2.61799,0.0233355
-0.942478,2.82743,0.0251299
-0.942478,3.03687,0.0265352
-0.733038,-3.03687,0.0240231
-0.733038,-2.82743,0.0231716
-0.733038,-2.61799,0.0214675
-0.733038,-2.40855,0.0194438
-0.733038,-2.19911,0.017264
-0.733038,-1.98968,0.014948
-0.733038,-1.78024,0.0126005
-0.733038,-1.5708,0.0107155
-0.733038,-1.36136,0.00897294
-0.733038,-1.15192,0.00777165
-0.733038,-0.942478,0.00645552
-0.733038,-0.733038,0.00583458
-0.733038,-0.523599,0.00538848
-0.733038,-0.314159,0.00514067
-0.733038,-0.10472,0.00494385
-0.733038,0.10472,0.00499065
-0.733038,0.314159,0.00513175
-0.733038,0.523599,0.00554214
-0.733038,0.733038,0.00616944
-0.733038,0.942478,0.00675623
-0.733038,1.15192,0.00773847
-0.733038,1.36136,0.00885308
-0.733038,1.5708,0.0103936
-0.733038,1.78024,0.0123831
-0.733038,1.98968,0.0147278
-0.733038,2.19911,0.0171106
-0.733038,2.40855,0.0190232
-0.733038,2.61799,0.0207406
-0.733038,2.82743,0.0225811
-0.733038,3.03687,0.0235157
-0.523599,-3.03687,0.0215114
-0.523599,-2.82743,0.020876
-0.523599,-2.61799,0.0194248
-0.523599,-2.40855,0.0176286
-0.523599,-2.19911,0.015426
-0.523599,-1.98968,0.0135361
-0.523599,-1.78024,0.0112973
-0.523599,-1.5708,0.00976588
-0.523599,-1.36136,0.00815224
-0.523599,-1.15192,0.00698629
-0.523599,-0.942478,0.00595467
-0.523599,-0.733038,0.00539382
-0.523599,-0.523599,0.00477175
-0.523599,-0.314159,0.00456994
-0.523599,-0.10472,0.00460877
-0.523599,0.10472,0.00458399
-0.523599,0.314159,0.00469647
-0.523599,0.523599,0.00499104
-0.523599,0.733038,0.00564331
-0.523599,0.942478,0.00617704
-0.523599,1.15192,0.00689335
-0.523599,1.36136,0.00818893
-0.523599,1.5708,0.00966338
-0.523599,1.78024,0.011499
-0.523599,1.98968,0.0133676
-0.523599,2.19911,0.015205
-0.523599,2.40855,0.017438
-0.523599,2.61799,0.0189476
-0.523599,2.82743,0.0205157
-0.523599,3.03687,0.0215127
-0.314159,-3.03687,0.0200499
-0.314159,-2.82743,0.0195409
-0.314159,-2.61799,0.0184184
-0.314159,-2.40855,0.0162488
-0.314159,-2.19911,0.0143508
-0.314159,-1.98968,0.0125128
-0.314159,-1.78024,0.0103653
-0.314159,-1.5708,0.00891314
-0.314159,-1.36136,0.00763772
-0.314159,-1.15192,0.00677535
-0.314159,-0.942478,0.0057308
-0.314159,-0.733038,0.00500993
-0.314159,-0.523599,0.00459273
-0.314159,-0.314159,0.00438799
-0.314159,-0.10472,0.00417391
-0.314159,0.10472,0.00421452
-0.314159,0.314159,0.00436056
-0.314159,0.523599,0.00476325
-0.314159,0.733038,0.00533579
-0.314159,0.942478,0.0058921
-0.314159,1.15192,0.00661772
-0.314159,1.36136,0.00784514
-0.314159,1.5708,0.0091696
-0.314159,1.78024,0.0104361
-0.314159,1.98968,0.0124871
-0.314159,2.19911,0.0145159
-0.314159,2.40855,0.0160744
-0.314159,2.61799,0.017786
-0.314159,2.82743,0.0191407
-0.314159,3.03687,0.0199216
-0.10472,-3.03687,0.0193098
-0.10472,-2.82743,0.0187769
-0.10472,-2.61799,0.0175809
-0.10472,-2.40855,0.0158981
-0.10472,-2.19911,0.0138623
-0.10472,-1.98968,0.0120002
-0.10472,-1.78024,0.0101648
-0.10472,-1.5708,0.00871809
-0.10472,-1.36136,0.00737915
-0.10472,-1.15192,0.00647754
-0.10472,-0.942478,0.00563454
-0.10472,-0.733038,0.00473515
-0.10472,-0.523599,0.00437497
-0.10472,-0.314159,0.00426637
-0.10472,-0.10472,0.00404506
-0.10472,0.10472,0.00410492
-0.10472,0.314159,0.0043288
-0.10472,0.523599,0.00453429
-0.10472,0.733038,0.00489469
-0.10472,0.942478,0.00546724
-0.10472,1.15192,0.00624917
-0.10472,1.36136,0.0073313
-0.10472,1.5708,0.00862932
-0.10472,1.78024,0.0102475
-0.10472,1.98968,0.0120896
-0.10472,2.19911,0.0138428
-0.10472,2.40855,0.0154877
-0.10472,2.61799,0.0171686
-0.10472,2.82743,0.0184256
-0.10472,3.03687,0.0191522
0.10472,-3.03687,0.0192243
0.10472,-2.82743,0.018518
0.10472,-2.61799,0.0172952
0.10472,-2.40855,0.0157244
0.10472,-2.19911,0.0137971
0.10472,-1.98968,0.0119737
0.10472,-1.78024,0.0105024
0.10472,-1.5708,0.00884116
0.10472,-1.36136,0.00747434
0.10472,-1.15192,0.00639171
0.10472,-0.942478,0.00556138
0.10472,-0.733038,0.00502424
0.10472,-0.523599,0.00434704
0.10472,-0.314159,0.00419634
0.10472,-0.10472,0.00408952
0.10472,0.10472,0.00407667
0.10472,0.314159,0.00424922
0.10472,0.523599,0.00453249
0.10472,0.733038,0.00495303
0.10472,0.942478,0.00570807
0.10472,1.15192,0.00647758
0.10472,1.36136,0.00755237
0.10472,1.5708,0.00868095
0.10472,1.78024,0.010008
0.10472,1.98968,0.0120289
0.10472,2.19911,0.0138307
0.10472,2.40855,0.0153898
0.10472,2.61799,0.0173611
0.10472,2.82743,0.0184101
0.10472,3.03687,0.0190445
0.314159,-3.03687,0.01969
0.314159,-2.82743,0.0192122
0.314159,-2.61799,0.018091
0.314159,-2.40855,0.0165182
0.314159,-2.19911,0.0145874
0.314159,-1.98968,0.0125319
0.314159,-1.78024,0.0105339
0.314159,-1.5708,0.00909173
0.314159,-1.36136,0.00772141
0.314159,-1.15192,0.0066739
0.314159,-0.942478,0.00581142
0.314159,-0.733038,0.00517942
0.314159,-0.523599,0.00470786
0.314159,-0.314159,0.00439452
0.314159,-0.10472,0.00421315
0.314159,0.10472,0.00421473
0.314159,0.314159,0.00444078
0.314159,0.523599,0.00458247
0.314159,0.733038,0.00504355
0.314159,0.942478,0.00570913
0.314159,1.15192,0.00660689
0.314159,1.36136,0.00770071
0.314159,1.5708,0.00921026
0.314159,1.78024,0.0106576
