mode,n,clone_count,horizon,selection_time,dt,k,gauge_shift,control_scale,resample_threshold,independent_runs,mean_scgf,run_scgf_se,scgf_ci_low,scgf_ci_high,mean_late_half_scgf,late_half_scgf_se,late_half_ci_low,late_half_ci_high,minimum_weight_ess,minimum_final_unique_roots,minimum_final_root_weight_ess,support_gate
controlled_exact,20,512,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.08645095492015434,0.0035567155046996126,-0.0977700110370309,-0.07513189880327778,-0.08626572833397242,0.0065467712364341195,-0.10710047626689984,-0.065430980401045,264.1568731744785,67,28.549771291657592,1
controlled_exact,20,512,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.077463549421175,0.007664390284541432,-0.10185505996446623,-0.05307203887788378,-0.09995022993987931,0.004104060438887941,-0.11301118192027927,-0.08688927795947936,135.1939022215754,32,15.776600866634569,0
controlled_exact,20,512,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.08539463763972424,0.002840813335381135,-0.09443537354290862,-0.07635390173653986,-0.08433832035929412,0.0034926605794891705,-0.09545352511609947,-0.07322311560248876,264.1568731744785,30,14.277995642701525,1
controlled_exact,20,512,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.08286265674838461,0.0065958382323785345,-0.1038535577612667,-0.06187175573550252,-0.08826176407559422,0.00836799953723972,-0.11489247328549854,-0.06163105486568989,132.53460070295975,13,6.534649516402433,1
controlled_exact,20,512,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.08633461592597289,0.0018041482348642268,-0.09207622081020067,-0.0805930110417451,-0.0872063012959768,0.0037701466905066027,-0.09920459070155713,-0.07520801189039647,261.4475183084927,22,8.935305746813007,1
controlled_exact,20,512,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.08503754374674144,0.004229850813151008,-0.09849881683895514,-0.07157627065452773,-0.08880100197883722,0.002843486102528432,-0.0978502438199544,-0.07975176013772005,132.53460070295975,9,2.1099467168912285,1
controlled_exact,20,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.08232248076421494,0.0033834012401373565,-0.09308997354018239,-0.0715549879882475,-0.08903095553842968,0.005134191666191781,-0.10537024483712013,-0.07269166623973924,542.2456708711104,146,62.46729417371619,1
controlled_exact,20,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.07184921371408381,0.002886713624784369,-0.08103602482369097,-0.06266240260447666,-0.08798964695230163,0.0021543762643599597,-0.0948458337350049,-0.08113346016959837,268.87327553683446,74,25.484275506732125,1
controlled_exact,20,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.08619330213936256,0.0031103140081103963,-0.09609170946274566,-0.07629489481597947,-0.09006412351451018,0.00355760832140957,-0.10138602097262664,-0.07874222605639372,536.1315012793201,71,35.5642382309049,1
controlled_exact,20,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.08070694404339865,0.0034038472302863154,-0.09153950508517351,-0.06987438300162378,-0.08956467437271345,0.005237059494199933,-0.10623133501058099,-0.07289801373484592,268.87327553683446,29,11.756390707686789,1
controlled_exact,20,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.08575513510533196,0.002900525584328094,-0.09498590203455777,-0.07652436817610615,-0.08645529683816242,0.003225428710032606,-0.09672005051936168,-0.07619054315696315,533.7032524575255,47,19.982010823995733,1
controlled_exact,20,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.08236564243268506,0.001560792243695697,-0.08733277994194989,-0.07739850492342022,-0.09039633428288274,0.0015751984079055044,-0.0954093186362104,-0.08538334992955508,268.87327553683446,17,6.302674761074713,1
