path,mode,n,clone_count,horizon,selection_time,dt,k,gauge_shift,control_scale,resample_threshold,seed,scgf,late_half_scgf,minimum_weight_ess_to_horizon,final_unique_roots,final_root_weight_ess,midpoint_failures
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run1_summary.csv,controlled_exact,40,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,89701,-0.03074618823896036,-0.036212982496362046,510.26013072306915,159,94.99691973183548,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run1_summary.csv,controlled_exact,40,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,89701,-0.030732360568931673,-0.030718532898902983,510.26013072306915,84,39.91230207064555,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run1_summary.csv,controlled_exact,40,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,89701,-0.031565130801027436,-0.03420672215810967,507.91815089448943,48,26.58391643849508,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run1_summary.csv,controlled_exact,40,1024,80.0,2.0,0.0005,0.4,0.1,0.5,1.0,89701,-0.03301472333706614,-0.03529708610520062,488.41357865028533,34,16.57460799190693,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run1_summary.csv,controlled_exact,40,1024,100.0,2.0,0.0005,0.4,0.1,0.5,1.0,89701,-0.034270007463425636,-0.036750502715372876,475.14395813211667,29,12.740589536098758,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run1_summary.csv,controlled_exact,40,1024,120.0,2.0,0.0005,0.4,0.1,0.5,1.0,89701,-0.03427250929967153,-0.036979887798315625,475.14395813211667,22,9.285185513149738,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run2_summary.csv,controlled_exact,40,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,89703,-0.03447185950492866,-0.0365190972042936,512.6325224864776,150,83.95324259407526,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run2_summary.csv,controlled_exact,40,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,89703,-0.03109643810485494,-0.02772101670478122,509.21733250958204,82,41.596953348143444,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run2_summary.csv,controlled_exact,40,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,89703,-0.0327726086033383,-0.036073650318655184,505.71423103244905,50,21.749274039658175,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run2_summary.csv,controlled_exact,40,1024,80.0,2.0,0.0005,0.4,0.1,0.5,1.0,89703,-0.03533001616249285,-0.03956359422013076,501.7919424774741,41,17.504857934626557,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run2_summary.csv,controlled_exact,40,1024,100.0,2.0,0.0005,0.4,0.1,0.5,1.0,89703,-0.0369168307447804,-0.043016774673481264,494.2020463014769,33,15.538142374488768,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run2_summary.csv,controlled_exact,40,1024,120.0,2.0,0.0005,0.4,0.1,0.5,1.0,89703,-0.03818931996532683,-0.043606031327315366,492.66776310539313,26,9.984156002437539,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run3_summary.csv,controlled_exact,40,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,89705,-0.028757543863537148,-0.03049983123577853,515.8125192320409,152,93.38938368364802,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run3_summary.csv,controlled_exact,40,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,89705,-0.030282002546127874,-0.031806461228718594,515.8125192320409,82,46.083150215346755,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run3_summary.csv,controlled_exact,40,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,89705,-0.029482562657089536,-0.031948177392468816,515.8125192320409,54,29.101243339253998,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run3_summary.csv,controlled_exact,40,1024,80.0,2.0,0.0005,0.4,0.1,0.5,1.0,89705,-0.027960477314993747,-0.025638952083859624,515.8125192320409,39,17.372610093111103,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run3_summary.csv,controlled_exact,40,1024,100.0,2.0,0.0005,0.4,0.1,0.5,1.0,89705,-0.0276078796746083,-0.02782763953818625,515.8125192320409,32,16.411181018561994,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run3_summary.csv,controlled_exact,40,1024,120.0,2.0,0.0005,0.4,0.1,0.5,1.0,89705,-0.028082420728246796,-0.026682278799404057,513.1889427260569,24,11.055563755983384,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run4_summary.csv,controlled_exact,40,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,89707,-0.03719105416032322,-0.041560009472545366,504.20787425249847,150,78.14696676106722,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run4_summary.csv,controlled_exact,40,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,89707,-0.03259300820932254,-0.027994962258321855,504.20787425249847,79,38.75290117525316,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run4_summary.csv,controlled_exact,40,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,89707,-0.02903030605085434,-0.022317082728087426,504.20787425249847,51,24.25013876040703,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run4_summary.csv,controlled_exact,40,1024,80.0,2.0,0.0005,0.4,0.1,0.5,1.0,89707,-0.02954858945654574,-0.026504170703768936,504.20787425249847,33,16.573036194088825,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run4_summary.csv,controlled_exact,40,1024,100.0,2.0,0.0005,0.4,0.1,0.5,1.0,89707,-0.02709011066082387,-0.024111412364607555,504.20787425249847,25,13.265389773043545,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p4_run4_summary.csv,controlled_exact,40,1024,120.0,2.0,0.0005,0.4,0.1,0.5,1.0,89707,-0.029825322945101672,-0.030620339839349007,486.14868972884824,20,11.51850956785377,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run1_summary.csv,controlled_exact,40,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,89702,-0.02647684333816065,-0.036745094559776745,222.32416624861222,70,32.920256184854956,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run1_summary.csv,controlled_exact,40,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,89702,-0.03056906115884924,-0.034661278979537836,219.92240854899492,33,17.042811169261775,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run1_summary.csv,controlled_exact,40,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,89702,-0.03721150068326916,-0.04599570907247614,218.6185653551422,20,9.168919746069498,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run1_summary.csv,controlled_exact,40,1024,80.0,2.0,0.0005,0.6,0.1,0.5,1.0,89702,-0.03691289389571263,-0.04325672663257603,210.96269486503638,10,8.64234731723399,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run1_summary.csv,controlled_exact,40,1024,100.0,2.0,0.0005,0.6,0.1,0.5,1.0,89702,-0.03671862436462805,-0.03906576845287288,210.96269486503638,10,7.458502859419012,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run1_summary.csv,controlled_exact,40,1024,120.0,2.0,0.0005,0.6,0.1,0.5,1.0,89702,-0.035710706213803074,-0.034209911744336984,210.96269486503638,10,5.605439849463285,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run2_summary.csv,controlled_exact,40,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,89704,-0.01056923358414128,-0.02056228238701774,247.0504463969758,66,28.89435106089832,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run2_summary.csv,controlled_exact,40,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,89704,-0.016858161967402863,-0.023147090350664444,224.2334428628429,34,17.296384270256006,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run2_summary.csv,controlled_exact,40,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,89704,-0.02065814623055248,-0.027469845644000908,224.2334428628429,26,14.027397260273972,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run2_summary.csv,controlled_exact,40,1024,80.0,2.0,0.0005,0.6,0.1,0.5,1.0,89704,-0.03152306906403956,-0.046187976160676256,224.2334428628429,17,9.011946301803118,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run2_summary.csv,controlled_exact,40,1024,100.0,2.0,0.0005,0.6,0.1,0.5,1.0,89704,-0.03181426775394607,-0.04509907984360072,198.2730033540844,12,4.251098678342658,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run2_summary.csv,controlled_exact,40,1024,120.0,2.0,0.0005,0.6,0.1,0.5,1.0,89704,-0.03650446398045827,-0.05235078173036407,198.2730033540844,9,4.613262001970998,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run3_summary.csv,controlled_exact,40,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,89706,-0.021221660556566647,-0.03620816053974361,223.7410473409137,69,27.822542984504352,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run3_summary.csv,controlled_exact,40,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,89706,-0.041307245979009664,-0.061392831401452685,223.7410473409137,28,11.108738028646496,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run3_summary.csv,controlled_exact,40,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,89706,-0.033938371232673785,-0.034881472580525825,223.7410473409137,15,7.2222941605939965,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n40_k04_06_remedial/N1024_t120/n40_t120_k0p6_run3_summary.csv,controlled_exact,40,1024,80.0,2.0,0.0005,0.6,0.1,0.5,1.0,89706,-0.033454017686554954,-0.025600789394100244,223.7410473409137,9,5.580856680575662,0
