n,tau,inverse_tau,k,psi_medium,psi_right,right_minus_medium,difference_ci_low,difference_ci_high,tau_times_difference,medium_reliability_gate,right_reliability_gate,paired_reliability_gate
10,20.0,0.05,0.05,-0.054255764745954685,-0.05516573959963189,-0.0009099748536772062,-0.0009178115478625994,-0.0009017628152132669,-0.018199497073544124,1,1,1
10,20.0,0.05,0.1,-0.09294567733063933,-0.09624092096280075,-0.0032952436321614237,-0.00332881536342825,-0.003263322591437376,-0.06590487264322847,1,1,1
10,20.0,0.05,0.2,-0.13949717966527864,-0.15104974737645938,-0.011552567711180739,-0.011737152442378133,-0.011378472743700267,-0.23105135422361478,1,1,1
10,20.0,0.05,0.3,-0.15784224706193967,-0.18223673544860192,-0.02439448838666225,-0.025551383788780475,-0.023568738833428332,-0.487889767733245,1,1,1
10,40.0,0.025,0.05,-0.054701850683643596,-0.05516384064864908,-0.00046198996500548123,-0.0004697285120904953,-0.0004539142937933033,-0.01847959860021925,1,1,1
10,40.0,0.025,0.1,-0.09452524291522395,-0.09621444728203699,-0.001689204366813038,-0.0017241679215381199,-0.0016554316379722989,-0.06756817467252152,1,1,1
10,40.0,0.025,0.2,-0.1448044185383635,-0.15086590952128454,-0.006061490982921025,-0.006465673843875426,-0.005707907262892276,-0.242459639316841,1,1,1
10,40.0,0.025,0.3,-0.16852098395029436,-0.18201920275765665,-0.013498218807362294,-0.016214064654314842,-0.011214477442763111,-0.5399287522944918,0,0,0
10,60.0,0.016666666666666666,0.05,-0.05488090785790224,-0.05518546513031527,-0.0003045572724130266,-0.0003147566694685926,-0.00029564175605669774,-0.018273436344781596,1,1,1
10,60.0,0.016666666666666666,0.1,-0.09517612985570666,-0.09628137291944198,-0.0011052430637353283,-0.001167791742007565,-0.0010513148473521995,-0.0663145838241197,1,1,1
10,60.0,0.016666666666666666,0.2,-0.1467223773863333,-0.15054151399413795,-0.0038191366078046407,-0.004421599471640137,-0.0032637010900774333,-0.22914819646827844,0,0,0
10,60.0,0.016666666666666666,0.3,-0.17177737662558648,-0.17969479081840056,-0.007917414192814082,-0.009550260375396129,-0.00557595523356061,-0.4750448515688449,0,0,0
10,80.0,0.0125,0.05,-0.054934645046247364,-0.05517063183232775,-0.0002359867860803888,-0.0002449480932935941,-0.00022722862920461444,-0.018878942886431105,1,1,1
10,80.0,0.0125,0.1,-0.09529119549723228,-0.09618493669425283,-0.0008937411970205561,-0.0009625284326466626,-0.000835825626281058,-0.07149929576164449,1,1,1
10,80.0,0.0125,0.2,-0.14631329220359432,-0.14988599962606702,-0.003572707422472704,-0.00518202837365024,-0.0023932906393703763,-0.2858165937978163,0,0,0
10,80.0,0.0125,0.3,-0.1714097751719652,-0.17864742167848938,-0.00723764650652417,-0.014356382002504746,-0.002124825957220197,-0.5790117205219336,0,0,0
10,100.0,0.01,0.05,-0.054961598002192774,-0.05514318544489338,-0.00018158744270060923,-0.00018938968373361924,-0.00017329211384699232,-0.018158744270060923,1,1,1
10,100.0,0.01,0.1,-0.09564359140740315,-0.0962644330647489,-0.0006208416573457443,-0.0006977262582428319,-0.000551434022844979,-0.062084165734574426,1,1,1
10,100.0,0.01,0.2,-0.15241253091120222,-0.15375598938145396,-0.001343458470251746,-0.002139649130576712,-0.0007253099892004638,-0.1343458470251746,0,0,0
10,100.0,0.01,0.3,-0.1949963591107598,-0.19635756134426555,-0.0013612022335057483,-0.0033826302624448404,0.0003629619517587616,-0.13612022335057483,0,0,0
10,120.0,0.008333333333333333,0.05,-0.055028802559844325,-0.05518312295145306,-0.00015432039160873795,-0.00016563358901375817,-0.00014412850902339303,-0.018518446993048554,1,1,1
10,120.0,0.008333333333333333,0.1,-0.09590732180241676,-0.09647075176122843,-0.0005634299588116731,-0.0006592231671605362,-0.00047632609558913714,-0.06761159505740078,1,1,1
10,120.0,0.008333333333333333,0.2,-0.15425741867425435,-0.15611650417897452,-0.0018590855047201649,-0.0030029359777683463,-0.0009991751639190397,-0.22309026056641978,0,0,0
10,120.0,0.008333333333333333,0.3,-0.1999195957861878,-0.20331855643137273,-0.0033989606451849397,-0.006626763432245479,-0.0006775520217030885,-0.40787527742219276,0,0,0
10,140.0,0.007142857142857143,0.05,-0.055005689463724756,-0.05513092289005475,-0.0001252334263299945,-0.0001348059994067995,-0.00011571233252232176,-0.017532679686199232,1,1,1
10,140.0,0.007142857142857143,0.1,-0.0959221009331122,-0.0962951651198749,-0.0003730641867627088,-0.000481380246054585,-0.00025032970702179314,-0.05222898614677923,0,0,0
