event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,-0.35498663198682046,-0.35498663198682046,-0.17749331599341023,1.0418022097616122,-0.086630542808691757,1.0849150410781885,0.096141487100027484,0.34050237261724253,0,-0.098030478610831598,672.58014574639128,0.0038157536867062152,1,718,609.63720930232557,718,609.63720930232557,609.63720930232557
2,4,-0.3720131109850966,-0.72699974297191705,-0.18174993574297926,1.0987856602280817,0.0071817206471378476,1.1383984494819885,0.17261565566743522,0.41856478393559232,0,-0.095590469313656626,659.91864200653231,0.0035492232172503954,1,703,589.08764044943825,543,412.8251968503937,412.8251968503937
3,6,-0.39247722422682241,-1.1194769671987395,-0.18657949453312325,1.2072619408424055,0.025283248200667033,1.205885941662548,0.21348662347247011,0.48129503064699808,0,-0.090040340036072905,649.61774261780749,0.003892618294397421,1,697,587.76681614349775,445,313.38194859533769,313.38194859533769
4,8,-0.37487894100388353,-1.494355908202623,-0.18679448852532787,1.1548533682210183,-0.13086912061066153,1.1827414545181234,0.10209959002321925,0.40187798074439962,0,-0.10718010218827516,651.56853378772644,0.0034192167931712679,1,695,593.08597285067879,371,257.38242513500245,257.38242513500245
5,10,-0.38433145575376138,-1.8786873639563844,-0.18786873639563845,1.2736363552950456,-0.013097957352333213,1.2401906209120312,0.14275249139573534,0.37262421341424978,0,-0.092056401993492368,647.14708054752998,0.0033708571608510214,1,701,593.75764439411103,320,207.80340864050734,207.80340864050734
6,12,-0.34311012860815548,-2.2217974925645398,-0.18514979104704499,1.07767620493273,-0.12232894806405628,1.101314241774737,0.10480455761739754,0.39104949318935794,0,-0.11374734615492235,667.13766407522223,0.0031635654638028569,1,705,604.0184331797235,270,169.61759948236818,169.61759948236818
7,14,-0.33220267574601703,-2.5540001683105569,-0.18242858345075405,1.1485394790747301,-0.053688708311050277,1.1587672027130373,0.1466132611815219,0.37842573435559429,0,-0.082129497139261737,666.38720721452307,0.0036858950666154664,1,704,598.5022831050228,244,145.03125864453665,145.03125864453665
8,16,-0.35542281848632484,-2.9094229867968817,-0.18183893667480511,1.1862917155173838,-0.08379027169076278,1.2084937579098822,0.096230342007487688,0.45185383120121025,0,-0.092690280061967098,659.0826418268764,0.0037601624422573519,1,702,599.87185354691076,229,128.56498283472291,128.56498283472291
9,18,-0.3866058870742668,-3.2960288738711485,-0.18311271521506381,1.2655845290357108,-0.002354001264489584,1.2234187644489527,0.15327313023232297,0.35680449356227145,0,-0.10120255064226377,653.70803934722073,0.0040413756857215731,1,707,604.71510957324108,212,122.72659176029963,122.72659176029963
10,20,-0.39968564960676378,-3.6957145234779123,-0.1847857261738956,1.2296571133102177,0.0019439718657092489,1.2061118110637277,0.17336958609975781,0.35841509013506806,0,-0.10450050817754866,653.65771871594666,0.003422318907486766,1,706,596.45961319681453,188,112.00341807306131,112.00341807306131
11,22,-0.37789081222102094,-4.0736053356989332,-0.18516387889540606,1.0787392117765526,0.017471759917659344,1.1505643137272947,0.1870144206810086,0.36661111754405518,0,-0.086006044768538153,662.98644250241159,0.0039113085787781127,1,707,601.24770642201838,173,100.7084133691894,100.7084133691894
12,24,-0.38859114970054076,-4.462196485399474,-0.18592485355831143,1.1350256372851739,-0.086789401364899696,1.1772477172849334,0.13191517215996632,0.39827585299233048,0,-0.11481925104413503,655.84278747042481,0.0034046107261824728,1,697,591.74717832957106,157,90.691575851928732,90.691575851928732
