event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,0.04886143454219205,0.04886143454219205,0.024430717271096025,-0.039661003099106557,-0.43158239787751035,0.049781219699947331,-0.2675268428848947,-0.00048176937716414589,0,-0.28643507343109142,288.90938961056656,0.010343460953212372,1,343,271.37060041407869,343,271.37060041407869,271.37060041407869
2,4,-0.052238033796187189,-0.0033765992539951384,-0.0008441498134987846,0.25559762708044798,-0.15291130538657763,0.21589162174265678,-0.16447236236036203,0.067697558281764381,0,-0.29725284477154251,253.84575236137934,0.011769025010631276,1,325,240.94117647058823,252,175.22994652406416,175.22994652406416
3,6,-0.036001149325823434,-0.039377748579818572,-0.0065629580966364287,0.26955346652237011,-0.12296410779992338,0.19297752539240051,-0.12963991193031144,-0.001479713748825686,0,-0.26253146650214443,273.1115414114509,0.011745085094334914,1,329,255.50097465886938,201,128.2504892367906,128.2504892367906
4,8,-0.13378384832062995,-0.17316159690044852,-0.021645199612556065,0.30443235117149642,-0.1160050630188164,0.2397313525610425,-0.097612101076077762,0.017974808863234912,0,-0.25862812294369691,265.87291213652423,0.012372479339815657,1,323,245.91369606003752,164,99.071806500377932,99.071806500377932
5,10,-0.021373837583131383,-0.19453543448357991,-0.01945354344835799,0.099620660750454074,-0.40112840816438794,0.15977478417370414,-0.21951354014892682,-0.064088515903907683,0,-0.26066036334123471,262.23116252097884,0.010304164171656438,1,329,249.18631178707224,136,83.64518187619656,83.64518187619656
6,12,-0.089748804115147074,-0.28428423859872698,-0.023690353216560583,0.34899647873742962,-0.21563539363977377,0.29006738322743841,-0.11713117881981665,0.049207374036497199,0,-0.27970991481730878,263.70985320958681,0.011776969358355135,1,325,244.9943925233645,117,66.737270875763741,66.737270875763741
7,14,-0.039688345682644233,-0.32397258428137121,-0.023140898877240801,0.1701456912207196,-0.31936644970325268,0.19244144439344296,-0.2085696929844722,0.014218881470275026,0,-0.27191269741531499,275.3351250718747,0.0090207600767071589,1,325,252.54720616570327,99,57.336832895888016,57.336832895888016
8,16,-0.096187458155778671,-0.42016004243714988,-0.026260002652321868,0.31537044203443781,-0.18845436027962145,0.28617643548814142,-0.17773439710882005,-0.018405820225559071,0,-0.26180482194184557,270.49949147507061,0.010505532050491753,1,317,247.77315689981097,90,49.145856767904014,49.145856767904014
9,18,-0.12602964837727892,-0.54618969081442881,-0.030343871711912711,0.37999655903942525,-0.19332588257225494,0.39674003592908647,-0.12973788350117232,-0.038544321652955522,0,-0.28017382546656761,249.37095295427494,0.014413825907605116,1,319,235.74100719424462,79,41.478481012658229,41.478481012658229
10,20,-0.086919083223990334,-0.63310877403841914,-0.03165543870192096,0.26013194242736387,-0.24225005005551606,0.241444561141372,-0.19498842950054926,0.041927163231080436,0,-0.29106672839914149,255.17235440388029,0.012920649880650045,1,317,233.22419928825622,74,40.367108099784417,40.367108099784417
