event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,1,0.046212029178064995,0.046212029178064995,0.046212029178064995,-0.13778181842507617,-0.63761883153472021,-0.065592296556124099,-0.45806223975950172,0.04555835995279623,0,-0.2565305994245588,381.63732229406105,0.0071982813825117418,1,394,343.12041884816756,394,343.12041884816756,343.12041884816756
2,2,-0.010250687276622372,0.035961341901442623,0.017980670950721311,0.20377828889984873,-0.38791917523487907,0.16834127216348929,-0.3411536182384341,0.025238952900219172,0,-0.23598991459538923,369.87803489214696,0.0075640070770002258,1,383,329.32663316582915,318,251.09578544061301,251.09578544061301
3,3,-0.089658126431299223,-0.0536967845298566,-0.017898928176618867,0.12081065041659157,-0.43355612710537555,0.16746421910759346,-0.33676012251174803,0.088396537478155235,0,-0.33738527507124538,352.46597203252037,0.0077623054683409239,1,370,314.32134292565945,253,183.31748251748252,183.31748251748252
4,4,-0.054045772926549773,-0.10774255745640637,-0.026935639364101593,0.44325938819960886,-0.22377953751173785,0.30866634876429649,-0.2813972144194411,0.09975564930415691,0,-0.273467034818065,364.91330786789644,0.0061337684765737427,1,378,325.24069478908189,220,160.23471882640587,160.23471882640587
5,5,0.031378021992621186,-0.076364535463785188,-0.015272907092757037,-0.01821414920921113,-0.73892583343694651,0.054571620745195865,-0.50917299137287098,-0.016869365646205888,0,-0.24330467371604611,365.46500642267017,0.0062052570382595418,1,381,329.32663316582915,195,134.15762538382805,134.15762538382805
6,6,-0.12751069254707126,-0.20387522801085645,-0.033979204668476072,0.41838208671618893,-0.28482291307359747,0.37983173957136501,-0.23552857276667144,-0.031332569193152589,0,-0.33569871072765556,349.98613417357922,0.0094014919244157467,1,373,316.59903381642511,172,120.35996326905418,120.35996326905418
7,7,-0.023257907119893062,-0.22713313513074951,-0.032447590732964215,0.30204068734516903,-0.49570011580056611,0.33194844403427876,-0.28791317363556951,-0.058552918405098527,0,-0.20943885302852708,366.42248323649955,0.006288275110151214,1,376,323.63456790123456,156,106.21717990275526,106.21717990275526
8,8,-0.0074189489446014889,-0.234552084075351,-0.029319010509418875,0.17144433646981927,-0.435041946927686,0.12474870683488989,-0.33776112752480902,0.12260502998506724,0,-0.24915422486488603,366.66443995228843,0.0071485213510992492,1,386,333.51653944020359,147,100.66973886328725,100.66973886328725
9,9,-0.00373324639892747,-0.23828533047427847,-0.026476147830475385,0.054977189634732991,-0.5239334519256359,0.11762150821297392,-0.39688438067215748,-0.0023727372729401854,0,-0.26779722278222001,378.4965799318046,0.0063312297385356882,1,385,336.08205128205128,132,87.38133333333333,87.38133333333333
10,10,-0.074501104552575192,-0.31278643502685366,-0.031278643502685367,0.32958830306524961,-0.1834970318027295,0.2586082188951036,-0.26883480536081783,0.032293741950706105,0,-0.27054612978341697,371.20179862550083,0.0058825629151773784,1,385,332.67005076142129,126,82.487098804279427,82.487098804279427
11,11,-0.0070290303346380867,-0.31981546536149175,-0.029074133214681067,0.42133564640844456,-0.22859855415027749,0.32120771988257713,-0.26400131418783662,0.034494955493598094,0,-0.21230609073822126,365.97625712966732,0.0056856257370794926,1,379,331.82784810126583,116,75.328735632183907,75.328735632183907
12,12,-0.01091580733301889,-0.33073127269451064,-0.027560939391209221,-0.011397762072456991,-0.70489868272347533,0.15166583049867466,-0.42080057087211842,0.0047407250500092896,0,-0.27877355932343911,367.52606713750265,0.0070197934309375789,1,377,323.63456790123456,111,69.313590692755156,69.313590692755156
13,13,-0.045434736284144073,-0.37616600897865471,-0.028935846844511899,0.20406965698848828,-0.32948511853577878,0.13684192513787005,-0.27673399728610637,0.22976283570756728,0,-0.26604603346488903,370.15143943119426,0.0074016526258040985,1,381,330.98989898989902,103,63.381044487427467,63.381044487427467
14,14,0.0026310925526473739,-0.37353491642600734,-0.026681065459000525,0.013856223151875022,-0.67299513718782045,0.075249489255264715,-0.42562303698812753,0.031147952589587791,0,-0.24745968115553393,372.73478425658021,0.0060456016761106538,1,384,330.98989898989902,96,57.715543813298105,57.715543813298105
15,15,-0.014596881936704165,-0.3881317983627115,-0.025875453224180767,0.24382419119236123,-0.39235226230716758,0.16568164147490691,-0.3693698659129579,0.14359847245776663,0,-0.24561061685257266,374.5083163343952,0.0058969843206185587,1,390,337.81443298969072,92,55.468472280998732,55.468472280998732
16,16,-0.01363833159730099,-0.40177012996001249,-0.025110633122500781,0.30363088025147866,-0.58742040888778335,0.23281638203604571,-0.43645721541926646,0.071759329456758447,0,-0.26713764290695652,363.05866579325073,0.0060703521894966304,1,371,318.13592233009706,84,53.259650548557495,53.259650548557495
17,17,-0.05567664214799084,-0.45744677210800333,-0.026908633653411961,0.17340202073240674,-0.48477574531239287,0.27833861118482811,-0.22948905361686478,0.063837170539068275,0,-0.25411183828509176,371.03762406879059,0.0053980797081022124,1,379,330.98989898989902,80,53.259650548557495,53.259650548557495
18,18,-0.024522264531645632,-0.48196903663964896,-0.026776057591091609,0.006088628016596296,-0.51626997221635085,0.047587003790374963,-0.32227870992515112,-0.10108610557782609,0,-0.261921340559088,377.49680126604409,0.0058301792350512307,1,383,333.51653944020359,77,49.8751902587519,49.8751902587519
19,19,0.0076434398075333476,-0.47432559683211561,-0.024964505096427139,-0.0357224504344755,-0.66449493970795226,0.10965294183592195,-0.43495606092358213,-0.17348714780420915,0,-0.24629879003527061,369.35951174696152,0.0066862101808959603,1,364,312.0761904761905,75,46.038637161924832,46.038637161924832
20,20,-0.014267962745278417,-0.48859355957739403,-0.024429677978869701,0.1112764884700958,-0.45048064618748834,0.16872893084992585,-0.24730253443931607,0.059477187216590933,0,-0.19519173178431728,380.76622861658763,0.0058030283608914114,1,387,333.51653944020359,73,43.45888594164456,43.45888594164456
