bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
-0.6761428906218788,-0.6592393183563319,-0.6676911044891054,13,19,-0.37948962170490386,0.35993701653267807,0
-0.6592393183563319,-0.6423357460907849,-0.6507875322235583,11,15,-0.31015492830383945,0.3969581307590986,0
-0.6423357460907849,-0.6254321738252379,-0.6338839599580114,13,25,-0.6539264674066642,0.34194016570604413,0
-0.6254321738252379,-0.6085286015596909,-0.6169803876924644,16,20,-0.2231435513142097,0.33541019662496846,0
-0.6085286015596909,-0.591625029294144,-0.6000768154269174,17,31,-0.60077386042893,0.3017972728967141,0
-0.591625029294144,-0.574721457028597,-0.5831732431613705,21,35,-0.5108256237659907,0.2760262237369417,0
-0.574721457028597,-0.55781788476305,-0.5662696708958235,20,49,-0.8960880245566356,0.2653453660143816,0
-0.55781788476305,-0.5409143124975031,-0.5493660986302766,26,47,-0.5920510636885765,0.2444138584577792,0
-0.5409143124975031,-0.524010740231956,-0.5324625263647296,37,50,-0.3011050927839216,0.21685715811802717,0
-0.524010740231956,-0.5071071679664091,-0.5155589540991825,31,57,-0.6090640633494039,0.22316344719790435,0
-0.5071071679664091,-0.49020359570086214,-0.4986553818336356,29,81,-1.0271533246859645,0.21639879304893392,0
-0.49020359570086214,-0.4733000234353152,-0.48175180956808866,42,76,-0.5930637220029629,0.19226913050816533,0
-0.4733000234353152,-0.4563964511697682,-0.46484823730254166,61,91,-0.3999856423435389,0.16547644428123845,1
-0.4563964511697682,-0.43949287890422123,-0.4479446650369947,60,85,-0.34830669426821587,0.16861605068622504,1
-0.43949287890422123,-0.4225893066386742,-0.43104109277144775,69,106,-0.4293325895148078,0.15468262955916978,1
-0.4225893066386742,-0.40568573437312727,-0.41413752050590075,82,141,-0.5420406431139152,0.13887879799587768,1
-0.40568573437312727,-0.3887821621075803,-0.3972339482403538,101,157,-0.44112528850704846,0.12755554417822165,1
-0.3887821621075803,-0.3718785898420333,-0.3803303759748068,117,166,-0.34981385355878714,0.12071083187746955,1
-0.3718785898420333,-0.35497501757648636,-0.36342680370925984,144,200,-0.32850406697203594,0.10929064207170001,1
-0.35497501757648636,-0.33807144531093936,-0.3465232314437129,170,217,-0.24409891649019785,0.1024238637820896,1
-0.33807144531093936,-0.3211678730453924,-0.3296196591781659,205,271,-0.27910884174129275,0.09256395454417884,1
-0.3211678730453924,-0.30426430077984545,-0.31271608691261893,233,320,-0.3172825422280716,0.08612110945385128,1
-0.30426430077984545,-0.28736072851429845,-0.2958125146470719,290,396,-0.31153328827396093,0.07728860451141223,1
-0.28736072851429845,-0.2704571562487515,-0.27890894238152497,346,422,-0.19856653897828752,0.07252476581727184,1
-0.2704571562487515,-0.25355358398320454,-0.262005370115978,427,507,-0.1717269903625585,0.06568338421913462,1
-0.25355358398320454,-0.23665001171765754,-0.24510179785043104,474,608,-0.24896756027109057,0.06127349739859374,1
-0.23665001171765754,-0.2197464394521106,-0.22819822558488406,554,686,-0.2137129409786015,0.057120750162672186,1
-0.2197464394521106,-0.20284286718656364,-0.2112946533193371,715,862,-0.18697272796968537,0.050583536907041135,1
-0.20284286718656364,-0.18593929492101663,-0.19439108105379013,809,987,-0.1988711223749899,0.047426418471953606,1
-0.18593929492101663,-0.16903572265546962,-0.17748750878824313,1013,1200,-0.16940533152740836,0.04266731963139711,1
-0.16903572265546962,-0.15213215038992267,-0.16058393652269615,1255,1421,-0.12422527653121636,0.03873683669032825,1
-0.15213215038992267,-0.13522857812437572,-0.1436803642571492,1494,1704,-0.13152134169649837,0.03544289072482541,1
-0.13522857812437572,-0.11832500585882877,-0.12677679199160224,1833,2060,-0.11675201394392187,0.03210904281113004,1
-0.11832500585882877,-0.10142143359328182,-0.1098732197260553,2321,2524,-0.08384681738666666,0.028758395044780942,1
-0.10142143359328182,-0.08451786132773476,-0.09296964746050829,2938,3086,-0.04914667618928344,0.025776184104678572,1
-0.08451786132773476,-0.0676142890621878,-0.07606607519496128,3664,4061,-0.10287380189227698,0.02278531394321427,1
-0.0676142890621878,-0.05071071679664085,-0.05916250292941433,4615,4983,-0.07672025134445205,0.02042956298148825,1
-0.05071071679664085,-0.0338071445310939,-0.04225893066386738,5924,6306,-0.06248966471731682,0.018093755623595,1
-0.0338071445310939,-0.01690357226554695,-0.025355358398320427,7698,7785,-0.011238250424407176,0.016073457086417307,1
-0.01690357226554695,1.1102230246251565e-16,-0.00845178613277342,9951,9910,0.004128700291128506,0.014191567439324327,1
1.1102230246251565e-16,0.016903572265547062,0.008451786132773587,10033,10016,0.0016958455857330912,0.01412484835349302,1
0.016903572265547062,0.03380714453109401,0.025355358398320538,7778,7635,0.018556297062959824,0.016110354579885567,1
0.03380714453109401,0.050710716796640964,0.04225893066386749,6160,5954,0.034013514951843675,0.01817393679871245,1
0.050710716796640964,0.06761428906218792,0.05916250292941444,4900,4731,0.03509860846756995,0.020382674889585537,1
0.06761428906218792,0.08451786132773487,0.07606607519496139,3871,3711,0.04221148951705053,0.022973905335321267,1
0.08451786132773487,0.10142143359328193,0.0929696474605084,3207,2945,0.08522710360746788,0.02552207813249844,1
0.10142143359328193,0.11832500585882888,0.1098732197260554,2582,2336,0.10012422745847024,0.028554839537799304,1
0.11832500585882888,0.13522857812437583,0.12677679199160236,2191,1870,0.158419629746834,0.03148288352861673,1
0.13522857812437583,0.15213215038992278,0.1436803642571493,1812,1461,0.2153100748522253,0.03516161367847009,1
0.15213215038992278,0.16903572265546973,0.16058393652269626,1431,1241,0.14245599435184383,0.03878935153274203,1
0.16903572265546973,0.1859392949210168,0.17748750878824326,1231,974,0.2341708225419184,0.04288404983188547,1
0.1859392949210168,0.20284286718656375,0.19439108105379027,983,835,0.1631773952963111,0.04706271123070337,1
0.20284286718656375,0.2197464394521107,0.21129465331933722,875,709,0.210368359825487,0.05053013337010067,1
0.2197464394521107,0.23665001171765765,0.22819822558488417,674,595,0.12466870536667725,0.05625257144460256,1
0.23665001171765765,0.2535535839832046,0.24510179785043112,600,456,0.27443684570176036,0.06212607441973956,1
0.2535535839832046,0.27045715624875155,0.2620053701159781,491,391,0.22773656780915477,0.06778056236734581,1
0.27045715624875155,0.2873607285142986,0.2789089423815251,433,324,0.2899942122101604,0.0734567122546151,1
0.2873607285142986,0.30426430077984556,0.2958125146470721,399,278,0.3613403031992264,0.07812418298016738,1
0.30426430077984556,0.3211678730453925,0.31271608691261904,292,224,0.2651077504132419,0.08881972330812729,1
0.3211678730453925,0.3380714453109396,0.32961965917816605,268,230,0.15290767158766144,0.0898841997824902,1
0.3380714453109396,0.3549750175764864,0.346523231443713,225,146,0.43249378049608367,0.1062721012916259,1
0.3549750175764864,0.3718785898420335,0.36342680370925995,227,158,0.3623549844544358,0.10360695086558125,1
0.3718785898420335,0.3887821621075803,0.3803303759748069,155,111,0.3338949156069123,0.12434074920248316,1
0.3887821621075803,0.4056857343731274,0.39723394824035385,139,82,0.5277546858664386,0.13924570569872544,1
0.4056857343731274,0.42258930663867444,0.4141375205059009,136,104,0.26826398659467954,0.13026252642972655,1
0.42258930663867444,0.4394928789042213,0.43104109277144786,106,49,0.7716187960014406,0.1727487352470549,0
0.4394928789042213,0.45639645116976835,0.4479446650369948,114,57,0.6931471805599453,0.16222142113076254,1
0.45639645116976835,0.4733000234353152,0.46484823730254177,87,57,0.4228568508200336,0.17040572913692198,1
0.4733000234353152,0.49020359570086225,0.4817518095680887,70,52,0.2972515234679317,0.183075076175004,1
0.49020359570086225,0.5071071679664093,0.4986553818336358,74,39,0.6405034470745233,0.1978750594555543,0
0.5071071679664093,0.5240107402319562,0.5155589540991827,59,43,0.31633732821215704,0.20051176149009625,0
0.5240107402319562,0.5409143124975032,0.5324625263647297,61,34,0.5845133395571498,0.21402151136937886,0
0.5409143124975032,0.55781788476305,0.5493660986302766,45,18,0.9162907318741549,0.27888667551135854,0
0.55781788476305,0.5747214570285971,0.5662696708958236,40,27,0.39304258810960735,0.24907235301622105,0
0.5747214570285971,0.5916250292941442,0.5831732431613706,30,21,0.3566749439387322,0.2845213189769458,0
0.5916250292941442,0.608528601559691,0.6000768154269176,29,14,0.7282385003712155,0.3254402096380548,0
0.608528601559691,0.6254321738252381,0.6169803876924645,21,22,-0.04652001563489282,0.30507965037608303,0
0.6254321738252381,0.6423357460907849,0.6338839599580115,26,11,0.8602012652231114,0.3596812886023255,0
0.6423357460907849,0.659239318356332,0.6507875322235585,23,17,0.3022808718729335,0.31984651050360063,0
0.659239318356332,0.6761428906218788,0.6676911044891054,27,11,0.8979415932059586,0.35769557999243984,0
