bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
-1.9624003081424393,-1.9133403004388783,-1.9378703042906587,12,161,-2.5964977151964628,0.29923989282439756,0
-1.9133403004388783,-1.8642802927353173,-1.8888102965870979,36,161,-1.497885426528353,0.18436094462223113,0
-1.8642802927353173,-1.8152202850317563,-1.8397502888835366,37,175,-1.5538680612792897,0.18094560713461033,0
-1.8152202850317563,-1.7661602773281952,-1.7906902811799759,37,203,-1.7022880663975628,0.17875439967008158,0
-1.7661602773281952,-1.7171002696246345,-1.7416302734764149,40,235,-1.7707060600302225,0.1710418637320588,0
-1.7171002696246345,-1.6680402619210732,-1.6925702657728539,57,273,-1.5664205273504095,0.14562576458898496,1
-1.6680402619210732,-1.6189802542175125,-1.6435102580692929,60,339,-1.7316555451583495,0.14005898462448346,1
-1.6189802542175125,-1.5699202465139515,-1.5944502503657318,51,395,-2.0470601321767963,0.14879344309100168,1
-1.5699202465139515,-1.5208602388103905,-1.545390242662171,93,434,-1.5404450409471488,0.11426651144355812,1
-1.5208602388103905,-1.4718002311068294,-1.4963302349586098,109,468,-1.457120413688503,0.10635348637142857,1
-1.4718002311068294,-1.4227402234032684,-1.447270227255049,158,603,-1.3393221637002188,0.08937275153397586,1
-1.4227402234032684,-1.3736802156997074,-1.3982102195514878,186,690,-1.310944923878104,0.08261730719613383,1
-1.3736802156997074,-1.3246202079961464,-1.349150211847927,164,732,-1.4959140861371132,0.08639259918644068,1
-1.3246202079961464,-1.2755602002925857,-1.300090204144366,232,844,-1.291415122929647,0.07412947423804485,1
-1.2755602002925857,-1.2265001925890244,-1.251030196440805,298,987,-1.1975765529280773,0.06609747290119163,1
-1.2265001925890244,-1.1774401848854636,-1.201970188737244,359,1119,-1.1368683198236462,0.06065616513995333,1
-1.1774401848854636,-1.1283801771819024,-1.152910181033683,386,1224,-1.1540420936074405,0.058375226245230276,1
-1.1283801771819024,-1.0793201694783416,-1.103850173330122,496,1499,-1.10597757137767,0.05180000424578298,1
-1.0793201694783416,-1.0302601617747806,-1.054790165626561,662,1751,-0.9726767763488436,0.045625390359158295,1
-1.0302601617747806,-0.9812001540712196,-1.0057301579230002,697,2068,-1.0875518248677958,0.04379816461625451,1
-0.9812001540712196,-0.9321401463676586,-0.9566701502194391,897,2400,-0.9841681542772408,0.03913430551894834,1
