event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,-0.18352544392904946,-0.18352544392904946,-0.091762721964524729,0.50024579902492294,-0.84620528335460232,0.59960962222158687,-0.65648424162739361,0.34337125515305061,0,-0.72847865308036652,303.26558549833823,0.012323135487083765,1,453,295.04108047270682,453,295.04108047270682,295.04108047270682
2,4,-0.24221424761077159,-0.42573969153982105,-0.10643492288495526,0.35674134829980048,-1.1773686725525703,0.55015647786913302,-0.78603150568980806,0.30722459446828365,0,-0.71900000314408208,257.98900952865728,0.026052188340243594,1,476,254.8799222168206,292,148.39739598075289,148.39739598075289
3,6,-0.37279489911902131,-0.79853459065884236,-0.1330890984431404,0.84201975716529953,-0.98457518949084277,0.89241840367312075,-0.61403487842553928,0.30156465363135904,0,-0.80606856994946896,247.23366858491522,0.02261590414910733,1,441,243.96835737552351,195,93.356125356125361,93.356125356125361
4,8,-0.42653011225264859,-1.2250647029114909,-0.15313308786393637,0.57143331523643537,-0.98426679030537723,0.6749510560351939,-0.61818933289252809,0.3141198985532902,0,-0.85859393168726206,259.35455455107507,0.015076147966343064,1,423,251.81940441882804,134,65.675560566203188,65.675560566203188
5,10,-0.26905706868488899,-1.4941217715963799,-0.149412177159638,0.64338841973667227,-1.0889995107413262,0.74554906986119018,-0.71185427235269327,0.34263139138177134,0,-0.83109376517305522,262.27113141287424,0.02022210158336258,1,455,258.01574803149606,106,51.380635045080361,51.380635045080361
6,12,-0.45182897288255353,-1.9459507444789335,-0.16216256203991111,0.88573197730725306,-1.0060798649504989,0.89518392123416424,-0.65798575087006606,0.42110879724790384,0,-0.90801799539124672,215.25332925759747,0.02292585636758478,1,411,210.3884430176565,85,39.497363266536084,39.497363266536084
7,14,-0.40692437579971585,-2.3528751202786493,-0.16806250859133209,0.77728005177022863,-0.86831727495513866,0.85394376620118384,-0.58131608446436578,0.23686809166995837,0,-0.77266397651075824,293.68173682327642,0.011372681209340365,1,449,286.33970507919167,75,36.805054405054406,36.805054405054406
8,16,-0.41002759695401725,-2.7629027172326666,-0.17268141982704166,0.68164783137239804,-0.95795640257838499,0.71767941718791894,-0.67328893999527539,0.32517876886544045,0,-0.89136532927850909,278.01007719285894,0.010630548223679285,1,442,271.23021210553543,63,29.904631530914898,29.904631530914898
9,18,-0.58754473449264211,-3.3504474517253087,-0.18613596954029493,0.89264033089915207,-1.1392391033161759,0.95744750316928839,-0.72674689202339604,0.42813006622588384,0,-0.95831703528277079,213.24974698046404,0.026840178203235886,1,418,209.54756195043964,57,24.164077983131307,24.164077983131307
10,20,-0.38319131004730078,-3.7336387617726094,-0.18668193808863048,0.79548387280964494,-0.76729122762884394,0.77631776853445666,-0.61255180793858199,0.20862833503136272,0,-0.76841287053456853,279.9721443396121,0.014027994600119201,1,446,272.07472755578618,52,27.682982206029884,27.682982206029884
11,22,-0.30794409167097658,-4.041582853443586,-0.18370831152016301,0.64704758413315988,-1.1702216767821925,0.70892041550144613,-0.7737034046083836,0.35797658040337038,0,-0.78115247784122444,274.50539412925423,0.017674583233244466,1,445,264.52472250252271,49,27.990390262132294,27.990390262132294
12,24,-0.35307329949567512,-4.3946561529392607,-0.18311067303913586,0.86785288739568434,-1.2215066072363505,0.91592979471624458,-0.8395612407712888,0.32877310879478816,0,-0.82175501606789159,208.19932011470348,0.032732935398183144,1,431,202.89783281733747,43,24.529241134088146,24.529241134088146
13,26,-0.34696897202832799,-4.7416251249675891,-0.18237019711413804,0.65382738183510714,-1.0621405680994496,0.73141959623546904,-0.7375064190083177,0.31085696358977055,0,-0.7949243680495236,248.56211053581478,0.02209593998786118,1,446,240.60945387792566,40,23.794499410002722,23.794499410002722
14,28,-0.49764028158669138,-5.2392654065542805,-0.18711662166265289,0.76200414469485811,-0.94966912576742901,0.80944916988358229,-0.64334309375283127,0.27090942128420537,0,-0.95202640918963755,266.57139041008219,0.014127646384659017,1,439,259.16361838853186,38,20.087662835249041,20.087662835249041
15,30,-0.36004605507275755,-5.5993114616270381,-0.18664371538756794,0.63517273160164212,-0.9672061263222459,0.68894503645372873,-0.66264614810057243,0.21682574235655733,0,-0.80793851627359703,271.7245420745075,0.015596267452498222,1,453,265.46227848101267,33,20.876323962729952,20.876323962729952
16,32,-0.27335177837245217,-5.8726632399994898,-0.18352072624998406,0.86946981796669476,-1.0021452245749161,0.87223779105407162,-0.69844703048882661,0.25411645973138536,0,-0.69968433632837379,256.06184611826041,0.022881847484313843,1,458,248.71347248576851,33,20.023985028453577,20.023985028453577
17,34,-0.50619599472950139,-6.3788592347289912,-0.18761350690379386,0.88149491827221182,-0.99747900937453726,0.93410863281297696,-0.70643805719207031,0.3796405800496862,0,-0.92064675800358298,272.17649160574001,0.012357917541602252,1,433,265.46227848101267,32,17.786945311439815,17.786945311439815
18,36,-0.26890607071735806,-6.6477653054463488,-0.18466014737350969,0.86742708669520385,-1.5441889316197797,0.92869002998224004,-1.0170361945814725,0.39173703216077865,0,-0.70958602117034808,219.48458828794733,0.018651549017191456,1,429,215.75637860082304,31,18.207605487063727,18.207605487063727
19,38,-0.48346202883939871,-7.1312273342857475,-0.18766387721804598,1.0254524567740155,-0.97198335218407184,0.99930954277078532,-0.66861024185041473,0.27257809973227848,0,-0.93392425979854332,250.94984670676416,0.013831837400264396,1,412,244.08193668528864,28,18.611572594959178,18.611572594959178
20,40,-0.38330202366442112,-7.5145293579501686,-0.1878632339487542,0.79507110526927238,-0.96116723458013831,0.88798147096439339,-0.62395023280085304,0.36569770762728299,0,-0.74043959504551526,294.28737962703104,0.013063058773311558,1,449,283.70562770562771,28,16.599271806237137,16.599271806237137
21,42,-0.37342607899382596,-7.8879554369439946,-0.18780846278438082,0.86753522789893656,-1.1471491774117402,0.86166445517573798,-0.83203747487721613,0.33556908983892175,0,-0.77467229623276002,251.23518182107955,0.0135851403174256,1,421,242.05355493998152,27,14.856138958941374,14.856138958941374
22,44,-0.38128467042991332,-8.269240107373907,-0.18793727516758879,0.72135954005650815,-1.1975183757780226,0.75757546565132483,-0.77872120024323555,0.31486603265387508,0,-0.90522673019491051,204.83847609463652,0.024988512434724875,1,423,200.56924254016832,27,13.235251053946937,13.235251053946937
23,46,-0.63711685047339639,-8.9063569578473043,-0.19361645560537619,1.1823222473175501,-1.0054510709210693,1.1136575239090838,-0.70679054269964936,0.28367646769050092,0,-0.93273333006561077,215.04988003961796,0.020777891050017414,1,393,209.96716059271125,26,12.910317655749814,12.910317655749814
24,48,-0.2473707533538656,-9.1537277112011708,-0.19070266065002439,0.58408495147393191,-0.9460612211530679,0.66660295107594447,-0.6408372011113358,0.32845005105458008,0,-0.722017916901324,265.60609044385365,0.013837072578594182,1,448,256.25024437927664,25,10.269685810546109,10.269685810546109
25,50,-0.2231693606356373,-9.3768970718368081,-0.18753794143673616,0.69309149332278419,-1.0016641252747311,0.76501450709287355,-0.70905429351840565,0.19143510544123374,0,-0.77742361759125445,267.7912624073046,0.023303177498462804,1,447,260.71009448035801,25,9.2741809948347846,9.2741809948347846
