event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,0.088890614293804404,0.088890614293804404,0.044445307146902202,0.013355783383993229,-0.76795441942464726,0.06931788017392862,-0.56521392919193636,0.14944109209276446,0,-0.55190749839813624,206.44577783725748,0.014958101771749055,1,288,194.18074074074073,288,194.18074074074073,194.18074074074073
2,4,-0.1555729016405607,-0.066682287346756297,-0.016670571836689074,0.33580707787700415,-1.0458093309074317,0.3776145315512594,-0.67573821840358228,0.097599729875403954,0,-0.69946730612939667,141.76491086499274,0.031321155074763726,1,235,135.12577319587629,169,94.025824964131999,94.025824964131999
3,6,-0.19559393207729325,-0.26227621942404955,-0.043712703237341589,0.418842790238382,-0.51953988126721928,0.45530406323073275,-0.3778790984442067,0.052034060228525601,0,-0.62063009852817785,167.5956380044172,0.02418170991730887,1,260,156.7846889952153,122,57.614065934065934,57.614065934065934
4,8,-0.16600880090799119,-0.42828502033204074,-0.053535627541505093,0.54418052364633507,-0.80446676748807522,0.5131159336955794,-0.61442785669407085,0.15442888554494488,0,-0.66970813895274417,139.43010390726278,0.024999226519901011,1,237,133.20325203252034,97,40.806973848069738,40.806973848069738
5,10,-0.23753773493923802,-0.66582275527127877,-0.066582275527127879,0.66231107470695993,-0.76340078686093382,0.63868822137386672,-0.46825744956704962,0.1881195107895435,0,-0.67627512388689359,172.33891229841132,0.019589404548665448,1,256,167.8258642765685,80,41.90281329923274,41.90281329923274
6,12,-0.31505452418781177,-0.98087727945909053,-0.081739773288257545,0.73072480823233543,-0.78659720892532659,0.69739327489238578,-0.49147503718173413,-0.02554962369873762,0,-0.65070202472088978,166.96705430644565,0.018462631950017003,1,253,161.02211302211302,67,37.046919163369132,37.046919163369132
7,14,-0.18305528775929059,-1.1639325672183811,-0.083138040515598657,0.57393791210664624,-0.62739287913528619,0.56086833579230022,-0.42049985310321486,0.12393964419986156,0,-0.70548284391107818,165.38265854620514,0.015620163095529997,1,243,160.82453987730062,55,29.388340807174888,29.388340807174888
8,16,-0.10236561473135719,-1.2662981819497383,-0.079143636371858644,0.45905573845512027,-0.75496610264633479,0.51179699737397044,-0.47950982007132786,0.14777551135291339,0,-0.55850050614435343,165.44140932326169,0.022571605917344334,1,260,165.49494949494951,49,24.956587966488957,24.956587966488957
9,18,-0.28756899125279745,-1.5538671732025358,-0.086325954066807542,0.5057673079906827,-0.78217945257062449,0.53421369322463408,-0.42399007765687718,0.083044282694526336,0,-0.64481045386913016,161.99914353415613,0.021257475931437515,1,260,158.87515151515152,42,21.40300457217505,21.40300457217505
10,20,-0.18510510716702644,-1.7389722803695622,-0.086948614018478115,0.41215674681224235,-0.73262710829714894,0.38735773930613226,-0.4869908154136991,0.096886065567661939,0,-0.64942609977234578,154.74673228277507,0.02623649546417392,1,257,151.35334872979215,37,19.162573099415205,19.162573099415205
11,22,-0.20459377442325977,-1.943566054792822,-0.088343911581491907,0.68088258145737446,-0.462477468228912,0.58002493063769478,-0.37320420343733363,0.050079976385218966,0,-0.62613559424955845,175.52705607851667,0.017905054102461182,1,249,167.18367346938774,35,17.567618281731672,17.567618281731672
12,24,-0.15714924085849047,-2.1007152956513124,-0.087529803985471347,0.53649696345804154,-0.47038260499467655,0.48592440396726544,-0.40303664884378509,0.085883724725867236,0,-0.56572062741091556,184.70961853558973,0.02082848788451858,1,265,179.30506155950752,32,17.180757635338839,17.180757635338839
13,26,-0.1043376128285507,-2.2050529084798631,-0.084809727249225503,0.16894109527067541,-0.54799740149350062,0.2795335565703958,-0.38519564957023822,0.11033844183275671,0,-0.63775032108859431,184.72222775172673,0.016445710112760432,1,262,180.04395604395606,28,15.962976494945805,15.962976494945805
14,28,-0.15725249836106325,-2.3623054068409264,-0.084368050244318801,0.30838407266683948,-0.76148404905631384,0.31309360381256196,-0.53640486894280148,0.15316732208912129,0,-0.58937108445265229,183.4030205786583,0.02358447038445657,1,261,173.14663143989432,26,13.238258761741239,13.238258761741239
15,30,-0.069400172504045621,-2.431705579344972,-0.081056852644832394,0.46804093686967463,-0.60302465083141599,0.40511117255415785,-0.4696448315509501,0.12779282692348343,0,-0.58030450132812095,189.51897468967101,0.016879051355727457,1,263,179.06010928961749,24,12.683568802012774,12.683568802012774
16,32,-0.15502366185979799,-2.58672924120477,-0.080835288787649062,0.53363440738153745,-0.72652083108252752,0.54964346256020868,-0.50512168644042277,0.13914946032987449,0,-0.6155028709657282,162.26460240285903,0.024417216584518616,1,254,159.45498783454988,22,8.7177918190887933,8.7177918190887933
17,34,-0.14364217068042695,-2.7303714118851969,-0.080305041526035209,0.51799245362126523,-0.78150401624991483,0.47334984058179752,-0.51414193459824709,0.12448895730136239,0,-0.6461182502803734,143.98891404409503,0.034772219721790065,1,244,139.58679446219384,19,8.5211285918606166,8.5211285918606166
18,36,-0.19756850217610156,-2.9279399140612985,-0.08133166427948052,0.63468447315114973,-0.74954568182148784,0.63561141976749491,-0.5197892833797495,0.01722714291330776,0,-0.65383017916980268,160.63239315146649,0.021135619329323563,1,240,153.66002344665884,18,8.4268998328404265,8.4268998328404265
