event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,-0.036235069122594332,-0.036235069122594332,-0.018117534561297166,0.20803857888539198,-0.37805835012430467,0.26510607382280932,-0.24212213766860369,0.10706372595462278,0,-0.21896597039063986,618.47853097628069,0.0049947179507626623,1,695,571.74263904034899,695,571.74263904034899,571.74263904034899
2,4,-0.1846103028083883,-0.22084537193098264,-0.055211342982745659,0.47036779166351428,-0.34446039944642065,0.52791375323267409,-0.20011069663309164,0.13520900762146468,0,-0.23494959390330175,579.38914224665984,0.0053772409205435825,1,663,527.98388721047331,508,364.84899095337511,364.84899095337511
3,6,-0.18634511832221001,-0.40719049025319265,-0.067865081708865446,0.57120472603052641,-0.25834912652339392,0.57282919524593823,-0.090007708954609758,0.14331435674515847,0,-0.21042741076738211,571.4533608346469,0.0046662029460720735,1,659,528.51612903225805,411,280.51792402354198,280.51792402354198
4,8,-0.13406904336724779,-0.54125953362044044,-0.067657441702555055,0.48897997036690483,-0.25192625969932381,0.49554101199514561,-0.14777403407377318,0.1006898694520157,0,-0.21006271518201788,589.4298067087675,0.0042726883943570316,1,677,551.88210526315788,335,218.63552960800666,218.63552960800666
5,10,-0.19033681383762513,-0.73159634745806557,-0.073159634745806557,0.69801182224465563,-0.15841726812156681,0.63698094413283923,-0.093087846605423061,0.086194506316996058,0,-0.20422360124271244,573.59365497203794,0.0047107230182258947,1,667,533.35503560528991,295,176.40915208613728,176.40915208613728
6,12,-0.13649496341278944,-0.868091310870855,-0.072340942572571246,0.51122081218787807,-0.38073010164661192,0.50721108633209067,-0.23312566145229011,0.070968292346728523,0,-0.21197412698585147,564.10516738839158,0.006124478786375176,1,660,519.61149653121902,256,148.22957308453491,148.22957308453491
7,14,-0.21067388815093935,-1.0787651990217944,-0.077054657072985311,0.76780844790144842,-0.12853841073632552,0.70217350350901286,-0.095652573524522888,0.088049241061131961,0,-0.2062473786293077,552.22715950453392,0.0046577670466127694,1,648,510.50438169425513,233,134.46729930751474,134.46729930751474
8,16,-0.1812102354376055,-1.2599754344593999,-0.078748464653712491,0.53737387552541538,-0.22078820044460476,0.52807848367012478,-0.11236225885789874,0.10614003951517403,0,-0.20794801557306089,594.63555111499466,0.0041226358268408956,1,659,537.73128205128205,204,114.29867015478526,114.29867015478526
9,18,-0.13886588780689291,-1.3988413222662928,-0.077713406792571826,0.6425901589381191,-0.25150251975689597,0.57623200504029937,-0.16106607187541103,0.14015827967501085,0,-0.18969666204542582,564.76710439511533,0.0058129686124259727,1,655,516.53990147783247,179,90.052902782548955,90.052902782548955
10,20,-0.14274105790149783,-1.5415823801677906,-0.077079119008389527,0.59884411481194944,-0.32005409037728971,0.59095387032012825,-0.18239591400048033,0.054482113866259771,0,-0.21234183274140825,558.05050890527866,0.005901227808609074,1,655,516.03149606299212,162,78.923377991871149,78.923377991871149
