event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,-0.010002934341380332,-0.010002934341380332,-0.0050014671706901659,0.13776294120433888,-0.36498759864486197,0.17919743093532234,-0.24258712970938986,0.055051741283873974,0,-0.23641770678009649,2336.1140313302076,0.0014319896116517402,1,2677,2139.4052537617954,2677,2139.4052537617954,2139.4052537617954
2,4,-0.089664321283832393,-0.099667255625212725,-0.024916813906303181,0.31773032121228117,-0.27651512865310895,0.32709895447627158,-0.17046888048280212,0.071942884733294049,0,-0.24060078714711883,2260.2108436747667,0.0014653831308887031,1,2627,2065.1422944362384,1992,1401.6053467000836,1401.6053467000834
3,6,-0.11162488235749635,-0.21129213798270907,-0.03521535633045151,0.30293472628220186,-0.26207361437157584,0.30071746801242172,-0.15480306014675335,0.034562645745622657,0,-0.24031075682239778,2263.5830572316504,0.0015003930265442577,1,2648,2085.6807558428641,1571,1025.5022004889975,1025.5022004889975
4,8,-0.091238008093076139,-0.30253014607578521,-0.037816268259473151,0.31092367813413563,-0.30780301175847624,0.33637966169826528,-0.17708073649665501,0.054936117687643886,0,-0.23724286507889195,2222.8318047514208,0.0015889550403009279,1,2628,2052.5099094690481,1329,841.976111612968,841.97611161296788
5,10,-0.079363264759058083,-0.38189341083484329,-0.038189341083484332,0.3037004610083846,-0.2586504467967074,0.29281590364273363,-0.19714202008441598,0.070326880956458657,0,-0.24253612746911227,2248.8904965126176,0.0015778086606882261,1,2615,2055.0240078392944,1143,693.73205425074434,693.73205425074423
6,12,-0.097167997855452271,-0.47906140869029556,-0.039921784057524633,0.36953311119815047,-0.2533441797145673,0.35181344454201641,-0.14958463384100956,0.033100642803811774,0,-0.22705933300222511,2265.4131921339276,0.0013170188199559411,1,2633,2090.8793619142571,980,581.81495353030937,581.81495353030925
7,14,-0.066610814383890826,-0.54567222307418639,-0.038976587362441882,0.33002734344811263,-0.30716984178351919,0.34608053489707374,-0.19400031030543086,0.047887658136151791,0,-0.23535882995945004,2259.6677651621276,0.0021099017199065245,1,2615,2072.7966394860391,874,512.78244391466467,512.78244391466467
8,16,-0.091374173522597246,-0.63704639659678364,-0.039815399787298977,0.3148075899972318,-0.26334136946958836,0.3229979880737181,-0.15436905512848809,0.034703092397646448,0,-0.22934470922866138,2314.4131482860716,0.001221668277486514,1,2667,2130.169629253428,784,454.42080173347779,454.42080173347767
9,18,-0.073861748304905994,-0.71090814490168963,-0.039494896938982754,0.25614206158653635,-0.2898863335107752,0.26884973148982561,-0.18917850031320191,0.057617834987403645,0,-0.25498348754725308,2249.2296028011606,0.001420770356409513,1,2646,2085.6807558428641,706,397.71515266451735,397.71515266451729
10,20,-0.099230641721796076,-0.81013878662348571,-0.040506939331174288,0.3992089279584668,-0.23311537515525543,0.36347227851052494,-0.16047580811291731,0.069856001711837853,0,-0.24198158925801541,2221.6641446425806,0.0015897772565232643,1,2599,2043.5098660170524,650,346.12180227760359,346.12180227760354
