# mode_index   <I_j>
# total_samples=202752000
0 0.244451
1 0.234122
2 0.236895
3 0.237618
4 0.238638
5 0.239531
6 0.239849
7 0.240343
8 0.240856
9 0.24144
10 0.241949
11 0.242757
12 0.243325
13 0.243834
14 0.244439
15 0.244924
16 0.245216
17 0.245802
18 0.246185
19 0.246869
20 0.24717
21 0.247875
22 0.248074
23 0.248315
24 0.248704
25 0.249177
26 0.249508
27 0.249873
28 0.250672
29 0.250907
30 0.251124
31 0.251535
32 0.251679
33 0.251934
34 0.25236
35 0.252522
36 0.252899
37 0.25324
38 0.253186
39 0.253663
40 0.253864
41 0.254041
42 0.254305
43 0.254285
44 0.254492
45 0.254642
46 0.25471
47 0.255074
48 0.254701
49 0.254548
50 0.254415
51 0.254414
52 0.254456
53 0.254249
54 0.254074
55 0.254279
56 0.254331
57 0.254274
58 0.25395
59 0.253617
60 0.253086
61 0.25315
62 0.252967
63 0.252674
64 0.252408
65 0.252169
66 0.251801
67 0.251277
68 0.251039
69 0.250941
70 0.2509
71 0.250397
72 0.250005
73 0.249314
74 0.248992
75 0.248373
76 0.247743
77 0.247538
78 0.246981
79 0.246535
80 0.246083
81 0.245513
82 0.245058
83 0.24461
84 0.243791
85 0.243433
86 0.242586
87 0.242244
88 0.241511
89 0.241172
90 0.240641
91 0.240026
92 0.239417
93 0.238728
94 0.238306
95 0.237639
96 0.237171
97 0.235883
98 0.233287
99 0.244412
