j,R2,c0_const,c1_Ia2,c2_Ib2,c3_IaIb,c4_IaIbcos,c1_over_c2,c3_over_c4,c1_over_c3,mean_I_j
0,0.9126831820083573,-1.5017733640233377,-0.7571668574361751,-0.7952445580853786,-1.730785873497529,-0.27019307606006027,0.9521182505908887,6.40573732952653,0.43746997767326995,0.4986873542911027
1,0.9103148228323938,-1.5029770516721648,-0.7575941424112745,-0.7433182969425743,-1.8906274761277986,-0.554890432754653,1.0192055617726885,3.4072086389057405,0.4007104265526205,0.490310587328441
2,0.9085614452094188,-1.5131104636233284,-0.7495879215489367,-0.7477199579070135,-1.8801685796853032,-0.6266058901602211,1.0024982128966464,3.00056001580922,0.3986812297833423,0.4935260946873799
3,0.9066701360411039,-1.5235247645996177,-0.7394197692731921,-0.7394451761148222,-1.8863797414770342,-0.6619633677379959,0.9999656406689086,2.849673914620092,0.39197821786096304,0.4936285646875943
4,0.9059753781591586,-1.530287986726802,-0.7285041582539956,-0.7253571345275606,-1.92691088500673,-0.7416147619364077,1.0043385851970488,2.5982639288023766,0.3780684223242899,0.49353144119694786
5,0.903965533101312,-1.5346632853530655,-0.7296640783903771,-0.728929532809612,-1.9240759291596545,-0.785147713261329,1.0010077045142263,2.4505910119351566,0.37922831803683543,0.4945080712776906
6,0.9063822783317732,-1.527266171654931,-0.7312177043255734,-0.7299631359489627,-1.967698919972472,-0.8343950642265028,1.001718673608058,2.358234131929531,0.37161056343711524,0.4951734169749181
7,0.906036375012666,-1.5284515558429572,-0.7184027405409854,-0.7277421300996397,-1.994570377241004,-0.8736204479703474,0.9871666223894779,2.2831086221423975,0.3601791888309894,0.49415463271554855
8,0.906038788700123,-1.5243991574189009,-0.7308612664901359,-0.7278131801949342,-2.003792652064809,-0.930367578506157,1.0041880064529545,2.153764488743465,0.3647389692426607,0.493521881716654
9,0.9062271031180672,-1.5297220809916532,-0.7247629520307648,-0.714213227775257,-2.021853214207774,-0.9218451477168456,1.0147711129467172,2.1932677296347904,0.35846467336885773,0.49427317702975015
10,0.9051350084043815,-1.534418675245072,-0.7142373306589227,-0.7188849201726245,-2.023515960696635,-0.9488948854230667,0.9935350020799076,2.132497489218151,0.35296846900729784,0.49512277448722836
11,0.9049696547055806,-1.5375342549584128,-0.7253784413867097,-0.7180727582940849,-1.9914680713699238,-0.9157210134422545,1.0101740151095284,2.1747541468813374,0.36424306862611383,0.4944271034012179
12,0.9048549460885702,-1.539331031044658,-0.7124962616621597,-0.71027949541182,-2.031406603419486,-0.9331685413665427,1.0031209773964465,2.1768914331859825,0.35074034930417575,0.4961604974761296
13,0.9043132762309571,-1.5404230793920182,-0.7164830126048886,-0.7145012625825429,-2.0167146718041753,-0.9320379409360094,1.002773613044689,2.163768858785799,0.3552723757218045,0.4949810094487838
14,0.9056022894207987,-1.5398203480827397,-0.7180768053435662,-0.7174681018325186,-1.994637290551832,-0.913915015212896,1.0008484049806436,2.1825194436565662,0.3600037002942548,0.4959226965448406
15,0.9034283434581364,-1.5448486109848332,-0.7068478542758019,-0.7089898285195839,-2.0027749251337394,-0.8928807633270626,0.996978836426674,2.2430485764649877,0.3529342440856656,0.49668136063160784
16,0.9078100567744167,-1.5296186525120439,-0.7252017820163609,-0.7207573742499884,-2.001257676696645,-0.8925281162402944,1.0061663021776188,2.24223488345307,0.36237301695871954,0.4968563979972495
17,0.9062827765068704,-1.5334608517936794,-0.7207930914508953,-0.7203877020864928,-1.9862483337191934,-0.8524013360750516,1.0005627377636075,2.3301797517880822,0.3628917287000215,0.4953778381693539
18,0.9073431160420943,-1.5228462656007606,-0.7304162022380549,-0.7389394029414933,-1.9661283120923232,-0.8280133970221287,0.98846562969912,2.374512681996833,0.3714997631363933,0.4955113912942146
19,0.9091861703039105,-1.5145709375460032,-0.738566937066731,-0.7367159099964583,-1.964173219680373,-0.7327703993186601,1.002512538476713,2.6804756599156954,0.3760192480309435,0.4931383517450113
20,0.9095486896701177,-1.512584179254783,-0.738549244730334,-0.7382533312259663,-1.948907289768277,-0.6719949971738108,1.000400829216546,2.90018124831991,0.37895555556064786,0.4935867914273969
21,0.9075171452181013,-1.5135290558933958,-0.7377381177271225,-0.7415829421842246,-1.9248868627017075,-0.6632650916429207,0.994815381748429,2.902138054535216,0.3832631060153103,0.49309782035076094
22,0.9096803864148846,-1.4999465641572758,-0.7527761207826381,-0.7593545034269376,-1.8933872340594806,-0.5692213984768197,0.9913368754453796,3.3262755741895824,0.3975817029085291,0.49142264503837285
23,0.9120640404184095,-1.5038452306662307,-0.7899869922262566,-0.7498231043377114,-1.7405932964408033,-0.2669103761745436,1.053564484284624,6.521265008081058,0.4538607576173229,0.489333726460222
