# mode_index   <I_j>
# total_samples=4055040000
0 0.2465
1 0.239661
2 0.240788
3 0.241203
4 0.241499
5 0.241698
6 0.241965
7 0.2422
8 0.242348
9 0.242657
10 0.242838
11 0.243011
12 0.243165
13 0.243362
14 0.243546
15 0.243737
16 0.243947
17 0.244172
18 0.244407
19 0.244514
20 0.244676
21 0.244796
22 0.244975
23 0.245176
24 0.24525
25 0.245453
26 0.245594
27 0.24576
28 0.245964
29 0.246167
30 0.246289
31 0.246365
32 0.246675
33 0.246736
34 0.246729
35 0.246886
36 0.247083
37 0.247195
38 0.247194
39 0.247309
40 0.247359
41 0.247429
42 0.247461
43 0.247511
44 0.247597
45 0.247615
46 0.247658
47 0.247743
48 0.247749
49 0.247684
50 0.24773
51 0.247683
52 0.247613
53 0.247508
54 0.247469
55 0.247546
56 0.247495
57 0.247472
58 0.247374
59 0.24725
60 0.247143
61 0.247083
62 0.246925
63 0.24679
64 0.246695
65 0.246683
66 0.246543
67 0.246367
68 0.246233
69 0.246201
70 0.246101
71 0.245958
72 0.245816
73 0.245698
74 0.245593
75 0.245428
76 0.245271
77 0.245138
78 0.244925
79 0.244721
80 0.244553
81 0.244381
82 0.244184
83 0.243981
84 0.243773
85 0.243626
86 0.243407
87 0.243189
88 0.242964
89 0.242761
90 0.242605
91 0.242375
92 0.242147
93 0.241986
94 0.241781
95 0.241481
96 0.241227
97 0.240809
98 0.239669
99 0.246514
