# mode_index   <I_j>
# total_samples=4055040000
0 0.361686
1 0.337127
2 0.338212
3 0.337831
4 0.336842
5 0.336017
6 0.335333
7 0.334503
8 0.33374
9 0.332867
10 0.332002
11 0.331104
12 0.330134
13 0.329365
14 0.328465
15 0.327578
16 0.326745
17 0.32587
18 0.324946
19 0.324081
20 0.32309
21 0.322167
22 0.321257
23 0.320292
24 0.31934
25 0.318394
26 0.317481
27 0.316539
28 0.315556
29 0.314492
30 0.31334
31 0.312258
32 0.311125
33 0.310027
34 0.308833
35 0.307678
36 0.306584
37 0.305331
38 0.304256
39 0.303062
40 0.301821
41 0.300657
42 0.299421
43 0.298182
44 0.296904
45 0.295657
46 0.294394
47 0.293095
48 0.291584
49 0.290232
50 0.288808
51 0.28724
52 0.285705
53 0.284172
54 0.282728
55 0.281207
56 0.279583
57 0.278045
58 0.276275
59 0.274697
60 0.27313
61 0.271426
62 0.269781
63 0.267929
64 0.26614
65 0.264256
66 0.262268
67 0.260443
68 0.258626
69 0.256636
70 0.254717
71 0.252776
72 0.250653
73 0.248518
74 0.246295
75 0.244204
76 0.242105
77 0.239781
78 0.237528
79 0.235345
80 0.232937
81 0.230483
82 0.227984
83 0.225557
84 0.222942
85 0.220446
86 0.217949
87 0.215366
88 0.212797
89 0.210114
90 0.207386
91 0.204574
92 0.201807
93 0.199074
94 0.196219
95 0.193319
96 0.190313
97 0.186713
98 0.176259
99 0.0728212
