# mode_index   <I_j>
# total_samples=1013760512
0 0.242541
1 0.226567
2 0.231224
3 0.232878
4 0.234
5 0.235172
6 0.236192
7 0.237168
8 0.238202
9 0.239208
10 0.240115
11 0.241155
12 0.242188
13 0.243205
14 0.244133
15 0.24497
16 0.24589
17 0.24679
18 0.247627
19 0.248502
20 0.249358
21 0.250232
22 0.250918
23 0.251719
24 0.252504
25 0.253093
26 0.253829
27 0.25453
28 0.255088
29 0.255575
30 0.256124
31 0.256649
32 0.257139
33 0.257635
34 0.258011
35 0.258485
36 0.25883
37 0.259142
38 0.259275
39 0.259608
40 0.259995
41 0.260244
42 0.26052
43 0.260791
44 0.260936
45 0.260949
46 0.260963
47 0.26118
48 0.261367
49 0.261467
50 0.261513
51 0.261465
52 0.261242
53 0.261061
54 0.260946
55 0.260863
56 0.260703
57 0.26051
58 0.260234
59 0.259967
60 0.259623
61 0.259476
62 0.259238
63 0.258989
64 0.258686
65 0.258259
66 0.257714
67 0.257168
68 0.256552
69 0.25594
70 0.255399
71 0.254875
72 0.254228
73 0.253649
74 0.253098
75 0.252217
76 0.251494
77 0.250891
78 0.250092
79 0.249376
80 0.248543
81 0.24773
82 0.246897
83 0.246012
84 0.245066
85 0.244154
86 0.243199
87 0.242212
88 0.241256
89 0.24034
90 0.239388
91 0.238454
92 0.237431
93 0.236356
94 0.235291
95 0.234189
96 0.233027
97 0.231353
98 0.226674
99 0.242545
