# mode_index   <I_j>
# total_samples=1013760512
0 0.514213
1 0.470617
2 0.473845
3 0.473049
4 0.471214
5 0.469629
6 0.467889
7 0.466103
8 0.464109
9 0.462071
10 0.459993
11 0.457863
12 0.455487
13 0.453138
14 0.450679
15 0.448033
16 0.445296
17 0.442287
18 0.43936
19 0.436238
20 0.432963
21 0.429472
22 0.425863
23 0.422107
24 0.418129
25 0.413972
26 0.409583
27 0.405045
28 0.400382
29 0.395535
30 0.390519
31 0.38526
32 0.379758
33 0.374083
34 0.368235
35 0.362055
36 0.355648
37 0.349108
38 0.342264
39 0.335346
40 0.327933
41 0.320481
42 0.312627
43 0.304569
44 0.296357
45 0.287891
46 0.279166
47 0.269805
48 0.245145
49 0.105599
