case,start_epoch,end_epoch,elapsed_seconds
OPEN_T10_n25_rep0,1789185305,1789185516,211
OPEN_T10_n25_rep1,1789185516,1789185726,210
OPEN_T10_n50_rep0,1789185727,1789186508,781
OPEN_T10_n50_rep1,1789186508,1789187290,782
OPEN_T10_n100_rep0,1789187290,1789192426,5136
OPEN_T10_n100_rep1,1789192426,1789197414,4988
OPEN_T6_n25_rep0,1789197414,1789197625,211
OPEN_T6_n25_rep1,1789197625,1789197835,210
OPEN_T6_n50_rep0,1789197835,1789198677,842
OPEN_T6_n50_rep1,1789198677,1789199488,811
OPEN_T6_n100_rep0,1789199488,1789204598,5110
OPEN_T6_n100_rep1,1789204598,1789209377,4779
