temperature_label,T_left,T_right,n,replicate,batches,burnin,measure,seed,threads
T10,10,0,25,0,16,2000,2000,2026091225,2
T10,10,0,25,1,16,2000,2000,2026091226,2
T10,10,0,50,0,16,8000,2000,2026091250,2
T10,10,0,50,1,16,8000,2000,2026091251,2
T10,10,0,100,0,16,32000,2000,2026091300,2
T10,10,0,100,1,16,32000,2000,2026091301,2
T6,6,0,25,0,16,2000,2000,2026091425,2
T6,6,0,25,1,16,2000,2000,2026091426,2
T6,6,0,50,0,16,8000,2000,2026091450,2
T6,6,0,50,1,16,8000,2000,2026091451,2
T6,6,0,100,0,16,32000,2000,2026091500,2
T6,6,0,100,1,16,32000,2000,2026091501,2
