temperature,metric,n,j,mean_I,se_mean_I,stationary
T10,mid_chain,25,13,0.648415657259602,0.0013207542764817975,1
T10,free_end,25,25,0.6078146803784568,0.001387975511461476,1
T10,mid_chain,50,25,0.46997424115029884,0.002025897835562148,1
T10,free_end,50,50,0.4044390360529271,0.0020694294067997976,1
T10,mid_chain,100,50,0.3363897528993422,0.002684079144120356,0
T10,free_end,100,100,0.2805222520091365,0.0022269760207748427,0
T6,mid_chain,25,13,0.5001582021113673,0.0010897644544844438,1
T6,free_end,25,25,0.47779496160571155,0.001181532007107687,1
T6,mid_chain,50,25,0.35980305936326956,0.00166833305890292,1
T6,free_end,50,50,0.3174506975118513,0.0016545528892851808,1
T6,mid_chain,100,50,0.2582221659815868,0.0021260137567853422,1
T6,free_end,100,100,0.21951079070898455,0.0019821624112125002,1
