j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,abs_relative_delta_I,z_delta_I,sample_count
1,0.6379633495582153,0.6403975639985888,0.0024342144403735793,0.0020958884601444826,0.0038083367765067615,0.0038083367765067615,1.1614236571567238,512
2,0.6318631104913607,0.6292505803164902,-0.0026125301748707247,0.0026462457627156,-0.004143211185340755,0.004143211185340755,-0.9872590866956076,512
3,0.636892619987428,0.6343493876622883,-0.002543232325139715,0.0026163939356663715,-0.004001177289352899,0.004001177289352899,-0.9720372343287736,512
4,0.6374916038705498,0.6375401086999012,4.8504829351528854e-05,0.0026397326797809417,7.608411441585812e-05,7.608411441585812e-05,0.01837490202059173,512
5,0.637495337414978,0.6383581922615387,0.0008628548465606568,0.0027191014085589157,0.001352592325828228,0.001352592325828228,0.31733088138774396,512
6,0.6396018968957895,0.6395912135387425,-1.0683357046904025e-05,0.0027997748698265655,-1.670327483748716e-05,1.670327483748716e-05,-0.003815791463106394,512
7,0.6407909529183075,0.6406066674048818,-0.0001842855134257214,0.0026652797670826266,-0.0002876320519141304,0.0002876320519141304,-0.06914302794840836,512
8,0.6412976828997778,0.6417855584279526,0.00048787552817425436,0.0028216356204618276,0.0007604736972005063,0.0007604736972005063,0.1729052201624822,512
9,0.6434097489859774,0.6438070120686981,0.00039726308272099923,0.002910549100125549,0.0006172434895821329,0.0006172434895821329,0.13649076825533124,512
10,0.6457568778193068,0.6432676174803404,-0.0024892603389662826,0.0031484404586187282,-0.0038622390001791674,0.0038622390001791674,-0.7906328138275677,512
11,0.6483533119465208,0.6429946903597488,-0.005358621586771386,0.003354806888741576,-0.008299268016369269,0.008299268016369269,-1.5972965850149015,512
12,0.6486619901955838,0.6443892794813744,-0.004272710714209946,0.0034857486086894035,-0.006608725909649961,0.006608725909649961,-1.2257655940990049,512
13,0.6505670193471443,0.6447021209112402,-0.0058648984359043295,0.0036952807558091653,-0.009055876116579724,0.009055876116579724,-1.5871320268925215,512
14,0.6527289776767647,0.6456275380418044,-0.00710143963496067,0.0038427795447862254,-0.010939121187419638,0.010939121187419638,-1.8479955855380001,512
15,0.6510981310251174,0.645141613767001,-0.005956517258116217,0.003972377000890155,-0.009190456135985061,0.009190456135985061,-1.4994843784417853,512
16,0.65081594857079,0.6461959089862837,-0.004620039584506769,0.004227896045751359,-0.007124128522939843,0.007124128522939843,-1.0927514618410443,512
17,0.6526898219764883,0.6459467808288343,-0.006743041147654139,0.004533965563886573,-0.010384800694956203,0.010384800694956203,-1.4872281345414362,512
18,0.655898734788883,0.6468396182441407,-0.009059116544742361,0.004776051534145347,-0.013907806619266265,0.013907806619266265,-1.8967794798645217,512
19,0.6538280341037899,0.6509760013005566,-0.0028520328032335556,0.005033098786288679,-0.004371587956270748,0.004371587956270748,-0.5666554391904944,512
20,0.6555785308238768,0.6510783897362846,-0.004500141087591529,0.005281598914406525,-0.006888022428507594,0.006888022428507594,-0.8520414292188248,512
21,0.659141850782693,0.6493409586784141,-0.00980089210427917,0.005316450821627277,-0.014980543929829119,0.014980543929829119,-1.8435028241790978,512
22,0.657193427361547,0.6487938867093179,-0.008399540652229174,0.005448482280183205,-0.012863127477168437,0.012863127477168437,-1.5416294337194283,512
23,0.6568533340126719,0.6502271776019726,-0.0066261564106997696,0.005607592958380473,-0.010138864977053998,0.010138864977053998,-1.1816400476780446,512
24,0.6538429972426983,0.6482103041045237,-0.00563269313817487,0.005671857475302183,-0.008652016215229862,0.008652016215229862,-0.9930949715683351,512
25,0.610508717569862,0.6045070044583408,-0.00600171311152181,0.004145482893336433,-0.009879235309816837,0.009879235309816837,-1.44777177133432,512
