quarter,j,interval_start,interval_end,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
1,1,0,500,0.23802432808493212,0.0009445098030461898,512,0.002462668599344878,0.0003951606103060384
1,2,0,500,0.2266923551306096,0.0015195363273156843,512,0.00331048011602547,0.0013604363541673335
1,3,0,500,0.22755692948554887,0.0015786507363005663,512,0.00553285450207224,0.0013927804940927608
1,4,0,500,0.2298543792078933,0.00172483040146525,512,0.00558459244568881,0.0013335470514415537
1,5,0,500,0.23085026531278421,0.0018612409889762157,512,0.004609547369568267,0.001332973469021939
1,6,0,500,0.23181115477219305,0.0018092735619304535,512,0.005812133740868455,0.0014137862392695766
1,7,0,500,0.23315929507201894,0.0019737393904581376,512,0.006905036319637899,0.0013590519156534383
1,8,0,500,0.23434378532270503,0.002159775896890367,512,0.005180949478845519,0.001440852278451324
1,9,0,500,0.2360167341298866,0.0022735195641182017,512,0.004037453886756974,0.0014505297440448686
1,10,0,500,0.2351273071872957,0.0021703223822416057,512,0.004273103748191153,0.0014286991220134227
1,11,0,500,0.2351202009882709,0.00218983981455656,512,0.006708946931714468,0.0014720828384092786
1,12,0,500,0.2373115298067568,0.0023049552824420776,512,0.005928868227924258,0.0014153408888658364
1,13,0,500,0.23939797496708215,0.0024130212301184564,512,0.004951509407222695,0.0013929406102601532
1,14,0,500,0.23832825689264275,0.002423231827923295,512,0.005194398480180409,0.0014848442437212911
1,15,0,500,0.2415930250384999,0.0025310191863399784,512,0.0037639697496086857,0.0015111795369300467
1,16,0,500,0.24183315593866583,0.002683710508951052,512,0.004830931549320212,0.0014413043128420314
1,17,0,500,0.24187997886708812,0.0029888398665169546,512,0.007118050557832994,0.0013629717368002189
1,18,0,500,0.2419223526724486,0.0028143571048392956,512,0.007449886035858359,0.0013771699742809995
1,19,0,500,0.24036048516510725,0.002493581428484984,512,0.0061036530223779265,0.001448637267990481
1,20,0,500,0.24140757666316823,0.0025734851370748757,512,0.004866036333790131,0.0014321672435848004
1,21,0,500,0.24102280657349567,0.002609363455457148,512,0.005364455218199524,0.0013257761034635013
1,22,0,500,0.24306303062063844,0.0027213511408078505,512,0.0026590968998683297,0.001422870424440988
1,23,0,500,0.24382328304536005,0.002682388080667084,512,0.003226497867748532,0.0014149629370364342
1,24,0,500,0.24332744110182497,0.0026796686466575887,512,0.0026799584418431156,0.0014228601262433803
1,25,0,500,0.2427990025028951,0.0026154884405783945,512,0.00481234392319416,0.0013796202362506289
1,26,0,500,0.24196304656409703,0.0026022629842087385,512,0.0046206083249050265,0.0014906133237934283
1,27,0,500,0.24516093904483233,0.0028120585536747468,512,0.0019586225506799254,0.0014266838625628887
1,28,0,500,0.24923230884614236,0.003056454143376739,512,0.0024636748702701735,0.0013981894075871277
1,29,0,500,0.2482732452356716,0.0031331339898619925,512,0.00032431814115325497,0.0013834035688655214
1,30,0,500,0.244933577437647,0.0029875494093171777,512,0.0026331665799588307,0.0014582643709253418
1,31,0,500,0.24967174943537784,0.003332007758627694,512,0.0003709288310094679,0.0013983443045693827
1,32,0,500,0.25192564556613356,0.0036397188687857566,512,0.002128015051574443,0.0014270163635118148
1,33,0,500,0.2491786383669179,0.0035372810361332867,512,0.0042162979775647765,0.0014537315263335575
1,34,0,500,0.24903758604454623,0.0033392098961803336,512,0.003447246088997113,0.0014126847103130356
1,35,0,500,0.25162818223684713,0.003413982930579818,512,0.0036902377643057605,0.001406505583393228
1,36,0,500,0.25216598740374685,0.0034597219582585457,512,0.0032105250841439085,0.0014664518165695562
1,37,0,500,0.252529734061297,0.0033690543364165533,512,-0.0007975563826034363,0.0014668719081717154
1,38,0,500,0.25563806722450133,0.0035885680549004907,512,-4.3520476205024974e-05,0.0013903586476465607
1,39,0,500,0.25578596097678796,0.0035497826705374247,512,-0.0011412924251605482,0.0014157006338739355
1,40,0,500,0.2556930044333616,0.0035715796394802106,512,0.0006591303205930731,0.0013888580683766006
1,41,0,500,0.25335534042353575,0.003492879211880738,512,0.0018428720873231988,0.001442948759016743
1,42,0,500,0.2537628050983161,0.0033364314612027964,512,-0.0003285006429969712,0.001434829695403539
1,43,0,500,0.25390824925471683,0.0033071894116446115,512,-3.173785084231685e-05,0.0013734179029077855
1,44,0,500,0.2566205056300359,0.003618637095295651,512,0.0010163097324132377,0.0014174626022804059
1,45,0,500,0.2590178025008663,0.003958790368561095,512,0.001972279805388177,0.0013850331341082316
1,46,0,500,0.2570607553775125,0.003758013320967938,512,-0.00031747379864073306,0.0014507901952198164
1,47,0,500,0.2567688915195447,0.0036279410364832908,512,0.0013751716992740875,0.0014863000076439895
1,48,0,500,0.25634108510231435,0.0036031954149165586,512,0.0020305414794942506,0.0014298582666996144
1,49,0,500,0.25678327623904984,0.003496689566011551,512,0.002304538477708659,0.0013495744141637331
1,50,0,500,0.2583044130408725,0.0037698201355947404,512,8.639578034284673e-06,0.0013723171080256386
1,51,0,500,0.26082747502508075,0.003861957064305404,512,0.0012548621306850151,0.0014727379612571169
1,52,0,500,0.2608694198845021,0.0038759636253511893,512,-0.00046691458080555043,0.0013846096073772344
1,53,0,500,0.2618341976260643,0.0037595781976114654,512,-0.00023352342978298006,0.0013663494150087546
1,54,0,500,0.2633105259534987,0.003992450318369825,512,0.002438781874473806,0.0014658039966432776
