series,checkpoint,absolute_time,mean_total_action,se_total_action,sample_count,mean_I_left,se_I_left,mean_I_right,se_I_right
burnin_snapshot,1,500,12.485617456024336,0.08103549178608305,512,0.45288421335294515,0.02048337389806546,0.45616007677472226,0.023554770935939353
burnin_snapshot,2,1000,12.399512253369224,0.08615806612992995,512,0.47116191729352497,0.02092848853729656,0.47225309964517237,0.024169491571779157
burnin_snapshot,3,1500,12.402569935267003,0.08505131898728602,512,0.49316680281617664,0.021736340005305253,0.444278866617708,0.02153254510694226
burnin_snapshot,4,2000,12.306642320722343,0.08680826535413881,512,0.47286334127462826,0.02055543826306555,0.4677963031863328,0.022293695296108813
measurement_quarter,1,2250,12.482997205201976,0.031782564341078665,512,0.49456683786541056,0.0011967822953104254,0.4764524745584974,0.0025242886675916026
measurement_quarter,2,2750,12.405309648698232,0.03009238073637846,512,0.4973123848655628,0.001211215022206811,0.4787727235716912,0.0024645451425987287
measurement_quarter,3,3250,12.442853922548462,0.028439399246921966,512,0.49583360199570026,0.0010948308498089727,0.4782430894375601,0.0024572961270303197
measurement_quarter,4,3750,12.431595011306936,0.02916731072373149,512,0.49480886964566595,0.0011448922998895886,0.4777115589385093,0.002385934349538641
measurement_quarter_difference_q4_minus_q3,4,4000,-0.011258911241524835,0.039611924163999876,512,-0.0010247323500342594,0.0015899791365708918,-0.0005315304990506434,0.003433110843936733
measurement_snapshot,1,2500,12.507548940204678,0.07940147839491275,512,0.5021546811981352,0.023609391772770986,0.43554615546406694,0.01969819060882774
measurement_snapshot,2,3000,12.457468456387723,0.08224672835384397,512,0.49132537829859757,0.020231162870279793,0.484225860078368,0.02300704574050879
measurement_snapshot,3,3500,12.298573527828843,0.07984969755516012,512,0.49661870885958226,0.02069134200092609,0.5057325515670072,0.023844175002482534
measurement_snapshot,4,4000,12.428176318246862,0.08065041369693376,512,0.4758297980881707,0.019919812785654602,0.4845076279652005,0.02481492827189111
