j,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
1,0.3423559420686894,0.0008943752408385767,512,0.0037506839295870058,0.00019493210164072506
2,0.3316461772213901,0.0009592236670164856,512,0.007638447326240406,0.0005525578381599428
3,0.3339716647093921,0.0010148225938470439,512,0.008061955108755552,0.0005261448657611344
4,0.3359530746950148,0.0009993475803383451,512,0.008353316160573582,0.0005455692382908024
5,0.33800860872858235,0.0009816801795476337,512,0.007377760136488783,0.0005478287673254046
6,0.33921305907597776,0.0010703212742130244,512,0.007591299459567976,0.0005567452253977649
7,0.3406857730578328,0.0011082807965640392,512,0.007192347178347063,0.0005760200278659509
8,0.34184670016087754,0.0010912458642445804,512,0.007401036946511201,0.0005666412724111235
9,0.34304505289217313,0.0011080885034863012,512,0.007080079190879676,0.0005874581426969721
10,0.34515391452091115,0.0010944694843555924,512,0.006160804916143645,0.0005620217529938116
11,0.3462004502330389,0.0011941096154025506,512,0.007281913644085365,0.0005802885603845247
12,0.3477352825750899,0.001202593415835395,512,0.007296395167160442,0.0005983312314701931
13,0.34870719754696056,0.0012222342166064892,512,0.006835789284153919,0.000576220740614003
14,0.35023900478486913,0.0012853680758599178,512,0.006472184729615635,0.0005606586251734022
15,0.3518632070819779,0.001272192838956438,512,0.005964893358234011,0.0005919071575522574
16,0.3520069578800472,0.0013441183607320647,512,0.00562562676415572,0.0005882134155259359
17,0.35378198294241203,0.0013723877329303495,512,0.0047191381059723415,0.0005720037206324946
18,0.35540236779992834,0.0014205308650258955,512,0.004958571926590955,0.000551725109977416
19,0.3569995146520505,0.0015444471892009696,512,0.005322641485556659,0.0005957370860112584
20,0.35714079449725133,0.0015440138260355263,512,0.005011260682802747,0.0005762158563927621
21,0.3563207159268347,0.0015063805103458705,512,0.0051639739578150925,0.0005703656516235428
22,0.35873185241964256,0.0015851874329465235,512,0.00493650800187775,0.0005781153351544265
23,0.35930722607904364,0.0016452266957458857,512,0.005494398661574243,0.0005752178552396405
24,0.3585763346106224,0.0016324073574194306,512,0.005018506296166552,0.000568872470246191
25,0.35980305936326956,0.00166833305890292,512,0.00497367312328355,0.000599391907435679
26,0.3602888079434098,0.001749136219248319,512,0.003812543147942942,0.0006113630023531343
27,0.36101617181080176,0.0017933773925704521,512,0.0035738058822316118,0.000597244611361132
28,0.3620946424926095,0.001794320974777466,512,0.0033475698702426834,0.0005688093338806191
29,0.3625570004266877,0.0019164932538563984,512,0.003969520593920173,0.000574098877847778
30,0.3643740239104808,0.00199274212023523,512,0.003912262783968112,0.0005791970231504142
31,0.3679574175773349,0.0020866990623541653,512,0.0039693096365185955,0.0005548532496464547
32,0.3686310322315269,0.0020527820665168146,512,0.0036124168356859803,0.000574715915795791
33,0.36887224558628606,0.002051869374045585,512,0.0019906092758320364,0.0006047860641898572
34,0.3694207578753154,0.002148282921027382,512,0.0022048685004333866,0.0005951758077870927
35,0.36945050856986406,0.002136901620589601,512,0.0030681443328602013,0.0005833385053590625
36,0.37029237349065147,0.0022238124310008504,512,0.0031589222104417246,0.0005765725252149218
37,0.3696594316279811,0.0023161751270088004,512,0.0029514421820049635,0.0005746382187185016
38,0.368285943277042,0.0023702872616063056,512,0.0015460856671837802,0.0005648944254142392
39,0.37019707844345473,0.002497838396073327,512,0.0010131355623212881,0.0005799813406875249
40,0.3713420016127089,0.002512742685031056,512,0.0017891800054691928,0.000606800660618953
41,0.37130035143803247,0.002464352797134444,512,0.002073188707164766,0.0005670164246744921
42,0.36968821658585094,0.0024470886872357406,512,0.0017353192776826988,0.0005804482126788575
43,0.36955431670054006,0.00249273632555378,512,0.0014728105684619524,0.0005589564823611624
44,0.36836537837491057,0.002558669659776125,512,0.000815891395458037,0.0005688132452419161
45,0.36861519456821085,0.002665986210162958,512,0.00045625757884527836,0.0005531628567452847
46,0.3686946505237987,0.0027653935984695197,512,0.0009020645665686201,0.0005619417489883516
47,0.3684773656925742,0.0028437150340719975,512,0.0012785286210868212,0.0005452370508525542
48,0.36718064656311844,0.0029175713928320875,512,0.0009574537280843205,0.0005322646591204928
49,0.36220566421878775,0.0028075692673784135,512,0.0003560415336170739,0.0005316593041484325
50,0.3174506975118513,0.0016545528892851808,512,nan,nan
