# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=50 T1=10 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=8000 measure=2000 seed=2026091250 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
1,0.44097003872545137,0.0014831923448698349,0.0039605765366992514,0.0002459877359107847,256
2,0.42562605418075039,0.0016468521819886157,0.0071140136587188336,0.00072370086937876795,256
3,0.43070011573374944,0.0017488108846441732,0.0075209308539753777,0.00067865105306222123,256
4,0.43461141240694362,0.0017519094002866895,0.0086520489361629829,0.00067860071755594632,256
5,0.43621047327489054,0.0018641860640205708,0.0079442360480865733,0.00070303360108607451,256
6,0.43901067650755404,0.0018343781867124094,0.0086687487315003278,0.00075823470033378043,256
7,0.43884251438144029,0.0018833347611011944,0.009351540919112061,0.00073770107168405995,256
8,0.44140602560268793,0.0018766902795216284,0.0087665885550276025,0.00071070556164752781,256
9,0.44291430059834824,0.0018484793331921055,0.0086683716994042839,0.00072835905971368824,256
10,0.44571707746218026,0.0019345850525668213,0.0084922408476514888,0.00073234300126137056,256
11,0.44621446132870424,0.0019977456373490251,0.0073082123148112115,0.00070349403843677268,256
12,0.44817998977917339,0.0021425540011111451,0.0071181340630392317,0.00070316962441875608,256
13,0.44932394547387811,0.0020986791884863481,0.0073674830295801762,0.00073017886093870504,256
14,0.45121081953307446,0.0020455455492897519,0.006335681425192842,0.00074938515824021388,256
15,0.45405780197491968,0.0021405519288503097,0.0071870872455286339,0.00073960475078597673,256
16,0.45345705987650192,0.0021249324234841964,0.0058125742389350506,0.000749460086408563,256
17,0.45541582934579855,0.0021560769466967091,0.005347275101092926,0.00069575129816757612,256
18,0.45705467234583153,0.0021809793807763302,0.0060794710688796732,0.00071839968727610321,256
19,0.46065641995159229,0.002328639511038671,0.0054749946779034083,0.00074610594987843887,256
20,0.4627903980222523,0.0024514374361696502,0.0066091918398867152,0.00073142144465271136,256
21,0.46215848867313852,0.0024756392989299615,0.0064156038523540933,0.00070466207944355449,256
22,0.46321111686193056,0.0024617747311171407,0.0061655063297219471,0.00074001103563348526,256
23,0.463888954995959,0.0026718202393303781,0.0049518380962803527,0.00069664999743892467,256
24,0.46487526530758233,0.0026856051972473601,0.004188235934091687,0.00067495602172716314,256
25,0.46433581226148696,0.0026658738898218725,0.0041200154476082173,0.00069641083656159014,256
26,0.4665884036274684,0.0027456537502470288,0.0026865164163552085,0.00068742856467767064,256
27,0.46868378165641184,0.0029026794725414721,0.00413989440111979,0.00070789177258297946,256
28,0.47117289774032334,0.0032463395528856977,0.0037571894317003272,0.00074043449979941561,256
29,0.47445403270495984,0.0036284089389521977,0.0038819432056728829,0.00072013923590548933,256
30,0.47611841798052029,0.0035713463068212429,0.0044980085249724062,0.00071665211718480214,256
31,0.47627853432271777,0.0035838578151296883,0.0043245958013116061,0.00066030898057609251,256
32,0.47691990882195912,0.0035131848774455181,0.0030799836764685814,0.0006818135004666954,256
33,0.47810432628516969,0.0035326707610514501,0.0046471984317502804,0.00070663927074571232,256
34,0.47672343547306129,0.0036264566311476716,0.0038532874557591279,0.00069945475500936217,256
35,0.47720434334771983,0.0034952451838596525,0.0036950535794636648,0.00074582530549075182,256
36,0.47631970067180529,0.0036622354865569039,0.0052138691843636054,0.00072310563171470185,256
37,0.47785512744536301,0.0039325511835758857,0.0043054191226527096,0.00069720715549201893,256
38,0.47885887137348992,0.0039658734301927139,0.0028677566971300871,0.00066898044848979403,256
39,0.47993615981320825,0.0041373917662446118,0.0024648449016059946,0.00068611947291877023,256
40,0.47915792823675635,0.0043320672806050585,0.0016212112417660278,0.00072192236991813611,256
41,0.47740086369688634,0.0043671988711601693,0.0025670346391439315,0.00077077727977922241,256
42,0.47788478335156487,0.0043905288168904202,0.0010265769059572859,0.00067063202863658323,256
43,0.47904869354679808,0.0046106512605364938,0.00037983709096771779,0.00070272144351112616,256
44,0.48088641833887147,0.0047815941784845216,0.00079987420340644913,0.00065539383667444532,256
45,0.48242823966332243,0.0049361754076276384,0.00099863916485158199,0.00069241340331160277,256
46,0.48173255831893086,0.0051901240004032191,0.0012196061226470063,0.00074407445571094755,256
47,0.48272943063760682,0.0053106422690251251,-0.00032978366404042177,0.00072093865221736634,256
48,0.48353159677614571,0.0056732954263279947,-5.8482871306205917e-05,0.00066250440945973094,256
49,0.47238401515753348,0.0052350762322415133,0.0005356857149419528,0.00064110812800078113,256
50,0.40377700534491184,0.0030073924433426085,,,256
