# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091501 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,z_delta_I,mean_sin_q3,mean_sin_q4,mean_delta_sin_q4_minus_q3,se_delta_sin,z_delta_sin,sample_count
1,0.23898028391480203,0.23822815184342372,-0.00075213207137844165,0.00097503041429589045,-0.0031522161597306885,-0.77139344614351046,0.0015020013500786483,0.0018351384598079522,0.00033313710972930269,0.00087717634941917374,0.37978350641794084,256
2,0.22817864094821488,0.22470782786427365,-0.0034708130839411549,0.0028329662571706469,-0.0153275194688062,-1.2251515792523209,0.007219928135161249,0.0012068863008709687,-0.0060130418342902794,0.0025700956061907791,-2.3396179581048351,256
3,0.23245318762967243,0.22869378865774273,-0.0037593989719297452,0.0030311599859316734,-0.016304558699249308,-1.2402509235335648,0.0051456409904150199,0.0025422403383593669,-0.0026034006520556491,0.0028085541203589546,-0.92695406265588176,256
4,0.23231578914860948,0.22839038718084032,-0.0039254019677692174,0.0032142372354670204,-0.017040804614532334,-1.2212545870774427,0.0055086433688062465,0.003743287999295145,-0.001765355369511102,0.0027561773847367037,-0.64050861867141595,256
5,0.23301674476508868,0.23142986149629816,-0.0015868832687903436,0.0034644742351265536,-0.0068334368144667137,-0.4580444711352793,0.0032934995752795606,0.0060800749716791603,0.0027865753963996053,0.0027621554799266584,1.0088408913438847,256
6,0.23287120741050912,0.22912853739426592,-0.0037426700162431774,0.0035998653370158448,-0.016202043651884265,-1.0396694503427488,0.0031393545267712668,0.0067922235157792301,0.0036528689890079611,0.0026147495859561521,1.3970244067070741,256
7,0.23505181077148399,0.23281858261654204,-0.0022332281549419853,0.0039416131726403292,-0.0095463538043958612,-0.56657720002646406,0.0031191368582477903,0.0050174620759962391,0.0018983252177484505,0.0025355004096021204,0.74869844649180806,256
8,0.23573144311988553,0.23397378273655031,-0.0017576603833353659,0.0040521966274984214,-0.0074840997569509274,-0.43375495932447833,0.0046130919316734794,0.0036723647995978116,-0.00094072713207566066,0.0026564442037565398,-0.35413020561296055,256
9,0.23669796257113454,0.23281727363586727,-0.0038806889352674613,0.003909660443410996,-0.016530619822341729,-0.99258976359638573,0.0041646871996721298,0.0028281739593628234,-0.0013365132403093056,0.0025981774843242505,-0.51440413458009537,256
10,0.23857960200337108,0.23464546790761814,-0.0039341340957528698,0.0042339644106644363,-0.016626904810824399,-0.9291844980660775,0.0011498203933780031,0.0021444027565250432,0.00099458236314703733,0.0027523835180238579,0.36135311690179078,256
11,0.23878734075135058,0.23568127452528023,-0.003106066226070482,0.0045449279947345367,-0.013092820583125581,-0.68341373717448817,0.0033082134299899221,0.00078024791025658254,-0.0025279655197333415,0.0027237709498003004,-0.92811237300210037,256
12,0.24028735288395894,0.23414471181419266,-0.0061426410697663948,0.0045474894227398215,-0.025894712970863525,-1.350776329253232,0.0043135635041236077,0.00076623212351724303,-0.0035473313806063619,0.0028402738514233649,-1.2489399143074407,256
13,0.23837976357169241,0.23405933823454833,-0.0043204253371442458,0.0043582928523934689,-0.018289871945934576,-0.99131138807516639,0.00578041265744906,0.0012824218940310898,-0.0044979907634179681,0.0028303345354781435,-1.589208168517118,256
