# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091426 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
phase,checkpoint,absolute_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
burnin,1,500,1,0.44802866355394144,0.027779047085007561,0.097692423672924633,0.044440530983759094,256
burnin,1,500,2,0.48367298774246592,0.032238988142778986,-0.010112034275380211,0.044044334120059987,256
burnin,1,500,3,0.50962929654701838,0.030783359741704163,-0.063306345131422859,0.044325430385201973,256
burnin,1,500,4,0.49724242728829893,0.033122044675439243,-0.0083473887170839589,0.043901678354991681,256
burnin,1,500,5,0.50588754856107698,0.029769832788480818,0.001353295424451062,0.042880360627808339,256
burnin,1,500,6,0.47010608195841996,0.030960234594607297,0.16525084493343911,0.044965359502798306,256
burnin,1,500,7,0.46427858179595205,0.029400176620291558,-0.00016227139849434025,0.043910070684966648,256
burnin,1,500,8,0.49815790533352811,0.03162329712699391,0.035574919795180904,0.046550707339359419,256
burnin,1,500,9,0.51295499933004862,0.032167201249823869,-0.020592568601841776,0.043633514252482533,256
burnin,1,500,10,0.52143787249769957,0.038795478710200761,0.041319722483478927,0.042325326310055048,256
burnin,1,500,11,0.48002161796375731,0.028891516976209501,-0.064085163230629405,0.044620743942259476,256
burnin,1,500,12,0.50413778794700193,0.033146668586507402,-0.069348189644443892,0.043726647624387445,256
burnin,1,500,13,0.51971253630108549,0.032089683578467053,0.034994818088307511,0.043544898161819404,256
burnin,1,500,14,0.47419662175889243,0.029461573304352052,0.024386690038227243,0.045224499479653769,256
burnin,1,500,15,0.4830749975890285,0.03123640384983872,0.013028374463829095,0.04503635066571824,256
burnin,1,500,16,0.44430217725494003,0.030661392770714058,-0.017020310981024522,0.044382764543253801,256
burnin,1,500,17,0.50114375484827178,0.031796575901961818,0.060126495412987424,0.04380465845186967,256
burnin,1,500,18,0.50316853923322924,0.032797340100907887,0.0068212568975525301,0.043766699481034912,256
burnin,1,500,19,0.50291428849641306,0.031747479893714167,-0.099976657935258118,0.043313283222309797,256
burnin,1,500,20,0.48389971806886933,0.031160998861463493,-0.066881006113362673,0.044479323019966641,256
burnin,1,500,21,0.45281671587872552,0.031000705573439469,-0.030402144338950166,0.04381459605366704,256
burnin,1,500,22,0.44666028493861631,0.028122332687228285,0.046065136597462697,0.043392176584387064,256
burnin,1,500,23,0.53236089789515972,0.036076883404671745,-0.0092181787613299093,0.044859884918058625,256
burnin,1,500,24,0.53864948710861427,0.036920024156270229,-0.045212814917249489,0.043942735337937001,256
burnin,1,500,25,0.45809957218079944,0.031197450132921814,,,256
measurement,1,2500,1,0.48314857826608204,0.028964860282173415,0.038170910874669062,0.044594405124325526,256
measurement,1,2500,2,0.4392549861313455,0.029308681975210499,0.063476109944531345,0.044385827018074177,256
measurement,1,2500,3,0.41607816036730583,0.027757482727008179,0.053342673028964782,0.045280074858221553,256
measurement,1,2500,4,0.47366549244111411,0.029244628490289675,0.064312378332033404,0.045415841017861787,256
measurement,1,2500,5,0.49199169609164528,0.028619522620720025,-0.032375018232414732,0.044046774554392709,256
measurement,1,2500,6,0.50307746536986997,0.0326113144028191,-0.030382014050474027,0.04438528636824534,256
measurement,1,2500,7,0.55299046645086491,0.036136799881040349,0.02860383498728325,0.044783922866893908,256
measurement,1,2500,8,0.48875217392969716,0.032497062229718661,-0.05768876075035223,0.042252561135844552,256
measurement,1,2500,9,0.47721817219644436,0.03244972632086144,0.010752399106422672,0.043281543476398114,256
measurement,1,2500,10,0.5034575783879518,0.036086770195605189,-0.0067024118279732647,0.043284711551601469,256
measurement,1,2500,11,0.48794919078864041,0.033673278171907191,-0.047797662518860307,0.045196111191728491,256
measurement,1,2500,12,0.48892191517188621,0.033944529811330212,-0.020076669503396261,0.044437910556418145,256
measurement,1,2500,13,0.54094482338473426,0.038982108823337316,-0.03320107214312884,0.04279821526825521,256
measurement,1,2500,14,0.527263672234767,0.036988926775869055,0.052697803097089491,0.044721801342773634,256
measurement,1,2500,15,0.55097132131399462,0.040018263248010409,-0.04529226151680632,0.042944985124193223,256
measurement,1,2500,16,0.52697227092295407,0.03873593900770652,-0.020506152919551823,0.04301811784461726,256
measurement,1,2500,17,0.54010027814524619,0.038781193411327596,0.0090410329817132151,0.042440993587166458,256
measurement,1,2500,18,0.50008972472456037,0.038054247232637395,0.011231927617927795,0.044993033071383207,256
measurement,1,2500,19,0.49834263800619283,0.033030083302680653,0.0023714548879070207,0.04412027489325674,256
measurement,1,2500,20,0.5176020059716393,0.034247962112000742,-0.078856682994683069,0.043316612791786599,256
measurement,1,2500,21,0.48438308709683042,0.033463639155904626,-0.0091554911550701945,0.04274164672990053,256
measurement,1,2500,22,0.48110168563971456,0.038273298976528605,0.036978112806536956,0.04480264340636566,256
measurement,1,2500,23,0.46334484662975228,0.033469110077087326,0.02976381470762135,0.043917008545746719,256
measurement,1,2500,24,0.51391331337117663,0.036598642377567076,-0.066586894457032031,0.044396508581644456,256
measurement,1,2500,25,0.45950137026557059,0.029218949146424908,,,256
burnin,2,1000,1,0.46314359740193095,0.030016519789246247,0.060066888219807879,0.044491342477204598,256
burnin,2,1000,2,0.50143069456817102,0.034238271638310773,-0.030801343223629374,0.045687210430893382,256
burnin,2,1000,3,0.49534415814378008,0.033713246582413793,0.037349625559727428,0.045320253823792102,256
burnin,2,1000,4,0.5036643714179263,0.032524949535904284,0.015648095381038729,0.044308594969913698,256
burnin,2,1000,5,0.55740854211433088,0.03608227983725272,-0.036661809944916968,0.04349878481023061,256
burnin,2,1000,6,0.44885939989057988,0.026512736629151466,0.042492183016292984,0.044306157291057566,256
burnin,2,1000,7,0.4396320832274796,0.028858461899873032,-0.045551243107183836,0.043620135349401443,256
burnin,2,1000,8,0.490283632045319,0.033377650251464955,-0.086939711076411186,0.044074692037797056,256
burnin,2,1000,9,0.51162994774813342,0.033574341690224462,-0.0036246744066374958,0.042454467001685654,256
burnin,2,1000,10,0.47662788743727447,0.030886701860069619,0.042613417237589601,0.044240991272341178,256
burnin,2,1000,11,0.51285238682794443,0.036537022109587931,-0.0029564627329818904,0.04174222720204683,256
burnin,2,1000,12,0.53864086088924523,0.038583768247306263,0.0080893732701952104,0.04487757856176168,256
burnin,2,1000,13,0.53643972136245033,0.033273441319983346,-0.024783609709629673,0.044799988569472982,256
burnin,2,1000,14,0.44418025367122027,0.029205815365661258,-0.024495026043950929,0.046187999119861274,256
burnin,2,1000,15,0.51105129997040422,0.035596026033489526,-0.045609504349158669,0.043106782341850974,256
burnin,2,1000,16,0.51062161020536223,0.032993642098673177,0.027602071292676555,0.044271055050071013,256
