timestep,i,j,theta1,theta3,target_density,reconstructed_density,difference
fine,0,0,-3.089232776029963,-3.089232776029963,0.06152350724474817,0.06229217978856113,0.000768672543812958
fine,0,1,-3.089232776029963,-2.9845130209103035,0.06343275920648912,0.060450402646899826,-0.002982356559589297
fine,0,2,-3.089232776029963,-2.879793265790644,0.05884485523872393,0.057533227226569235,-0.001311628012154696
fine,0,3,-3.089232776029963,-2.7750735106709836,0.05628018842444541,0.05704713810903012,0.0007669496845847112
fine,0,4,-3.089232776029963,-2.670353755551324,0.055567780976034944,0.0535825337405384,-0.0019852472354965414
fine,0,5,-3.089232776029963,-2.5656340004316647,0.05115085479588836,0.05588396855821857,0.00473311376233021
fine,0,6,-3.089232776029963,-2.4609142453120048,0.05146431407318929,0.051749847000592264,0.0002855329274029719
fine,0,7,-3.089232776029963,-2.356194490192345,0.0487571657692284,0.050934340776805344,0.0021771750075769425
fine,0,8,-3.089232776029963,-2.2514747350726854,0.04975453619700339,0.046867572109909945,-0.0028869640870934424
fine,0,9,-3.089232776029963,-2.1467549799530254,0.047161373084788634,0.044336929432647054,-0.0028244436521415797
fine,0,10,-3.089232776029963,-2.0420352248333655,0.047104380488915576,0.04215040680381022,-0.004953973685105355
fine,0,11,-3.089232776029963,-1.9373154697137058,0.04371332103448064,0.042756482199942325,-0.000956838834538315
fine,0,12,-3.089232776029963,-1.8325957145940461,0.04109166162432935,0.039245169583643325,-0.0018464920406860222
fine,0,13,-3.089232776029963,-1.7278759594743862,0.038498498512114385,0.037457479247898474,-0.0010410192642159102
fine,0,14,-3.089232776029963,-1.6231562043547265,0.03841300961830502,0.03509663894744106,-0.0033163706708639606
fine,0,15,-3.089232776029963,-1.5184364492350668,0.036389772464818705,0.03298120618261371,-0.0034085662822049972
fine,0,16,-3.089232776029963,-1.413716694115407,0.03436653531133231,0.03477886144631578,0.00041232613498346643
fine,0,17,-3.089232776029963,-1.3089969389957472,0.031687883305308,0.0329841721026408,0.0012962887973327966
fine,0,18,-3.089232776029963,-1.2042771838760875,0.03083299436721522,0.03189433877586504,0.001061344408649821
fine,0,19,-3.089232776029963,-1.0995574287564276,0.03049103879197809,0.030462737510813465,-2.8301281164624242e-05
fine,0,20,-3.089232776029963,-0.9948376736367679,0.02940817947039375,0.02988327407146606,0.0004750946010723088
fine,0,21,-3.089232776029963,-0.8901179185171082,0.02918020908690245,0.02955833538230231,0.0003781262953998603
fine,0,22,-3.089232776029963,-0.7853981633974485,0.028268327552936626,0.027889950192818713,-0.00037837736011791384
fine,0,23,-3.089232776029963,-0.6806784082777886,0.027014490443733795,0.02799994304788238,0.0009854526041485866
fine,0,24,-3.089232776029963,-0.5759586531581289,0.026302082995323207,0.026279377831877827,-2.2705163445380094e-05
fine,0,25,-3.089232776029963,-0.4712388980384692,0.025589675546912397,0.026888081707907057,0.0012984061609946605
fine,0,26,-3.089232776029963,-0.36651914291880927,0.02459230511913741,0.025048512668985768,0.00045620754984835796
fine,0,27,-3.089232776029963,-0.2617993877991496,0.02530471256754822,0.02610392144830498,0.0007992088807567584
fine,0,28,-3.089232776029963,-0.15707963267948988,0.025760653334530963,0.025484545270541753,-0.00027610806398921037
fine,0,29,-3.089232776029963,-0.05235987755982996,0.025105238481993117,0.026705668440389522,0.0016004299583964043
fine,0,30,-3.089232776029963,0.05235987755982974,0.025162231077866082,0.027178184310077524,0.002015953232211442
fine,0,31,-3.089232776029963,0.15707963267948943,0.02570366073865811,0.02555250890336841,-0.00015115183528970066
fine,0,32,-3.089232776029963,0.26179938779914935,0.02664403857056023,0.025787627658360065,-0.0008564109122001645
fine,0,33,-3.089232776029963,0.36651914291880905,0.025789149632467503,0.02443264774660647,-0.0013565018858610334
fine,0,34,-3.089232776029963,0.47123889803846875,0.025732157036594535,0.027090643641807636,0.0013584866052131009
fine,0,35,-3.089232776029963,0.5759586531581287,0.026473060782941666,0.025247775797708122,-0.0012252849852335441
fine,0,36,-3.089232776029963,0.6806784082777884,0.028553290532301028,0.027965808286599295,-0.0005874822457017335
fine,0,37,-3.089232776029963,0.7853981633974481,0.028353816446745915,0.02806814420176752,-0.0002856722449783959
fine,0,38,-3.089232776029963,0.890117918517108,0.029208705384838756,0.028307088587410264,-0.0009016167974284922
fine,0,39,-3.089232776029963,0.9948376736367677,0.02940817947039388,0.029921794804334777,0.0005136153339408978
fine,0,40,-3.089232776029963,1.0995574287564271,0.029579157258012446,0.03041703274061337,0.0008378754826009228
fine,0,41,-3.089232776029963,1.204277183876087,0.0306050239837236,0.02991031505697665,-0.0006947089267469522
fine,0,42,-3.089232776029963,1.308996938995747,0.0318588610929267,0.03037982281664842,-0.0014790382762782835
fine,0,43,-3.089232776029963,1.4137166941154065,0.03231480185990956,0.033397657912483086,0.001082856052573529
fine,0,44,-3.089232776029963,1.5184364492350664,0.03356863896911211,0.03396994552169367,0.00040130655258156095
fine,0,45,-3.089232776029963,1.6231562043547263,0.035734357612280936,0.03575637577286919,2.201816058825662e-05
fine,0,46,-3.089232776029963,1.7278759594743858,0.037216165104975205,0.03574903953098294,-0.0014671255739922631
fine,0,47,-3.089232776029963,1.8325957145940457,0.03915391336465199,0.04046051357550665,0.001306600210854665
fine,0,48,-3.089232776029963,1.9373154697137056,0.041576098689248706,0.0406280134025598,-0.0009480852866889031
fine,0,49,-3.089232776029963,2.042035224833365,0.03992331340893587,0.040447457346466854,0.0005241439375309812
fine,0,50,-3.089232776029963,2.146754979953025,0.0422315135417862,0.04281958195585722,0.0005880684140710246
fine,0,51,-3.089232776029963,2.251474735072685,0.045508587804475795,0.04641030109761434,0.0009017132931385466
fine,0,52,-3.089232776029963,2.3561944901923444,0.0502674695598593,0.04802842414226221,-0.002239045417597091
fine,0,53,-3.089232776029963,2.4609142453120043,0.051521306669061705,0.05102445884358924,-0.0004968478254724629
fine,0,54,-3.089232776029963,2.5656340004316642,0.053487551226675686,0.052798066636784734,-0.0006894845898909527
fine,0,55,-3.089232776029963,2.6703537555513237,0.05628018842444565,0.05461478389076666,-0.0016654045336789852
fine,0,56,-3.089232776029963,2.7750735106709836,0.057562521831584425,0.05929625104502395,0.0017337292134395263
fine,0,57,-3.089232776029963,2.8797932657906435,0.05927229970777061,0.060664325676110846,0.0013920259683402325
fine,0,58,-3.089232776029963,2.984513020910303,0.06326178141887055,0.06164657480740788,-0.0016152066114626731
fine,0,59,-3.089232776029963,3.089232776029963,0.06166598873443005,0.06175022647642594,8.423774199588924e-05
fine,1,0,-2.9845130209103035,-3.089232776029963,0.061751477628239855,0.05944373361161195,-0.002307744016627908
fine,1,1,-2.9845130209103035,-2.9845130209103035,0.06004169975205443,0.058981687349811344,-0.0010600124022430851
fine,1,2,-2.9845130209103035,-2.879793265790644,0.05653665510587351,0.05784334415322296,0.0013066890473494505
fine,1,3,-2.9845130209103035,-2.7750735106709836,0.058616884855232754,0.05911437190822302,0.0004974870529902697
fine,1,4,-2.9845130209103035,-2.670353755551324,0.05514033650698876,0.05472412948416314,-0.00041620702282561817
fine,1,5,-2.9845130209103035,-2.5656340004316647,0.05163529186080786,0.05228055868823284,0.0006452668274249743
fine,1,6,-2.9845130209103035,-2.4609142453120048,0.05123634368969808,0.05073951079638312,-0.0004968328933149593
fine,1,7,-2.9845130209103035,-2.356194490192345,0.04972603989906717,0.050287031129249815,0.0005609912301826475
fine,1,8,-2.9845130209103035,-2.2514747350726854,0.04756032125589863,0.04741063327816028,-0.00014968797773835113
fine,1,9,-2.9845130209103035,-2.1467549799530254,0.045394602612730275,0.044322625831908206,-0.001071976780822069
fine,1,10,-2.9845130209103035,-2.0420352248333655,0.043969787715908676,0.04280984980406447,-0.001159937911844204
fine,1,11,-2.9845130209103035,-1.9373154697137058,0.042544972819087264,0.039981528727356656,-0.0025634440917306073
fine,1,12,-2.9845130209103035,-1.8325957145940461,0.039524365237825966,0.03889940137913287,-0.000624963858693095
fine,1,13,-2.9845130209103035,-1.7278759594743862,0.04055023196353738,0.0378593524486626,-0.002690879514874782
fine,1,14,-2.9845130209103035,-1.6231562043547265,0.03827052812862304,0.03478587878130157,-0.0034846493473214696
