I1_I2_I3,theta1,theta3,log_density,density
1.0,-3.141592653589793,-3.141592653589793,-6.5535581857266925,0.0014250360237924643
1.0,-3.141592653589793,-3.0892327760299634,-6.5551178095092,0.001422815235965741
1.0,-3.141592653589793,-3.036872898470133,-6.557150143466401,0.0014199265366420155
1.0,-3.141592653589793,-2.9845130209103035,-6.55963990367789,0.001416395657393145
1.0,-3.141592653589793,-2.9321531433504737,-6.562571333951953,0.0014122496720854023
1.0,-3.141592653589793,-2.8797932657906435,-6.565928116448386,0.0014075170048168473
1.0,-3.141592653589793,-2.827433388230814,-6.569693314304133,0.0014022273892820305
1.0,-3.141592653589793,-2.775073510670984,-6.573849374830954,0.001396411740844324
1.0,-3.141592653589793,-2.722713633111154,-6.578378215219405,0.0013901019138379267
1.0,-3.141592653589793,-2.670353755551324,-6.583261403545594,0.0013833303313124212
1.0,-3.141592653589793,-2.6179938779914944,-6.588480437223037,0.0013761294907857682
1.0,-3.141592653589793,-2.5656340004316647,-6.594017109957332,0.0013685313657310584
1.0,-3.141592653589793,-2.5132741228718345,-6.599853947787716,0.0013605667368191783
1.0,-3.141592653589793,-2.4609142453120048,-6.605974685814606,0.0013522644980883437
1.0,-3.141592653589793,-2.408554367752175,-6.6123647503530885,0.001343650990416961
1.0,-3.141592653589793,-2.356194490192345,-6.619011706904243,0.001334749417621654
1.0,-3.141592653589793,-2.303834612632515,-6.625905632689183,0.0013255793992262021
1.0,-3.141592653589793,-2.2514747350726854,-6.633039373640923,0.0013161567086581807
1.0,-3.141592653589793,-2.199114857512855,-6.6404086498006665,0.0013064932365321482
1.0,-3.141592653589793,-2.1467549799530254,-6.648011980167051,0.0012965972059030453
1.0,-3.141592653589793,-2.0943951023931957,-6.6558504083267325,0.0012864736500684548
1.0,-3.141592653589793,-2.0420352248333655,-6.663927023578274,0.0012761251440704638
1.0,-3.141592653589793,-1.9896753472735358,-6.672246288237436,0.0012655527594678266
1.0,-3.141592653589793,-1.9373154697137058,-6.680813199237699,0.001254757189978425
1.0,-3.141592653589793,-1.8849555921538759,-6.689632329201935,0.001243739975775508
1.0,-3.141592653589793,-1.8325957145940461,-6.6987068065659825,0.0012325047395649958
1.0,-3.141592653589793,-1.7802358370342162,-6.708037303725941,0.0012210583409295913
1.0,-3.141592653589793,-1.7278759594743862,-6.71762110468354,0.0012094118587592368
1.0,-3.141592653589793,-1.6755160819145565,-6.727451318396859,0.001197581325324489
1.0,-3.141592653589793,-1.6231562043547265,-6.7375162914223194,0.0011855881582864944
1.0,-3.141592653589793,-1.5707963267948966,-6.7477992551569965,0.00117345926560726
1.0,-3.141592653589793,-1.5184364492350668,-6.758278221700658,0.0011612268288061069
1.0,-3.141592653589793,-1.4660765716752369,-6.768926121079087,0.0011489277980015053
1.0,-3.141592653589793,-1.413716694115407,-6.779711154091792,0.00113660315408013
1.0,-3.141592653589793,-1.3613568165555772,-6.790597321409995,0.0011242970068909115
1.0,-3.141592653589793,-1.3089969389957472,-6.8015450817710486,0.00111205560292766
1.0,-3.141592653589793,-1.2566370614359172,-6.8125120901581235,0.0010999263123898876
1.0,-3.141592653589793,-1.2042771838760875,-6.823453969827303,0.001087956655727947
1.0,-3.141592653589793,-1.1519173063162575,-6.834325078519435,0.0010761934162477394
1.0,-3.141592653589793,-1.0995574287564276,-6.845079237561146,0.0010646818705306637
1.0,-3.141592653589793,-1.0471975511965979,-6.855670401335572,0.0010534651543618182
1.0,-3.141592653589793,-0.9948376736367681,-6.866053252649299,0.001042583769952286
1.0,-3.141592653589793,-0.9424777960769379,-6.876183716146139,0.0010320752311834636
1.0,-3.141592653589793,-0.8901179185171082,-6.88601938687858,0.001021973837464007
1.0,-3.141592653589793,-0.8377580409572785,-6.895519874571067,0.0010123105631915116
1.0,-3.141592653589793,-0.7853981633974483,-6.904647066362446,0.00100311304812116
1.0,-3.141592653589793,-0.7330382858376185,-6.913365312359202,0.0009944056734744672
1.0,-3.141592653589793,-0.6806784082777888,-6.921641539590315,0.0009862097087764646
1.0,-3.141592653589793,-0.6283185307179586,-6.929445301220679,0.0009785435147719956
1.0,-3.141592653589793,-0.5759586531581289,-6.936748769268293,0.0009714227881303943
1.0,-3.141592653589793,-0.5235987755982991,-6.943526680522796,0.0009648608339746797
1.0,-3.141592653589793,-0.47123889803846897,-6.949756246693877,0.0009588688526633901
1.0,-3.141592653589793,-0.41887902047863923,-6.955417040782047,0.0009534562278619123
1.0,-3.141592653589793,-0.3665191429188095,-6.960490872028191,0.0009486308039066191
1.0,-3.141592653589793,-0.3141592653589793,-6.964961661402643,0.0009443991418715883
1.0,-3.141592653589793,-0.2617993877991496,-6.9688153283903835,0.0009407667455934348
1.0,-3.141592653589793,-0.20943951023931984,-6.9720396978869035,0.0009377382511120423
1.0,-3.141592653589793,-0.15707963267948966,-6.974624433514276,0.0009353175753963074
1.0,-3.141592653589793,-0.10471975511965992,-6.976561000842261,0.0009335080226643843
1.0,-3.141592653589793,-0.05235987755983018,-6.97784266112319,0.0009323123488972679
1.0,-3.141592653589793,0.0,-6.978464493472176,0.0009317327871331663
