timestep,split,phase,model,ess_fraction,fp_abs_median,fp_abs_p90,max_abs_moment_z,max_marginal_tv,pairwise_rms,complete_pass
fine,test,driven,43201,0.9160084196,0.0887470755,0.4060287167,1.342781084,0.0242939182,0.0127328292,1
fine,test,driven,43202,0.9165076768,0.0950146121,0.4086983017,1.443344990,0.0244005282,0.0127328292,1
fine,test,driven,43203,0.9177964011,0.0914148187,0.3965355390,1.220312987,0.0242468814,0.0127328292,1
coarse,test,driven,46201,0.9087082640,0.0912136052,0.4088934888,2.829839486,0.0240899887,0.0138342066,1
coarse,test,driven,46202,0.9096029766,0.0894293890,0.4021810005,2.694922164,0.0240523716,0.0138342066,1
coarse,test,driven,46203,0.9113588830,0.0931015638,0.4344540967,2.651876293,0.0241889410,0.0138342066,1
fine,test,equilibrium,9201,1.0000000000,8.881784197e-16,3.552713679e-15,1.217499069,0.0332121679,0.0000000000,1
fine,test,equilibrium,9202,1.0000000000,8.881784197e-16,3.552713679e-15,1.225986099,0.0332121679,0.0000000000,1
fine,test,equilibrium,9203,1.0000000000,8.881784197e-16,3.552713679e-15,1.272210470,0.0332121679,0.0000000000,1
coarse,test,equilibrium,10201,1.0000000000,8.881784197e-16,4.440892099e-15,1.390850659,0.03360341397,0.0000000000,1
coarse,test,equilibrium,10202,1.0000000000,8.881784197e-16,4.440892099e-15,1.416630548,0.03360341397,0.0000000000,1
coarse,test,equilibrium,10203,1.0000000000,8.881784197e-16,4.440892099e-15,1.403210361,0.03360341397,0.0000000000,1
