timestep,marginal,bin,center,left,right,target_density,reconstructed_density,seed_min_density,seed_max_density
fine,log_I1,0,-6.775367748869883,-6.837236641946318,-6.713498855793446,0.0011007845263723017,0.0010802062908513786,0.0010795690677764236,0.0010811815931976165
fine,log_I1,1,-6.65162996271701,-6.713498855793446,-6.5897610696405735,0.0012171893268622376,0.0011081190832927972,0.0011056400688611485,0.0011096937312303568
fine,log_I1,2,-6.527892176564137,-6.5897610696405735,-6.466023283487702,0.0013260025099289337,0.0013749856468032956,0.00137296994718351,0.0013764887723367552
fine,log_I1,3,-6.404154390411265,-6.466023283487702,-6.342285497334829,0.0015613426500498972,0.0015713761594494254,0.0015702427374438444,0.0015722517718373351
fine,log_I1,4,-6.280416604258393,-6.342285497334829,-6.218547711181957,0.0018574157295569414,0.0018268399370117785,0.0018209351511383925,0.001830711615754691
fine,log_I1,5,-6.1566788181055205,-6.218547711181957,-6.094809925029085,0.0019712899909058003,0.001999559738610906,0.0019952874369481293,0.002002342607447496
fine,log_I1,6,-6.032941031952649,-6.094809925029085,-5.971072138876212,0.002305321157529103,0.002367813840710497,0.0023629911966672255,0.002371213034737158
fine,log_I1,7,-5.909203245799777,-5.971072138876212,-5.84733435272334,0.0025229475236624942,0.002596850605909149,0.0025931469799001547,0.00259963609035298
fine,log_I1,8,-5.785465459646904,-5.84733435272334,-5.723596566570468,0.0028240816814516776,0.0028437574944619516,0.0028411785320309082,0.0028464439391903524
fine,log_I1,9,-5.661727673494031,-5.723596566570468,-5.599858780417596,0.003213784709178904,0.0033813353273449997,0.003379811548792978,0.003383108632160791
fine,log_I1,10,-5.53798988734116,-5.599858780417596,-5.476120994264724,0.0037072398416906254,0.003689600596817963,0.0036865681024510107,0.0036921378042748102
fine,log_I1,11,-5.414252101188287,-5.476120994264724,-5.352383208111851,0.0040918817911356304,0.004276576137431882,0.0042713816166610186,0.004279614500131071
fine,log_I1,12,-5.290514315035415,-5.352383208111851,-5.228645421958979,0.004453748888310922,0.004719408509382901,0.004713054970856199,0.004723893689736272
fine,log_I1,13,-5.166776528882544,-5.228645421958979,-5.104907635806107,0.005215441169777733,0.00506728781015337,0.005060372824196533,0.005071366660569034
fine,log_I1,14,-5.043038742729671,-5.104907635806107,-4.981169849653234,0.006123904721427474,0.006074410950546443,0.006068765310673806,0.006077363626171388
fine,log_I1,15,-4.919300956576798,-4.981169849653234,-4.8574320635003625,0.007098162290745532,0.00673941022843159,0.0067295306744385094,0.006745117278886223
