timestep,model,stream_index,mean_exp_log_ratio
fine,1,0,0.9818983315775516
fine,1,1,0.9926319528063287
fine,1,2,0.9887506123940805
fine,1,3,0.991684434445124
fine,1,4,0.9916716459584158
fine,1,5,0.9908564696164933
fine,1,6,0.9846378658168353
fine,1,7,0.9947418931213857
fine,1,8,0.9887522348180137
fine,1,9,0.9894906496190462
fine,1,10,0.9957305037720747
fine,1,11,0.9907419180746851
fine,1,12,0.9952883995045086
fine,1,13,0.9855280917053137
fine,1,14,0.9914603490413686
fine,1,15,0.9987671877346707
fine,1,16,0.9929211695442329
fine,1,17,0.9844019446730028
fine,1,18,0.9991231209345219
fine,1,19,0.9895768365523301
fine,1,20,0.9903757065203268
fine,1,21,0.9953587496576208
fine,1,22,0.9908920857797212
fine,1,23,0.9924639742479614
fine,1,24,0.9947512757833286
fine,1,25,0.9960636466034284
fine,1,26,0.9928894438575203
fine,1,27,0.9867175111250601
fine,1,28,0.9997344973981158
fine,1,29,0.9922486360835542
fine,1,30,0.99535150692082
fine,1,31,0.994678643365515
fine,2,0,0.9859116909067452
fine,2,1,0.9967362297599224
fine,2,2,0.9928182404846778
fine,2,3,0.9958558694436899
fine,2,4,0.9954131669881742
fine,2,5,0.9948933508927849
fine,2,6,0.9886996488548069
fine,2,7,0.9984967012336784
fine,2,8,0.9933307683240401
fine,2,9,0.9936550321232828
fine,2,10,0.999164201195388
fine,2,11,0.9946478570221582
fine,2,12,1.0000584422163628
fine,2,13,0.9891493748814238
fine,2,14,0.995634298408565
fine,2,15,1.0032124266304303
fine,2,16,0.9968864966210311
fine,2,17,0.9882291906279411
fine,2,18,1.0032212302764085
fine,2,19,0.9933513432559958
fine,2,20,0.9944399589150938
fine,2,21,0.9995310575368656
fine,2,22,0.9953169795075093
fine,2,23,0.9965092850021116
fine,2,24,0.9988327502940036
fine,2,25,1.0000632616041933
fine,2,26,0.9966451496523961
fine,2,27,0.9908400958738476
fine,2,28,1.0034907842151946
fine,2,29,0.9963491013715793
fine,2,30,0.9993027084421978
fine,2,31,0.9986964094047968
fine,3,0,0.9921331116982853
fine,3,1,1.002647014198279
fine,3,2,0.9985029629459953
fine,3,3,1.0016900627873826
fine,3,4,1.0016558509334703
fine,3,5,1.0008584888964904
fine,3,6,0.9944800912911482
fine,3,7,1.0043643480382476
fine,3,8,0.999383201085442
fine,3,9,0.9995336897734399
fine,3,10,1.005440095695572
fine,3,11,1.0005806435287925
fine,3,12,1.0057661392203516
fine,3,13,0.9953501173165353
fine,3,14,1.001459681630263
fine,3,15,1.0092715534331633
fine,3,16,1.0027369944117377
fine,3,17,0.9945688718218354
fine,3,18,1.009639056519119
fine,3,19,0.9994715421557281
fine,3,20,1.0005472407883367
fine,3,21,1.0057719158104526
fine,3,22,1.001173236625405
fine,3,23,1.002689355745346
fine,3,24,1.0046722291192376
fine,3,25,1.005751616831687
fine,3,26,1.003032221577864
fine,3,27,0.9966908300389298
fine,3,28,1.0095310760294964
fine,3,29,1.0023866700010797
fine,3,30,1.0052739461674323
fine,3,31,1.0049761881444346
coarse,1,0,0.9922820577974663
coarse,1,1,0.9953867596488292
coarse,1,2,0.9993055320891405
coarse,1,3,1.0112203028533486
coarse,1,4,0.9980031768293083
coarse,1,5,1.0000462770382426
coarse,1,6,0.9921706670101057
coarse,1,7,0.9993908967909108
coarse,1,8,0.995228696868085
coarse,1,9,1.0044763759871962
coarse,1,10,0.9898248768669685
coarse,1,11,0.9935169226993887
coarse,1,12,0.9960770059337215
coarse,1,13,0.9970131608676526
coarse,1,14,0.9986921986808428
coarse,1,15,0.9990052653783121
coarse,1,16,1.0080919042201395
coarse,1,17,1.003539118091209
coarse,1,18,0.9951989080672882
coarse,1,19,0.9909897645211834
coarse,1,20,0.9977183749332696
coarse,1,21,0.9959068783606413
coarse,1,22,0.9963898401852034
coarse,1,23,1.0092759302249543
coarse,1,24,1.0056306337336838
coarse,1,25,1.0031635103215568
coarse,1,26,0.991320478930282
coarse,1,27,0.9920006451621601
