calibration,training_base_seed,observable,unshrunk_standardized_alpha,shrink_factor,shrunk_standardized_alpha,observable_center,observable_scale,shrunk_physical_coefficient
fine_two_moment,8201,I1,-0.019652691710380404,0.625,-0.012282932318987753,1.4829710519005395,1.4122871535617474,-0.008697191847996742
fine_two_moment,8201,I1*I2*sin(theta1),0.004294458688950006,0.625,0.0026840366805937536,-0.001667751610412992,2.3532736750896484,0.0011405544153259204
fine_two_moment,8202,I1,-0.011782436956039068,0.625,-0.007364023097524417,1.4829710519005395,1.4122871535617474,-0.005214253403744815
fine_two_moment,8202,I1*I2*sin(theta1),0.005267955428851166,0.625,0.003292472143031979,-0.001667751610412992,2.3532736750896484,0.0013991029508739785
fine_two_moment,8203,I1,-0.01670529456541835,0.625,-0.010440809103386468,1.4829710519005395,1.4122871535617474,-0.007392837269003721
fine_two_moment,8203,I1*I2*sin(theta1),0.008041964783845904,0.625,0.00502622798990369,-0.001667751610412992,2.3532736750896484,0.0021358450753553833
fine_three_moment,8201,I1,-0.019551062378863608,0.625,-0.012219413986789756,1.4829710519005395,1.4122871535617474,-0.008652216339979264
fine_three_moment,8201,I1*I2*sin(theta1),0.004286719924981931,0.625,0.002679199953113707,-0.001667751610412992,2.3532736750896484,0.0011384990965879235
fine_three_moment,8201,I2*I3*sin(theta3),-0.0020171962478153214,0.625,-0.0012607476548845758,0.0017271886746701355,2.3471049053294846,-0.0005371501086388779
fine_three_moment,8202,I1,-0.011707580876847382,0.625,-0.0073172380480296135,1.4829710519005395,1.4122871535617474,-0.005181126252954826
fine_three_moment,8202,I1*I2*sin(theta1),0.00526206102452157,0.625,0.0032887881403259813,-0.001667751610412992,2.3532736750896484,0.001397537470944893
fine_three_moment,8202,I2*I3*sin(theta3),-0.0015033870278330398,0.625,-0.0009396168923956499,0.0017271886746701355,2.3471049053294846,-0.00040033016430671527
fine_three_moment,8203,I1,-0.016571686450840253,0.625,-0.010357304031775158,1.4829710519005395,1.4122871535617474,-0.00733370972443836
fine_three_moment,8203,I1*I2*sin(theta1),0.008036921428961761,0.625,0.0050230758931011,-0.001667751610412992,2.3532736750896484,0.0021345056234947876
fine_three_moment,8203,I2*I3*sin(theta3),-0.002703440425384428,0.625,-0.0016896502658652673,0.0017271886746701355,2.3471049053294846,-0.0007198869816294281
coarse_three_moment,8201,I1,-0.023730877866177145,0.625,-0.014831798666360715,1.4736186076571332,1.4051261643133084,-0.010555492483914485
coarse_three_moment,8201,I1*I2*sin(theta1),0.010187426926543258,0.625,0.006367141829089536,0.002656247107995703,2.3261314581294883,0.0027372235592435282
coarse_three_moment,8201,I2*I3*sin(theta3),-0.0002620185894116976,0.625,-0.000163761618382311,-0.0028210462673279087,2.3267352973634137,-7.038257362918795e-05
coarse_three_moment,8202,I1,-0.021984591531243772,0.625,-0.013740369707027357,1.4736186076571332,1.4051261643133084,-0.009778744468645162
coarse_three_moment,8202,I1*I2*sin(theta1),0.005425242154501364,0.625,0.0033907763465633525,0.002656247107995703,2.3261314581294883,0.0014576890462115056
coarse_three_moment,8202,I2*I3*sin(theta3),-0.00412675959311848,0.625,-0.00257922474569905,-0.0028210462673279087,2.3267352973634137,-0.0011085166192397347
coarse_three_moment,8203,I1,-0.024959709132080902,0.625,-0.015599818207550563,1.4736186076571332,1.4051261643133084,-0.011102076527892616
coarse_three_moment,8203,I1*I2*sin(theta1),0.01247480345878306,0.625,0.007796752161739412,0.002656247107995703,2.3261314581294883,0.003351810635848162
coarse_three_moment,8203,I2*I3*sin(theta3),-0.0030588727601948795,0.625,-0.0019117954751217997,-0.0028210462673279087,2.3267352973634137,-0.0008216643626321348
