branch,case,dt,stream_id,base_seed,stream_seed,split,relative_path,sha256
density,driven_dt1e-3,0.001,0,2026090801,16094356758956982215,train,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_000.f64,2840319a6f10e049348a8219a7ee2a335f298076b02915e3ef84b7e6aad3c9e3
modes,driven_dt1e-3,0.001,0,2026090801,16094356758956982215,validation,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_000.f64,2840319a6f10e049348a8219a7ee2a335f298076b02915e3ef84b7e6aad3c9e3
density,driven_dt1e-3,0.001,1,2026090801,4251578818768200377,validation,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_001.f64,8907f6d3a37f8b2aff9b10877ab86b749e2169c7c8a02b96ab60e1689cec691a
modes,driven_dt1e-3,0.001,1,2026090801,4251578818768200377,validation,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_001.f64,8907f6d3a37f8b2aff9b10877ab86b749e2169c7c8a02b96ab60e1689cec691a
density,driven_dt1e-3,0.001,2,2026090801,9639505670240539701,test,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_002.f64,7958f8a548c898a2bc6d343276b817d9f2f2f79a7e55ff3989c94848ba3fc285
modes,driven_dt1e-3,0.001,2,2026090801,9639505670240539701,validation,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_002.f64,7958f8a548c898a2bc6d343276b817d9f2f2f79a7e55ff3989c94848ba3fc285
density,driven_dt1e-3,0.001,3,2026090801,7670132900783534363,test,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_003.f64,af77135eb9887a4535b21cef4d664cf01fb701e719ab58a0c39a872933230f77
modes,driven_dt1e-3,0.001,3,2026090801,7670132900783534363,train,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_003.f64,af77135eb9887a4535b21cef4d664cf01fb701e719ab58a0c39a872933230f77
density,driven_dt1e-3,0.001,4,2026090801,4399499617505774768,validation,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_004.f64,d267fa4dfc25bd7cf0df13a11d30f36e0e93020643649c4e7347ac0a82e4ccea
modes,driven_dt1e-3,0.001,4,2026090801,4399499617505774768,train,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_004.f64,d267fa4dfc25bd7cf0df13a11d30f36e0e93020643649c4e7347ac0a82e4ccea
density,driven_dt1e-3,0.001,5,2026090801,3556562642687067831,test,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_005.f64,49e9d83ac48de64e8718045253dfa9972229996142d016db005a7c1fe81afb90
modes,driven_dt1e-3,0.001,5,2026090801,3556562642687067831,test,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_005.f64,49e9d83ac48de64e8718045253dfa9972229996142d016db005a7c1fe81afb90
density,driven_dt1e-3,0.001,6,2026090801,900086684713846573,validation,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_006.f64,d14393d72de6bd8da6d904c840505d9797200d20b5c9c821385fa14e360af1e1
modes,driven_dt1e-3,0.001,6,2026090801,900086684713846573,train,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_006.f64,d14393d72de6bd8da6d904c840505d9797200d20b5c9c821385fa14e360af1e1
density,driven_dt1e-3,0.001,7,2026090801,12029702387884655807,validation,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_007.f64,0eed849e4a482b4da90ca0e35d3e85326e111b5c7073f7e86187a37418125d28
modes,driven_dt1e-3,0.001,7,2026090801,12029702387884655807,train,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_007.f64,0eed849e4a482b4da90ca0e35d3e85326e111b5c7073f7e86187a37418125d28
density,driven_dt1e-3,0.001,8,2026090801,1740409770240277451,train,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_008.f64,94d0d339849bd762713187477cc57d68473e44e249dd2e6c0442a6994c72b265
modes,driven_dt1e-3,0.001,8,2026090801,1740409770240277451,train,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_008.f64,94d0d339849bd762713187477cc57d68473e44e249dd2e6c0442a6994c72b265
density,driven_dt1e-3,0.001,9,2026090801,17817582293706800396,test,experiments/short_chain_section4_2026-09-14/raw/direct_state_f64/driven_dt1e-3/stream_009.f64,4766d38509312b1787d0350c88b3f4124d43f7723e2ac70579293e1283ad1a26
