branch,case,dt,stream_id,base_seed,stream_seed,split,relative_path,sha256
density,driven_dt1e-3,0.001,0,2026090801,16094356758956982215,train,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_000.f32,c5f853e2c48c3cb33048b141112356d2e7f737753a0eeb5b5c0643ee4678e2ff
density,driven_dt1e-3,0.001,1,2026090801,4251578818768200377,validation,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_001.f32,ccf97c70a71da5905b204430c1d09dbc3f75326f1ec75365e97a089100075e38
density,driven_dt1e-3,0.001,2,2026090801,9639505670240539701,test,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_002.f32,432ef209656b79b671c82b787acf3935ccafbb97c28fee61ffec37298fafc47c
density,driven_dt1e-3,0.001,3,2026090801,7670132900783534363,test,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_003.f32,4a98934cc7bbd6c5914827f65268e217b32f4443d8c98246947c8bc41707bd9d
density,driven_dt1e-3,0.001,4,2026090801,4399499617505774768,validation,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_004.f32,81fbd05fc9da2a56bea34daf17faec1059a3c8e1f0d926053cbc3c01f00002c9
density,driven_dt1e-3,0.001,5,2026090801,3556562642687067831,test,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_005.f32,f7bdbdba689c824310c80681a4298a2eb42c7a8e9038d3abce222216cae7eddc
density,driven_dt1e-3,0.001,6,2026090801,900086684713846573,validation,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_006.f32,fab4c37f6d594a55bffd44af4f8f267a23aa7f10d1f052751a8ce8cdbabd33ea
density,driven_dt1e-3,0.001,7,2026090801,12029702387884655807,validation,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_007.f32,4e726d48978a7cd41ce2e5cce88654995234146c5b94a7ae37972870c406460e
density,driven_dt1e-3,0.001,8,2026090801,1740409770240277451,train,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_008.f32,8c35e539c59ad332df0baf3c2ab929dd98d5408df54782cbf7c539d2fbe74462
density,driven_dt1e-3,0.001,9,2026090801,17817582293706800396,test,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_009.f32,f7461338f582209a1a25dde6a21547440b5916a970a37ffd383205e6c085f258
density,driven_dt1e-3,0.001,10,2026090801,16217990823857215189,test,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_010.f32,b53a0d8f45c338db4e9473507769f211cc6f80f1292448d276886314bcc8186e
density,driven_dt1e-3,0.001,11,2026090801,15138052257317608520,train,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_011.f32,130968d2be86f997d06727fac894c215fa68742eb85646d6c25f282f9da49957
density,driven_dt1e-3,0.001,12,2026090801,5605746976814185567,train,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_012.f32,f9429c9894ef5d2d48c8b5de0bf318ff5e4496092006ccc868ed8c5bd5f91d1e
density,driven_dt1e-3,0.001,13,2026090801,17801703779078220967,train,experiments/spectral_gap_controlled_2026-09-07/raw/driven_dt1e-3/stream_013.f32,2ef2891916a4497da058aa3c86b520e1937ee010f3f46b4b6e524e0f1a90ad9c
