family_index,components,widths,lambda_fp,seed,gibbs_slope,gibbs_rmse,fp_median,fp_p90,validation_nll,admissible
0,8,64x64,0.01,4101,1.0370130474385386,0.48341637206505783,2.08481091073237,8.341281535280698,7.901016763361217,0
0,8,64x64,0.01,4102,1.0267363216604575,0.547106511205408,2.624142794219091,9.455572968019522,7.931499037058102,0
0,8,64x64,0.01,4103,1.0129026021540641,0.4557771813903308,1.88604794430029,8.096374032469106,7.880357230568324,0
1,8,64x64,0.1,4101,1.0323162388916118,0.5454406489513968,2.1838238495386775,8.321338917196329,7.935810164460028,0
1,8,64x64,0.1,4102,1.0473669832661627,0.5953544661804904,2.4784002465902155,9.277013389405493,7.9594945166241,0
1,8,64x64,0.1,4103,1.0116879895659834,0.5803765475962133,2.0184576005829635,8.043872987254533,7.94873474016933,0
2,16,64x64,0.01,4101,1.0457359368457075,0.3033567382918484,1.4003657129683966,5.075268047429059,7.8313522557409705,0
2,16,64x64,0.01,4102,1.0267781211660754,0.35202880943776454,1.419367036751332,6.074811040825763,7.822510429833697,0
2,16,64x64,0.01,4103,1.0591616633332117,0.3310326939780133,1.252988269394205,5.470782140344263,7.825533163983826,0
3,16,64x64,0.1,4101,1.0125502857965978,0.5319199889429972,1.6096181380999317,5.885611762569648,7.911191865943604,0
3,16,64x64,0.1,4102,1.0250560098326118,0.5281475339575438,1.4778227102374553,6.085459500654998,7.900675897846293,0
3,16,64x64,0.1,4103,1.0401377361720983,0.46460488657243154,1.1331754514967143,3.705144767214912,7.931647314035208,0
4,16,128x128,0.01,4101,1.0560237686821783,0.30204962540756786,1.2745607543296376,5.064694537189913,7.829103375905278,0
4,16,128x128,0.01,4102,1.0342219669234107,0.35330354942113446,1.174238511087387,4.551697039165718,7.844090725970876,0
4,16,128x128,0.01,4103,1.0696211558011595,0.33193925738203145,1.4055459984769358,5.697987691402836,7.82389326775108,0
5,16,128x128,0.1,4101,1.0161722630058145,0.45109612167574364,1.2848518178751211,3.7715685596823603,7.94938164427412,0
5,16,128x128,0.1,4102,1.0368987913759957,0.585990294327616,1.4642439517300665,4.869355871275037,7.954082017525651,0
5,16,128x128,0.1,4103,1.0628050709502808,0.5250503942944176,1.519953855285928,5.528703943738324,7.913221267948826,0
