case,split,probe,streams,raw_snapshots,mean_iat_snapshots,median_stream_iat,max_stream_iat,effective_samples
driven_dt1e-3,test,I1,16,1600016,51.47146299807837,50.79591754370024,59.84020341205698,31085.496832676676
driven_dt1e-3,test,I2,16,1600016,121.38920573792598,120.29902822926019,180.2116929133066,13180.875435122009
driven_dt1e-3,test,I3,16,1600016,54.91807376700439,54.636636264722554,72.2568302673101,29134.597961105363
driven_dt1e-3,test,log_I1,16,1600016,59.01030727913914,59.80678392999046,62.31593182209264,27114.178416854727
driven_dt1e-3,test,log_I2,16,1600016,110.85598019769073,104.73845385083551,142.1749463087262,14433.285395579682
driven_dt1e-3,test,log_I3,16,1600016,40.747321036644564,39.128551451642835,53.23801420972045,39266.77777322062
driven_dt1e-3,test,cos_theta1,16,1600016,57.61397929098312,56.9781745270939,69.23227290318381,27771.315567685684
driven_dt1e-3,test,sin_theta1,16,1600016,22.975266918657816,22.96836010135702,23.995447102761513,69640.80137413571
driven_dt1e-3,test,cos_theta3,16,1600016,53.1554597816693,53.751916153627796,65.36153294995844,30100.68968591194
driven_dt1e-3,test,sin_theta3,16,1600016,17.05925762938217,17.02265426316221,17.604533046884473,93791.65464059806
driven_dt1e-3,test,I1_minus_I3,16,1600016,37.26592931841248,37.2449966109146,38.45569340249814,42935.0892159144
driven_dt1e-3,test,I1_plus_I3,16,1600016,86.80562752360964,87.03529918832822,103.180377728623,18432.169038405063
driven_dt1e-3,train,I1,32,3200032,52.75666322194594,52.56219089565944,69.91375875965001,60656.45180282814
driven_dt1e-3,train,I2,32,3200032,120.4278666938938,114.40670160386915,152.6202373416173,26572.188712218176
driven_dt1e-3,train,I3,32,3200032,54.02338292859688,52.39537929467759,72.04503458728688,59234.20242359696
driven_dt1e-3,train,log_I1,32,3200032,59.97546580737102,59.42047700901621,70.1891666158041,53355.683977142435
driven_dt1e-3,train,log_I2,32,3200032,111.68453811299743,109.3174721438179,146.05305706256183,28652.41737188679
driven_dt1e-3,train,log_I3,32,3200032,39.61871407365696,38.97484835891278,49.66735722339668,80770.71845518949
driven_dt1e-3,train,cos_theta1,32,3200032,59.71268629208839,59.84082571239463,80.04385841960215,53590.488030413515
driven_dt1e-3,train,sin_theta1,32,3200032,23.004576476084445,22.96196255421381,23.877102037916096,139104.14753024266
driven_dt1e-3,train,cos_theta3,32,3200032,51.72937274775627,51.022636547958854,63.729206912601676,61861.02459823078
driven_dt1e-3,train,sin_theta3,32,3200032,17.014885002052484,16.99852640298581,17.758597998709494,188072.50237741743
driven_dt1e-3,train,I1_minus_I3,32,3200032,36.98301954672626,36.934753309336024,39.28070865455701,86527.0613168001
driven_dt1e-3,train,I1_plus_I3,32,3200032,88.48673699425352,87.3874944961774,120.497116195185,36163.973367080034
driven_dt1e-3,validation,I1,16,1600016,49.2622877977164,49.16791081387862,62.37200380002856,32479.53092576773
driven_dt1e-3,validation,I2,16,1600016,117.07194606199054,113.17473078289605,148.78261240130175,13666.946299438625
driven_dt1e-3,validation,I3,16,1600016,53.157437266110804,53.61523501915829,71.1574238042104,30099.56992452776
driven_dt1e-3,validation,log_I1,16,1600016,58.72754295513518,58.407529919044954,84.17415202325739,27244.729125179474
driven_dt1e-3,validation,log_I2,16,1600016,113.65257417705728,109.91590653354069,156.5979581691613,14078.1325155677
driven_dt1e-3,validation,log_I3,16,1600016,39.77386863991814,38.16936296890316,57.57186864685254,40227.81928721362
driven_dt1e-3,validation,cos_theta1,16,1600016,56.82740944351564,56.67706686357825,72.00904019475428,28155.708938137628
driven_dt1e-3,validation,sin_theta1,16,1600016,22.7401177559523,22.675788608061545,23.37229633309538,70360.93731665882
driven_dt1e-3,validation,cos_theta3,16,1600016,51.71374955736471,50.82439078086348,60.323556839657,30939.856685989173
driven_dt1e-3,validation,sin_theta3,16,1600016,17.003871873126943,16.995005507019982,17.656669825825173,94097.1569262809
driven_dt1e-3,validation,I1_minus_I3,16,1600016,36.63753823945259,36.82141138048537,38.237332261965484,43671.49314298215
driven_dt1e-3,validation,I1_plus_I3,16,1600016,81.65668044731967,80.29075056113476,100.20378779035514,19594.42866444027
driven_dt2p5e-4,test,I1,16,1600016,53.50544664682749,53.4583578044662,63.2796525114209,29903.796721130075
driven_dt2p5e-4,test,I2,16,1600016,137.7385233364978,116.9395562705175,304.8293601254717,11616.328977849798
driven_dt2p5e-4,test,I3,16,1600016,56.916720128941954,56.237454868146116,83.95900902714952,28111.528499450505
driven_dt2p5e-4,test,log_I1,16,1600016,63.00005509460355,63.28743542059978,75.52863890961078,25397.05715490801
driven_dt2p5e-4,test,log_I2,16,1600016,120.93744608116631,118.1791003863301,226.4125981093327,13230.112358468034
driven_dt2p5e-4,test,log_I3,16,1600016,39.248987046679474,38.625027239058824,49.211472311129185,40765.7909259435
driven_dt2p5e-4,test,cos_theta1,16,1600016,61.10230066058369,60.2421721050864,72.44598402756705,26185.85524116197
driven_dt2p5e-4,test,sin_theta1,16,1600016,22.824758495916303,22.68021755816989,23.877332695293582,70100.01881449336
driven_dt2p5e-4,test,cos_theta3,16,1600016,49.315537962573174,51.69146803920985,54.33585593166559,32444.460024227927
driven_dt2p5e-4,test,sin_theta3,16,1600016,16.805157432648464,16.643945288692862,17.679276630655426,95209.81915299084
driven_dt2p5e-4,test,I1_minus_I3,16,1600016,36.9149268072864,36.917928600959314,38.50447162654236,43343.33394057233
driven_dt2p5e-4,test,I1_plus_I3,16,1600016,94.32119949031838,90.25091093994415,125.20013538247946,16963.48232047488
driven_dt2p5e-4,train,I1,32,3200032,52.69182008384708,51.4053416062855,73.26242933671,60731.0963050408
driven_dt2p5e-4,train,I2,32,3200032,109.33778133832953,111.13513955648355,136.97829921526346,29267.394681239926
driven_dt2p5e-4,train,I3,32,3200032,50.54334483267553,50.44301696070902,64.23877664884897,63312.628212354204
driven_dt2p5e-4,train,log_I1,32,3200032,61.17304010581226,59.95273729884083,86.48917512945728,52311.14874240088
driven_dt2p5e-4,train,log_I2,32,3200032,102.74413970780839,102.60591071655112,145.825724938584,31145.640122156794
driven_dt2p5e-4,train,log_I3,32,3200032,38.27507963171078,37.211035861907575,49.42930600304177,83606.14872108022
driven_dt2p5e-4,train,cos_theta1,32,3200032,57.395215477981175,56.75735179092567,73.1794133876038,55754.33376023555
driven_dt2p5e-4,train,sin_theta1,32,3200032,23.114394518632945,23.097242664175507,23.96347433982412,138443.25437209243
driven_dt2p5e-4,train,cos_theta3,32,3200032,50.26445979514694,49.73623629495923,69.24681488590991,63663.90911275574
driven_dt2p5e-4,train,sin_theta3,32,3200032,17.10496460534617,17.129456719036117,17.912179339887775,187082.05914672444
driven_dt2p5e-4,train,I1_minus_I3,32,3200032,36.64812897794342,36.630668306752554,38.96001452644454,87317.74552326888
driven_dt2p5e-4,train,I1_plus_I3,32,3200032,82.8535302334219,82.25612575773359,98.36969628890836,38622.75983877334
driven_dt2p5e-4,validation,I1,16,1600016,49.873489184636355,49.056104007120055,61.77596964687431,32081.493117046415
driven_dt2p5e-4,validation,I2,16,1600016,116.56635116009706,114.6325546431674,153.07395557069827,13726.225313533849
driven_dt2p5e-4,validation,I3,16,1600016,54.12392367073845,54.43162395215458,70.15998641737889,29562.084407140504
driven_dt2p5e-4,validation,log_I1,16,1600016,60.69120724627329,59.217957270672386,76.13133783398123,26363.225788332762
driven_dt2p5e-4,validation,log_I2,16,1600016,107.21777447723403,107.90513309532892,135.03728248787968,14923.048046849151
driven_dt2p5e-4,validation,log_I3,16,1600016,40.52056522460797,40.53310986028348,50.80281991148453,39486.5173062373
driven_dt2p5e-4,validation,cos_theta1,16,1600016,58.65376005171241,58.08858592754568,71.50704860667979,27279.001356252986
driven_dt2p5e-4,validation,sin_theta1,16,1600016,22.77432896669869,22.8429961910224,23.56520304988705,70255.24230986527
driven_dt2p5e-4,validation,cos_theta3,16,1600016,52.07911130666646,51.47383198780615,67.55788684784451,30722.797679444804
driven_dt2p5e-4,validation,sin_theta3,16,1600016,17.057066292277206,17.057513285417365,17.729236900348923,93803.70414134033
driven_dt2p5e-4,validation,I1_minus_I3,16,1600016,36.94908062732018,36.670608064438156,38.431230902873956,43303.26960332937
driven_dt2p5e-4,validation,I1_plus_I3,16,1600016,84.4154498954353,84.4622822903181,97.95122031897041,18954.06589649082
equilibrium_dt1e-3,test,I1,16,1600016,49.126888336184436,48.14967085651597,62.83514514306389,32569.048319339763
equilibrium_dt1e-3,test,I2,16,1600016,122.94075900952981,117.2705251567132,166.90654070027756,13014.528402870637
equilibrium_dt1e-3,test,I3,16,1600016,49.02184203931504,48.584057720583374,69.17050770873819,32638.838799994555
equilibrium_dt1e-3,test,log_I1,16,1600016,42.77563279091814,42.307595759567114,48.23869466653924,37404.84700298123
equilibrium_dt1e-3,test,log_I2,16,1600016,107.15785708653993,103.6347069367184,156.50394692434506,14931.39227959587
equilibrium_dt1e-3,test,log_I3,16,1600016,44.37743999533475,43.50923738964414,55.463357184394816,36054.716093767565
equilibrium_dt1e-3,test,cos_theta1,16,1600016,55.11486654128616,55.08007714733273,66.18779903975269,29030.570160256837
equilibrium_dt1e-3,test,sin_theta1,16,1600016,19.263541960799053,19.296764733831814,19.8095152614815,83059.28386669506
equilibrium_dt1e-3,test,cos_theta3,16,1600016,53.1016130639072,52.449355390231304,67.63354340286423,30131.212738761787
equilibrium_dt1e-3,test,sin_theta3,16,1600016,19.2981636500872,19.25776117959591,20.32454674122629,82910.27213839437
equilibrium_dt1e-3,test,I1_minus_I3,16,1600016,36.032636276613786,35.789198694607116,37.14639707177696,44404.63328070326
equilibrium_dt1e-3,test,I1_plus_I3,16,1600016,85.766674381327,85.33666605901116,107.59817660824571,18655.451100810707
equilibrium_dt1e-3,train,I1,32,3200032,49.87149611897247,49.484899347051396,62.60634234001197,64165.55044520954
equilibrium_dt1e-3,train,I2,32,3200032,108.93127778564107,110.3509565081772,132.93559913182312,29376.613081663647
equilibrium_dt1e-3,train,I3,32,3200032,48.60552474109847,48.45543539876138,59.00624846867741,65836.795653277
equilibrium_dt1e-3,train,log_I1,32,3200032,43.41606276047048,43.08515468596879,55.95124434475157,73706.17685106098
equilibrium_dt1e-3,train,log_I2,32,3200032,103.37244678156824,101.91424380228845,148.92817664858987,30956.3341067262
equilibrium_dt1e-3,train,log_I3,32,3200032,45.331407072020866,44.027480796615805,59.42376188219188,70591.94070274297
equilibrium_dt1e-3,train,cos_theta1,32,3200032,51.82513656728405,50.38949900300753,66.5189156575091,61746.71620682429
equilibrium_dt1e-3,train,sin_theta1,32,3200032,19.245301794775106,19.26996568155151,19.878381201021288,166276.0103283376
equilibrium_dt1e-3,train,cos_theta3,32,3200032,53.05221331958436,51.18316615747107,71.51120256004374,60318.539034802154
equilibrium_dt1e-3,train,sin_theta3,32,3200032,19.305100486169977,19.337181905583858,20.471262740106546,165760.9605447264
equilibrium_dt1e-3,train,I1_minus_I3,32,3200032,36.091671076804836,36.02207634282721,38.789673761252764,88664.00209594551
equilibrium_dt1e-3,train,I1_plus_I3,32,3200032,80.65504545030984,81.0324160778059,113.14664308223118,39675.53402435913
equilibrium_dt1e-3,validation,I1,16,1600016,48.52594593097894,46.79935577227767,58.651047696203435,32972.38146116283
equilibrium_dt1e-3,validation,I2,16,1600016,112.78620107352958,108.93249526991352,176.6053154079189,14186.27442693002
equilibrium_dt1e-3,validation,I3,16,1600016,50.386686459834586,48.58583636322818,68.33628561797535,31754.737459774064
equilibrium_dt1e-3,validation,log_I1,16,1600016,42.205053736565716,41.80571783022264,49.39136783512879,37910.53104651717
equilibrium_dt1e-3,validation,log_I2,16,1600016,107.52238431045065,103.02943156782977,149.99334633562353,14880.77120183882
equilibrium_dt1e-3,validation,log_I3,16,1600016,43.931459236935225,41.487197530423515,57.767188043590174,36420.734202582375
equilibrium_dt1e-3,validation,cos_theta1,16,1600016,50.67628321990922,50.855352706338884,63.79826260900886,31573.27053873992
equilibrium_dt1e-3,validation,sin_theta1,16,1600016,19.22303083305044,19.254043235730908,19.82351142664828,83234.32521624368
equilibrium_dt1e-3,validation,cos_theta3,16,1600016,51.75392860253604,51.793534094013964,60.824623397382624,30915.83659837557
equilibrium_dt1e-3,validation,sin_theta3,16,1600016,19.283224514586284,19.29744792133441,19.870053857264093,82974.50453837274
equilibrium_dt1e-3,validation,I1_minus_I3,16,1600016,36.20579417227881,35.71331731362345,39.21254495675382,44192.263602522005
equilibrium_dt1e-3,validation,I1_plus_I3,16,1600016,81.25111789302487,79.33959606716365,107.05195061017595,19692.23367617636
equilibrium_dt2p5e-4,test,I1,16,1600016,50.009691175051316,50.694903382058214,62.88520965717129,31994.11878788428
equilibrium_dt2p5e-4,test,I2,16,1600016,115.43759626785528,111.35744694042177,154.49343559495892,13860.441067114803
equilibrium_dt2p5e-4,test,I3,16,1600016,50.11418062493826,48.56070998526931,73.35898577192201,31927.410167089234
equilibrium_dt2p5e-4,test,log_I1,16,1600016,44.21618773390184,43.856228595390334,51.33252608142561,36186.20423879784
equilibrium_dt2p5e-4,test,log_I2,16,1600016,111.32767177646674,105.37829418442371,149.476265678653,14372.132053678886
equilibrium_dt2p5e-4,test,log_I3,16,1600016,43.20029259076783,41.6539931972473,52.40591331018876,37037.15655717418
equilibrium_dt2p5e-4,test,cos_theta1,16,1600016,52.46408090952328,52.17350681850226,65.73779057028153,30497.36071350037
equilibrium_dt2p5e-4,test,sin_theta1,16,1600016,19.22442061278484,19.142009341269983,20.031173725035337,83228.30800611693
equilibrium_dt2p5e-4,test,cos_theta3,16,1600016,52.525576941289735,53.18775497685006,62.89321243350602,30461.654934098333
equilibrium_dt2p5e-4,test,sin_theta3,16,1600016,19.159640141157166,19.23394079845253,19.77659664297636,83509.71042316066
equilibrium_dt2p5e-4,test,I1_minus_I3,16,1600016,36.156112169234156,36.28650385080851,37.920429525863135,44252.988056649534
equilibrium_dt2p5e-4,test,I1_plus_I3,16,1600016,84.23351187748588,80.963487951656,102.20287144106273,18995.005245978067
equilibrium_dt2p5e-4,train,I1,32,3200032,50.02666385453103,49.661076512897054,73.86120490919983,63966.528115989204
equilibrium_dt2p5e-4,train,I2,32,3200032,121.80659367427837,120.78942837586509,165.03148131690406,26271.41851250819
equilibrium_dt2p5e-4,train,I3,32,3200032,48.52889741271706,47.60491387554899,70.23477109028005,65940.75222408469
equilibrium_dt2p5e-4,train,log_I1,32,3200032,43.735260733626276,42.629674416007155,60.044611823363994,73168.23876940156
equilibrium_dt2p5e-4,train,log_I2,32,3200032,114.10280149545542,107.63732379415666,169.16939016951886,28045.1659210791
equilibrium_dt2p5e-4,train,log_I3,32,3200032,43.61416948265306,43.76250733009718,52.384923041911385,73371.38452843334
equilibrium_dt2p5e-4,train,cos_theta1,32,3200032,54.67458338236457,54.66346144301235,67.53419860985153,58528.69472494561
equilibrium_dt2p5e-4,train,sin_theta1,32,3200032,19.132207750302854,19.1135536881655,19.659067518605028,167258.89880373815
equilibrium_dt2p5e-4,train,cos_theta3,32,3200032,53.84656165045014,51.54064829819201,90.45981758932733,59428.715630411076
equilibrium_dt2p5e-4,train,sin_theta3,32,3200032,19.19979179983997,19.195776672651178,20.709978417458842,166670.14066406034
equilibrium_dt2p5e-4,train,I1_minus_I3,32,3200032,36.03646161992005,36.02997682828318,37.49440334845882,88799.83927809114
equilibrium_dt2p5e-4,train,I1_plus_I3,32,3200032,82.54170494880167,82.92203018483413,105.7792007274246,38768.66854137422
equilibrium_dt2p5e-4,validation,I1,16,1600016,52.964785191821086,49.27250245312649,106.64873809702792,30209.052943484367
equilibrium_dt2p5e-4,validation,I2,16,1600016,124.47014104655129,124.74237466207919,190.09726213203496,12854.617071588285
