case,stream_order,stream_id,observable,mean
driven_dt1e-3,1,5,I2,1.7214032783815787
driven_dt1e-3,1,5,I1_plus_I3,2.8775865611680143
driven_dt1e-3,1,5,cos_theta3,-0.19637344947052612
driven_dt1e-3,1,5,cos_theta1_plus_cos_theta3,-0.41463963756747585
driven_dt1e-3,2,15,I2,1.7141509161025357
driven_dt1e-3,2,15,I1_plus_I3,2.9791004281112556
driven_dt1e-3,2,15,cos_theta3,-0.17409041212645046
driven_dt1e-3,2,15,cos_theta1_plus_cos_theta3,-0.39095854501989397
driven_dt1e-3,3,19,I2,1.653145647568067
driven_dt1e-3,3,19,I1_plus_I3,2.9093395542319116
driven_dt1e-3,3,19,cos_theta3,-0.17137034830681028
driven_dt1e-3,3,19,cos_theta1_plus_cos_theta3,-0.39875046758114374
driven_dt1e-3,4,22,I2,1.7394180352241435
driven_dt1e-3,4,22,I1_plus_I3,2.981142429074251
driven_dt1e-3,4,22,cos_theta3,-0.16726188043198548
driven_dt1e-3,4,22,cos_theta1_plus_cos_theta3,-0.4158725245996865
driven_dt1e-3,5,31,I2,1.7337975794979819
driven_dt1e-3,5,31,I1_plus_I3,2.863602071185008
driven_dt1e-3,5,31,cos_theta3,-0.1905383453939782
driven_dt1e-3,5,31,cos_theta1_plus_cos_theta3,-0.3957817117724229
driven_dt1e-3,6,35,I2,1.6322487028380945
driven_dt1e-3,6,35,I1_plus_I3,2.943185479638995
driven_dt1e-3,6,35,cos_theta3,-0.18046345340734363
driven_dt1e-3,6,35,cos_theta1_plus_cos_theta3,-0.38062963509898995
driven_dt1e-3,7,36,I2,1.739345241967487
driven_dt1e-3,7,36,I1_plus_I3,2.9710768177046756
driven_dt1e-3,7,36,cos_theta3,-0.19232374573676755
driven_dt1e-3,7,36,cos_theta1_plus_cos_theta3,-0.40588969848181444
driven_dt1e-3,8,37,I2,1.7006788460047244
driven_dt1e-3,8,37,I1_plus_I3,2.9382731789585637
driven_dt1e-3,8,37,cos_theta3,-0.16446812974077352
driven_dt1e-3,8,37,cos_theta1_plus_cos_theta3,-0.39589762717358734
driven_dt1e-3,9,38,I2,1.7425862255492532
driven_dt1e-3,9,38,I1_plus_I3,2.9471229059480093
driven_dt1e-3,9,38,cos_theta3,-0.16204119570441003
driven_dt1e-3,9,38,cos_theta1_plus_cos_theta3,-0.35767844579574337
driven_dt1e-3,10,39,I2,1.7814259589957366
driven_dt1e-3,10,39,I1_plus_I3,3.002294614071586
driven_dt1e-3,10,39,cos_theta3,-0.20258780420905953
driven_dt1e-3,10,39,cos_theta1_plus_cos_theta3,-0.44144070519168827
driven_dt1e-3,11,41,I2,1.6988261160836846
