case,kind,replicate,observable,weight_abs
driven_dt1e-3,complex,0,I2,0.09796734658752958
driven_dt1e-3,complex,0,I1_plus_I3,0.09931394310298305
driven_dt1e-3,complex,0,cos_theta3,0.04300957899786672
driven_dt1e-3,complex,0,cos_theta1_plus_cos_theta3,0.03603421890622392
driven_dt1e-3,complex,1,I2,0.09378789436435053
driven_dt1e-3,complex,1,I1_plus_I3,0.11267870213940279
driven_dt1e-3,complex,1,cos_theta3,0.040936613500320754
driven_dt1e-3,complex,1,cos_theta1_plus_cos_theta3,0.030237828120250988
driven_dt1e-3,complex,2,I2,0.08363921407837036
driven_dt1e-3,complex,2,I1_plus_I3,0.08952030341948317
driven_dt1e-3,complex,2,cos_theta3,0.03544236040410682
driven_dt1e-3,complex,2,cos_theta1_plus_cos_theta3,0.03377855803596515
driven_dt1e-3,complex,3,I2,0.09271562483364051
driven_dt1e-3,complex,3,I1_plus_I3,0.09714349418689984
driven_dt1e-3,complex,3,cos_theta3,0.04090742760656989
driven_dt1e-3,complex,3,cos_theta1_plus_cos_theta3,0.028548018199644712
driven_dt1e-3,complex,4,I2,0.1039541416618415
driven_dt1e-3,complex,4,I1_plus_I3,0.11437527595353165
driven_dt1e-3,complex,4,cos_theta3,0.03919518336202782
driven_dt1e-3,complex,4,cos_theta1_plus_cos_theta3,0.025227070811501537
driven_dt1e-3,complex,5,I2,0.09056991379793342
driven_dt1e-3,complex,5,I1_plus_I3,0.10221953096006904
driven_dt1e-3,complex,5,cos_theta3,0.03873794662584962
driven_dt1e-3,complex,5,cos_theta1_plus_cos_theta3,0.02522802354081508
driven_dt1e-3,complex,6,I2,0.09675151301045937
driven_dt1e-3,complex,6,I1_plus_I3,0.1061070341902101
driven_dt1e-3,complex,6,cos_theta3,0.04422678223255454
driven_dt1e-3,complex,6,cos_theta1_plus_cos_theta3,0.033908695767696645
driven_dt1e-3,complex,7,I2,0.081252375052336
driven_dt1e-3,complex,7,I1_plus_I3,0.09515325962095392
driven_dt1e-3,complex,7,cos_theta3,0.03527429246584835
driven_dt1e-3,complex,7,cos_theta1_plus_cos_theta3,0.025104004992214903
driven_dt1e-3,complex,8,I2,0.0924029869628568
driven_dt1e-3,complex,8,I1_plus_I3,0.10497835543339239
driven_dt1e-3,complex,8,cos_theta3,0.039251824499771396
driven_dt1e-3,complex,8,cos_theta1_plus_cos_theta3,0.02981163194460676
driven_dt1e-3,complex,9,I2,0.10038488565933198
driven_dt1e-3,complex,9,I1_plus_I3,0.10080178448944109
driven_dt1e-3,complex,9,cos_theta3,0.03442713649361881
driven_dt1e-3,complex,9,cos_theta1_plus_cos_theta3,0.022908248846596868
driven_dt1e-3,complex,10,I2,0.08623049822081243
driven_dt1e-3,complex,10,I1_plus_I3,0.09410881417140153
driven_dt1e-3,complex,10,cos_theta3,0.036528282867784985
driven_dt1e-3,complex,10,cos_theta1_plus_cos_theta3,0.02627074703431199
driven_dt1e-3,complex,11,I2,0.09326389860232392
driven_dt1e-3,complex,11,I1_plus_I3,0.09292288769332031
driven_dt1e-3,complex,11,cos_theta3,0.04114970053914703
driven_dt1e-3,complex,11,cos_theta1_plus_cos_theta3,0.03172197807867525
driven_dt1e-3,complex,12,I2,0.09468489284859999
driven_dt1e-3,complex,12,I1_plus_I3,0.10518933822712642
driven_dt1e-3,complex,12,cos_theta3,0.04005049270971142
driven_dt1e-3,complex,12,cos_theta1_plus_cos_theta3,0.033906677755300874
driven_dt1e-3,complex,13,I2,0.08531304487388416
driven_dt1e-3,complex,13,I1_plus_I3,0.08410636580144726
driven_dt1e-3,complex,13,cos_theta3,0.03575922572705612
driven_dt1e-3,complex,13,cos_theta1_plus_cos_theta3,0.0254744002125458
driven_dt1e-3,complex,14,I2,0.0870575027165157
driven_dt1e-3,complex,14,I1_plus_I3,0.10263018993845782
driven_dt1e-3,complex,14,cos_theta3,0.0387263285292409
driven_dt1e-3,complex,14,cos_theta1_plus_cos_theta3,0.026740112304398666
driven_dt1e-3,complex,15,I2,0.09389210684117308
driven_dt1e-3,complex,15,I1_plus_I3,0.09779200206834246
driven_dt1e-3,complex,15,cos_theta3,0.038224324868645486
driven_dt1e-3,complex,15,cos_theta1_plus_cos_theta3,0.031941079354092544
driven_dt1e-3,complex,16,I2,0.08325020216565462
driven_dt1e-3,complex,16,I1_plus_I3,0.0985589521076369
driven_dt1e-3,complex,16,cos_theta3,0.03686294757701744
driven_dt1e-3,complex,16,cos_theta1_plus_cos_theta3,0.025824997586960788
driven_dt1e-3,complex,17,I2,0.1034519363826829
driven_dt1e-3,complex,17,I1_plus_I3,0.1096159340078385
driven_dt1e-3,complex,17,cos_theta3,0.03742217578998325
driven_dt1e-3,complex,17,cos_theta1_plus_cos_theta3,0.026565726323241556
driven_dt1e-3,complex,18,I2,0.11095504661812022
driven_dt1e-3,complex,18,I1_plus_I3,0.10141223020318559
